factor_id,original_source,formula_semantic_summary,existing_family,existing_mechanism,proposed_economic_theme,proposed_subtheme,raw_eligibility,composite_eligibility,direction_authority_status,horizon_window,measurement_type,unit_dimension,dated_availability,authoritative_semantics,known_accepted_residual,semantic_resolved,unresolved_status,source_reference,exact_duplicate_group,exact_relation_scope,dense_lag_family,dense_lag,candidate_representative_role,candidate_composite_role,candidate_hybrid_role,inclusion_exclusion_reason,coverage_scope,full_coverage,worst_era_coverage,coverage_A,coverage_B,coverage_C,coverage_D,infinite_fraction,legacy_cluster_id_0_7,legacy_cluster_id_0_85,legacy_cluster_id_0_95,legacy_cluster_id_0_995
alpha158_BETA10,alpha158,"Qlib Alpha158 expression: Slope($close, 10)/$close",PriceTrend,normalized_price_slope,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_10,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9671992482618313,0.9222892459185256,0.9630853293241164,0.9222892459185256,0.9873152408213757,0.9986243801112876,0.0,b7629c155c3211cfaec5,d7b9777e0f6ceefffbc1,682dd1cdce705d3b4c08,12fcc6d40c570b0c286b
alpha158_BETA20,alpha158,"Qlib Alpha158 expression: Slope($close, 20)/$close",PriceTrend,normalized_price_slope,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_20,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9674177522848052,0.9227714886614895,0.9632837572797428,0.9227714886614895,0.9874625070465176,0.9986800927167805,0.0,306dd709e0cf9595b3eb,fb1d02df222563a817aa,a371273fd2074d9a278b,94edb0b08782464e3777
alpha158_BETA30,alpha158,"Qlib Alpha158 expression: Slope($close, 30)/$close",PriceTrend,normalized_price_slope,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9675013289441783,0.9229531835193201,0.9633986598821099,0.9229531835193201,0.9874816859037454,0.9986807805267248,0.0,306dd709e0cf9595b3eb,8b9c10f1738d819a3a5c,1d6828e275dacdfd9dc6,2446ce5e7eb869bcd22d
alpha158_BETA5,alpha158,"Qlib Alpha158 expression: Slope($close, 5)/$close",PriceTrend,normalized_price_slope,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_5,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.966778804959183,0.9214477118401523,0.9625377742305282,0.9214477118401523,0.9871631798819267,0.9985562869267964,0.0,fbcfce924ce2b3e665d6,9c8ea301d328a2cd7d32,654e1918dda895fd41b3,2a62888350c0cb56a22f
alpha158_BETA60,alpha158,"Qlib Alpha158 expression: Slope($close, 60)/$close",PriceTrend,normalized_price_slope,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_60,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9676257151074976,0.9232147967920612,0.9635586396592519,0.9232147967920612,0.9875323728835618,0.9986855951963354,0.0,e88b0b2e8560b3953d66,65ee45bf83ffe981ce03,939764fb69f9760e9f7b,de0447dfb5648c1dffa8
alpha158_CNTD30,alpha158,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",ReturnDynamics,alpha158_cntd,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,1.0,1.0,1.0,1.0,1.0,1.0,0.0,37c60535286cdbb7c959,35dc446b1a90ac517df3,be114a5b4fc6a3a3964c,ae9976767ab8ebdaf3f9
alpha158_CNTP30,alpha158,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)",ReturnDynamics,alpha158_cntp,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,1.0,1.0,1.0,1.0,1.0,1.0,0.0,37c60535286cdbb7c959,35dc446b1a90ac517df3,952baf86051d8bea6cae,9a0e3adf7cf0d296d487
alpha158_CORD10,alpha158,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",LiquidityTrading,alpha158_cord,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_10,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9772135391176413,0.9401069540633049,0.9782909210150673,0.9401069540633049,0.9905050957538695,0.9995542991560572,0.0,2783a85af99f4aedfd9e,8e056b8e792abdcbc303,f8bb4c7720f217c4a701,4f07a867832fb1e5f3bf
alpha158_CORD20,alpha158,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",LiquidityTrading,alpha158_cord,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_20,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9831510960589463,0.9546657668445137,0.9847051378256716,0.9546657668445137,0.9926743614981701,0.9998528086719077,0.0,a913f2956452b98932ad,ce29dc1c621b9fb31c07,75d7e0dd5742c892bba4,ff9b8d9eac0ea545aaad
alpha158_CORD30,alpha158,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",LiquidityTrading,alpha158_cord,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.987430522196003,0.9654636326813038,0.9892773775337129,0.9654636326813038,0.9941689424435645,0.9999092090873449,0.0,a913f2956452b98932ad,132e383a3c692ba1089e,37a13d1a27ad3aa322d1,92ddb93a2cb7504c23ba
