execution_date,instrument,side,requested_shares,executed_shares,unfilled_shares
2022-01-06,SH600601,buy,205100,10000,195100
2022-01-06,SZ000752,buy,240200,8800,231400
2022-01-06,SZ000502,buy,259900,1400,258500
2022-01-06,SH600084,buy,104300,3100,101200
2022-01-06,SH600836,buy,55800,6500,49300
2022-01-06,SZ002634,buy,107900,17000,90900
2022-01-06,SH600275,buy,470700,13500,457200
2022-01-06,SH600679,buy,83200,3200,80000
2022-01-06,SH600595,buy,86200,13900,72300
2022-01-06,SZ002501,buy,583000,16200,566800
2022-01-06,SH600766,buy,224600,5700,218900
2022-01-06,SZ300312,buy,378500,203600,174900
2022-01-06,SH600311,buy,474700,12400,462300
2022-01-06,SZ002005,buy,262200,10900,251300
2022-01-06,SZ000048,buy,171600,13900,157700
2022-01-06,SZ002496,buy,313800,17800,296000
2022-01-06,SH601069,buy,82700,6200,76500
2022-01-06,SZ000971,buy,260200,13300,246900
2022-01-06,SZ000802,buy,146500,3300,143200
2022-01-06,SH600611,buy,99300,8500,90800
2022-01-06,SZ300103,buy,188900,16900,172000
2022-01-06,SH600735,buy,69000,11500,57500
2022-01-06,SZ002724,buy,79400,7500,71900
2022-01-06,SZ002423,buy,237000,25600,211400
2022-01-06,SH600717,buy,33100,5700,27400
2022-01-06,SZ000541,buy,38900,2100,36800
2022-01-06,SZ000800,buy,52800,7900,44900
2022-01-06,SH600015,buy,52800,15200,37600
2022-01-06,SZ000089,buy,90800,15700,75100
2022-01-06,SH600643,buy,95600,13500,82100
2022-01-06,SZ002618,buy,440000,50200,389800
2022-01-06,SZ000687,buy,238300,22000,216300
2022-01-06,SZ002575,buy,198000,2300,195700
2022-01-06,SH600881,buy,84000,17800,66200
2022-01-06,SZ002200,buy,647200,10200,637000
2022-01-06,SH600555,buy,719000,49900,669100
2022-01-06,SZ000528,buy,19000,6500,12500
2022-01-06,SH600666,buy,228800,7300,221500
2022-01-06,SH600898,buy,157700,4200,153500
2022-01-06,SZ000972,buy,321600,15000,306600
2022-01-06,SH600278,buy,210300,33100,177200
2022-01-06,SZ002499,buy,899400,22000,877400
2022-01-06,SH600798,buy,126700,15500,111200
2022-01-06,SH600020,buy,111600,7100,104500
2022-01-06,SZ300284,buy,105900,50900,55000
2022-01-06,SH600568,buy,291000,13100,277900
2022-01-06,SH600694,buy,33400,3900,29500
2022-01-06,SH600269,buy,83100,8200,74900
2022-01-06,SH600152,buy,133600,11900,121700
2022-01-06,SZ300356,buy,328100,36600,291500
2022-02-10,SH600278,sell,33100,10000,23100
2022-02-10,SH600311,sell,12400,8300,4100
2022-02-10,SH600568,sell,13100,8300,4800
2022-02-10,SH600595,sell,13900,6000,7900
2022-02-10,SH600611,sell,8500,4400,4100
2022-02-10,SH600679,sell,3200,1600,1600
2022-02-10,SH600881,sell,17800,8800,9000
2022-02-10,SH600898,sell,4200,3100,1100
2022-02-10,SZ000502,sell,1400,1000,400
2022-02-10,SZ000528,sell,6500,3400,3100
