signal_date,execution_date,instrument,side,reason
2022-03-09,2022-03-10,SH600856,sell,missing_market_data
2022-04-08,2022-04-11,SH603996,sell,missing_market_data
2022-05-11,2022-05-12,SH600093,sell,missing_market_data
2022-05-11,2022-05-12,SH600532,sell,missing_market_data
2022-05-11,2022-05-12,SH600652,sell,missing_market_data
2022-05-11,2022-05-12,SZ000673,sell,missing_market_data
2022-05-11,2022-05-12,SZ000687,sell,missing_market_data
2022-05-11,2022-05-12,SZ002147,sell,missing_market_data
2022-05-11,2022-05-12,SZ002776,sell,missing_market_data
2022-05-11,2022-05-12,SZ300312,sell,missing_market_data
2022-06-09,2022-06-10,SH600532,sell,missing_market_data
2022-06-09,2022-06-10,SZ000673,sell,missing_market_data
2022-06-09,2022-06-10,SZ002776,sell,missing_market_data
2022-06-09,2022-06-10,SZ300312,sell,missing_market_data
2022-07-07,2022-07-08,SH600652,sell,missing_market_data
2022-07-07,2022-07-08,SZ000673,sell,missing_market_data
2022-07-07,2022-07-08,SZ300312,sell,missing_market_data
2022-08-04,2022-08-05,SH600652,sell,missing_market_data
2022-08-04,2022-08-05,SZ000673,sell,missing_market_data
2022-08-04,2022-08-05,SZ300312,sell,missing_market_data
2022-09-01,2022-09-02,SH600652,sell,missing_market_data
2022-09-01,2022-09-02,SZ000673,sell,missing_market_data
2022-09-01,2022-09-02,SZ300312,sell,missing_market_data
2022-09-30,2022-10-10,SH600652,sell,missing_market_data
2022-09-30,2022-10-10,SZ000673,sell,missing_market_data
2022-09-30,2022-10-10,SZ300312,sell,missing_market_data
2022-11-04,2022-11-07,SH600652,sell,missing_market_data
2022-11-04,2022-11-07,SZ000673,sell,missing_market_data
2022-11-04,2022-11-07,SZ300312,sell,missing_market_data
2022-12-02,2022-12-05,SH600652,sell,missing_market_data
2022-12-02,2022-12-05,SZ000673,sell,missing_market_data
2022-12-02,2022-12-05,SZ300312,sell,missing_market_data
2022-12-30,2023-01-03,SH600652,sell,missing_market_data
2022-12-30,2023-01-03,SZ000673,sell,missing_market_data
2022-12-30,2023-01-03,SZ300312,sell,missing_market_data
2023-02-06,2023-02-07,SH600260,sell,missing_market_data
2023-02-06,2023-02-07,SH600652,sell,missing_market_data
2023-02-06,2023-02-07,SZ000673,sell,missing_market_data
2023-02-06,2023-02-07,SZ300312,sell,missing_market_data
2023-03-06,2023-03-07,SH600260,sell,missing_market_data
2023-03-06,2023-03-07,SH600652,sell,missing_market_data
2023-03-06,2023-03-07,SZ000673,sell,missing_market_data
2023-03-06,2023-03-07,SZ300312,sell,missing_market_data
2023-04-03,2023-04-04,SH600260,sell,missing_market_data
2023-04-03,2023-04-04,SH600652,sell,missing_market_data
2023-04-03,2023-04-04,SZ000673,sell,missing_market_data
2023-04-03,2023-04-04,SZ300312,sell,missing_market_data
2023-05-05,2023-05-08,SH600260,sell,missing_market_data
2023-05-05,2023-05-08,SH600530,sell,missing_market_data
2023-05-05,2023-05-08,SH600652,sell,missing_market_data
2023-05-05,2023-05-08,SZ000673,sell,missing_market_data
2023-05-05,2023-05-08,SZ300312,sell,missing_market_data
2023-06-02,2023-06-05,SH600260,sell,missing_market_data
