datetime,instrument,kunquant_alpha101_alpha004,kunquant_alpha101_alpha009,kunquant_alpha101_alpha012,kunquant_alpha101_alpha033,kunquant_alpha101_alpha101
2020-10-09,SH600000,,,,0.8508064516129032,-0.24417855
2020-10-12,SH600000,,-0.08916712,-0.08916712,0.5866935483870968,0.6606678
2020-10-13,SH600000,,0.026202679,-0.026202679,0.5180722891566265,-0.55626136
2020-10-14,SH600000,,0.005084038,0.005084038,0.2575452716297787,-0.16153212
2020-10-15,SH600000,,-0.047320843,-0.047320843,0.13855421686746988,0.41686776
2020-10-16,SH600000,,-0.052405357,-0.052405357,0.18473895582329317,0.63988245
2020-10-19,SH600000,,0.03676176,0.03676176,0.4819277108433735,-0.27406025
2020-10-20,SH600000,,0.03676176,-0.03676176,0.8835341365461847,-0.3523388
2020-10-21,SH600000,-4.0,-0.06296396,-0.06296396,0.0783132530120482,0.6252993
2020-10-22,SH600000,-9.0,0.026202202,-0.026202202,0.4819277108433735,-0.11634061
2020-10-23,SH600000,-8.0,-0.026202202,-0.026202202,0.10441767068273092,0.4071943
2020-10-26,SH600000,-8.5,0.05240488,-0.05240488,0.7590361445783133,-0.7411682
2020-10-27,SH600000,-6.0,0.06296444,-0.06296444,0.8734939759036144,-0.98295736
2020-10-28,SH600000,-4.0,0.0418458,0.0418458,0.7349397590361446,-0.56374705
2020-10-29,SH600000,-6.0,0.016034603,-0.016034603,0.6813627254509018,0.17871721
2020-10-30,SH600000,-5.5,-0.057489395,0.057489395,0.3046092184368738,-0.59433246
2020-11-02,SH600000,-6.5,-0.005084038,-0.005084038,0.4497991967871486,-0.26807868
2020-11-03,SH600000,-6.0,-0.026202679,-0.026202679,0.8714859437751004,-0.08202716
2020-11-04,SH600000,-2.5,-0.020727634,0.020727634,0.38755020080321284,-0.082023986
2020-11-05,SH600000,-3.0,-0.010559082,-0.010559082,0.9457831325301205,-0.75810707
2020-11-06,SH600000,-1.0,-0.01564312,-0.01564312,0.29518072289156627,0.19625333
2020-11-09,SH600000,-1.0,0.02111864,-0.02111864,0.8136272545090181,0.10880541
2020-11-10,SH600000,-1.5,0.015643597,0.015643597,0.23446893787575152,-0.065824464
2020-11-11,SH600000,-2.0,0.05240488,0.05240488,0.2845691382765531,0.49328002
2020-11-12,SH600000,-5.0,0.06804848,-0.06804848,0.8136272545090181,-0.88315755
2020-11-13,SH600000,-1.0,0.03676176,-0.03676176,0.591182364729459,-0.610447
2020-11-16,SH600000,-1.0,-0.047320843,0.047320843,0.6172344689378757,0.76163274
2020-11-17,SH600000,-2.5,-0.041846275,-0.041846275,0.2845691382765531,0.76163787
2020-11-18,SH600000,-3.0,-0.08916664,-0.08916664,0.1523046092184369,0.6252125
2020-11-19,SH600000,-8.5,-0.02111864,0.02111864,0.3527054108216433,0.28186992
2020-11-20,SH600000,-1.5,0.03676176,-0.03676176,0.7274549098196392,-0.089357585
2020-11-23,SH600000,-6.5,-0.120453835,-0.120453835,0.14228456913827656,0.82217854
2020-11-24,SH600000,-6.5,0.026202679,-0.026202679,0.6793587174348698,-0.46080765
2020-11-25,SH600000,-7.0,0.02111864,-0.02111864,0.3687374749498998,-0.49475762
2020-11-26,SH600000,-6.5,-0.08916712,-0.08916712,0.13827655310621242,0.60368985
2020-11-27,SH600000,-8.5,-0.11536932,-0.11536932,0.12024048096192384,0.7854249
2020-11-30,SH600000,-9.0,0.073132515,0.073132515,0.9258517034068137,-0.50857526
2020-12-01,SH600000,-8.0,-0.12553787,0.12553787,0.18036072144288579,0.6434489
2020-12-02,SH600000,-9.0,0.026202679,-0.026202679,0.5533199195171026,-0.04952882
2020-12-03,SH600000,-8.0,0.005084038,-0.005084038,0.39156626506024095,0.082029
2020-12-04,SH600000,-6.0,0.03676176,-0.03676176,0.7228915662650602,-0.34669393
2020-12-07,SH600000,-3.0,0.094251156,0.094251156,0.6104417670682731,-0.44132823
2020-12-08,SH600000,-4.0,-0.0054750443,-0.0054750443,0.2791164658634538,0.075812444
2020-12-09,SH600000,-5.5,-0.03676176,0.03676176,0.26104417670682734,-0.38481006
2020-12-10,SH600000,-1.5,-0.046930313,-0.046930313,0.7831325301204819,-0.44575033
2020-12-11,SH600000,-2.0,-0.06296444,0.06296444,0.46987951807228917,-0.7295218
2020-12-14,SH600000,-7.0,-0.026202679,0.026202679,0.613682092555332,0.0
2020-12-15,SH600000,-2.5,0.021118164,0.021118164,0.5542168674698795,-0.14093348
2020-12-16,SH600000,-6.0,0.031286716,0.031286716,0.5050100200400801,-0.49327695
2020-12-17,SH600000,-1.0,-0.06296444,0.06296444,0.3847695390781563,0.64386207
2020-12-18,SH600000,-1.0,0.005475521,-0.005475521,0.45691382765531063,0.19625333
2020-12-21,SH600000,-1.0,0.005084038,0.005084038,0.5281124497991968,0.41014805
2020-12-22,SH600000,-1.0,0.07352352,0.07352352,0.4578313253012048,-0.69338685
2020-12-23,SH600000,-1.0,0.031286716,-0.031286716,0.7323943661971831,-0.3088193
2020-12-24,SH600000,-3.0,-0.0,0.0,0.19919517102615694,0.0
2020-12-25,SH600000,-6.0,-0.015643597,0.015643597,0.6875,0.19625875
2020-12-28,SH600000,-8.0,0.0050845146,0.0050845146,0.30443548387096775,0.15161757
2020-12-29,SH600000,-9.0,0.021118164,0.021118164,0.607645875251509,-0.588771
2020-12-30,SH600000,-7.0,0.015643597,0.015643597,0.6498993963782697,-0.19626242
2020-12-31,SH600000,-6.5,-0.094251156,-0.094251156,0.2575452716297787,0.841974
2021-01-04,SH600000,-4.0,-0.005084038,0.005084038,0.4949698189134809,0.27486643
2021-01-05,SH600000,-4.0,0.005084038,-0.005084038,0.45582329317269077,0.0
2021-01-06,SH600000,-7.0,-0.07352352,-0.07352352,0.1144578313253012,0.94380605
2021-01-07,SH600000,-9.0,0.0054750443,-0.0054750443,0.26506024096385544,-0.073553376
2021-01-08,SH600000,-8.0,-0.010559082,0.010559082,0.6104417670682731,0.0
2021-01-11,SH600000,-7.0,0.07352352,0.07352352,0.3534136546184739,-0.53454006
2021-01-12,SH600000,-5.5,-0.04732132,0.04732132,0.5040160642570282,0.3775227
2021-01-13,SH600000,-8.5,-0.031677723,-0.031677723,0.24497991967871485,0.55587524
2021-01-14,SH600000,-9.0,-0.01564312,0.01564312,0.5622489959839357,0.19810903
2021-01-15,SH600000,-9.0,-0.026202679,-0.026202679,0.748995983935743,-0.19236614
2021-01-18,SH600000,-7.0,0.0836916,0.0836916,0.3199195171026157,0.63515484
2021-01-19,SH600000,-7.5,0.04223728,0.04223728,0.3192771084337349,0.37204498
2021-01-20,SH600000,-7.0,0.09464216,-0.09464216,0.8554216867469879,-0.6759557
2021-01-21,SH600000,-8.0,0.005084038,-0.005084038,0.6973947895791583,-0.14093538
2021-01-22,SH600000,-3.0,0.094251156,0.094251156,0.5691382765531062,-0.8022396
2021-01-25,SH600000,-2.5,0.03676176,-0.03676176,0.30861723446893785,-0.44679967
2021-01-26,SH600000,-7.5,-0.02111864,-0.02111864,0.41282565130260523,-0.08203022
2021-01-27,SH600000,-9.0,-0.026202679,-0.026202679,0.36072144288577157,0.27038252
2021-01-28,SH600000,-7.0,0.03676176,-0.03676176,0.5771543086172345,-0.5306733
2021-01-29,SH600000,-9.0,-0.1572156,-0.1572156,0.040160642570281124,0.5602751
2021-02-01,SH600000,-9.0,-0.25185728,-0.25185728,0.050200803212851405,0.85924315
2021-02-02,SH600000,-9.0,0.11536932,-0.11536932,0.8008048289738431,-0.40384254
2021-02-03,SH600000,-8.0,-0.021118164,0.021118164,0.17269076305220885,0.18821776
2021-02-04,SH600000,-9.0,-0.010559559,0.010559559,0.15060240963855423,0.23980337
2021-02-05,SH600000,-8.5,-0.23034811,-0.23034811,0.04417670682730924,0.7693566
2021-02-08,SH600000,-9.0,-0.0,0.0,0.5261044176706827,0.033123758
2021-02-09,SH600000,-8.0,0.020727634,-0.020727634,0.8875502008032129,-0.09905407
2021-02-10,SH600000,-7.0,-0.005084038,-0.005084038,0.5843373493975904,0.06851266
