factor,weight,valid_rows,coverage
alpha158_MIN60,1.0,1093663,0.9976574280420824
alpha158_QTLD60,1.0,1093663,0.9976574280420824
alpha158_ROC60,1.0,1091903,0.9960519270117338
alpha158_MIN30,1.0,1093663,0.9976574280420824
alpha158_ROC30,1.0,1091734,0.9958977624241606
alpha158_QTLD30,1.0,1093663,0.9976574280420824
alpha158_IMIN60,1.0,1096215,0.9999854045360878
alpha158_MIN10,1.0,1093663,0.9976574280420824
alpha158_IMIN30,1.0,1095986,0.9997765069588436
alpha158_MIN5,1.0,1093663,0.9976574280420824
alpha158_IMIN20,1.0,1095763,0.9995730826805664
alpha158_QTLD10,1.0,1093663,0.9976574280420824
alpha158_VSUMN60,1.0,1096214,0.9999844923195932
alpha158_ROC10,1.0,1091859,0.9960117894859751
