datetime,instrument,alpha158_ROC10,alpha158_ROC30,alpha158_ROC60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN30,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD30,alpha158_QTLD60,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_VSUMN60
2024-01-02,SH600000,0.9969768,1.0470061,1.0650479,0.9863637,0.9832957,0.9832957,0.9832957,0.9939536,0.9969768,1.0027112,0.65,0.76666665,0.8833333,0.5059341
2024-01-03,SH600000,0.9879798,1.0481776,1.0556418,0.98043555,0.977386,0.977386,0.977386,0.9891431,0.99098486,0.9966848,0.6,0.73333335,0.8666667,0.50613433
2024-01-04,SH600000,0.98638797,1.0483228,1.0603791,0.989426,0.98033196,0.98033196,0.98033196,0.9936607,0.9939718,0.99968886,0.55,0.7,0.85,0.49508432
2024-01-05,SH600000,0.98352283,1.0374832,1.0687994,0.98055947,0.97457826,0.97154695,0.97154695,0.98506457,0.98506457,0.9907304,0.5,0.6666667,0.8333333,0.49183416
2024-01-08,SH600000,0.9985348,1.0546981,1.0773588,0.9939681,0.9879051,0.98483235,0.98483235,0.999707,0.9985348,1.0030279,0.45,0.6333333,0.81666666,0.48155773
2024-01-09,SH600000,0.9955204,1.0439185,1.069627,0.9894099,0.9849228,0.9818593,0.9818593,0.9982276,0.9955204,1.0,0.4,0.6,0.8,0.49399674
2024-01-10,SH600000,0.9985304,1.045655,1.0791614,0.9954199,0.9909056,0.9878235,0.9878235,1.0042912,1.0012541,1.0057803,0.35,0.56666666,0.78333336,0.4967131
2024-01-11,SH600000,1.0107442,1.0444554,1.0796452,0.99846864,0.99846864,0.9938604,0.9938604,1.008556,1.0061114,1.0107442,0.3,0.53333336,0.76666665,0.4855661
2024-01-12,SH600000,1.0276265,1.0537678,1.0522825,1.0,1.0,0.9983874,0.9983874,1.0094663,1.0106941,1.0150312,0.25,0.5,0.75,0.5293483
2024-01-15,SH600000,1.0169072,1.052205,1.05527,0.9938556,0.9938556,0.9938556,0.9938556,1.002452,1.0088986,1.0119636,1.0,1.0,1.0,0.5027216
