factor,valid_rows,total_rows,coverage,missing_rate,min,max,mean
alpha158_ROC10,1091859,1096231,0.9960117894859751,0.00398821051402487,0.18114137649536133,7.234567642211914,1.0019865036010742
alpha158_ROC30,1091734,1096231,0.9958977624241606,0.004102237575839385,0.13402581214904785,38.195945739746094,1.003903865814209
alpha158_ROC60,1091903,1096231,0.9960519270117338,0.00394807298826616,0.1431931108236313,46.5069465637207,1.0038683414459229
alpha158_MIN5,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.1955161690711975,1.0,0.956540584564209
alpha158_MIN10,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.19064566493034363,1.0,0.9376314282417297
alpha158_MIN30,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.12484706193208694,1.0,0.8902338147163391
alpha158_MIN60,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.12484706193208694,1.0,0.8452919721603394
alpha158_QTLD10,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.20437955856323242,4.827550888061523,0.9746829271316528
alpha158_QTLD30,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.16572867333889008,28.385135650634766,0.9540078043937683
alpha158_QTLD60,1093663,1096231,0.9976574280420824,0.0023425719579176496,0.13639281690120697,38.43648910522461,0.9352022409439087
alpha158_IMIN20,1095763,1096231,0.9995730826805664,0.0004269173194335618,0.05000000074505806,1.0,0.5045620203018188
alpha158_IMIN30,1095986,1096231,0.9997765069588436,0.00022349304115643065,0.03333333507180214,1.0,0.4946957528591156
alpha158_IMIN60,1096215,1096231,0.9999854045360878,1.4595463912248086e-05,0.01666666753590107,1.0,0.4802455008029938
alpha158_VSUMN60,1096214,1096231,0.9999844923195932,1.5507680406812163e-05,0.0,1.0,0.49958014488220215
