factor,valid_rows,total_rows,coverage,missing_rate,min,max,mean
alpha158_KMID,1598099,1603860,0.9964080406020476,0.0035919593979524267,-0.6107784509658813,0.47058817744255066,0.0008263353956863284
alpha158_KLEN,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.0,1.08695650100708,0.036718569695949554
alpha158_KMID2,1598099,1603860,0.9964080406020476,0.0035919593979524267,-1.0,1.0,-0.021948697045445442
alpha158_KUP,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.0,0.6739130616188049,0.010040883906185627
alpha158_KUP2,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.0,1.0,0.28322672843933105
alpha158_KLOW,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.0,0.21428576111793518,0.008463941514492035
alpha158_KLOW2,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.0,1.0,0.2584272623062134
alpha158_KSFT,1598099,1603860,0.9964080406020476,0.0035919593979524267,-0.5329340696334839,0.47058817744255066,-0.0007506034453399479
alpha158_KSFT2,1598099,1603860,0.9964080406020476,0.0035919593979524267,-1.0,1.0,-0.04674817994236946
alpha158_OPEN0,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.6800000071525574,2.569230794906616,0.9998601675033569
alpha158_HIGH0,1598099,1603860,0.9964080406020476,0.0035919593979524267,1.0,2.569230794906616,1.0190000534057617
alpha158_LOW0,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.6800000071525574,1.0,0.9824054837226868
alpha158_VWAP0,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.7810113430023193,1.188323974609375,1.000432014465332
alpha158_ROC5,1596064,1603860,0.9951392266157895,0.004860773384210537,0.40178003907203674,3.0181517601013184,1.0031312704086304
alpha158_ROC10,1595119,1603860,0.9945500230693453,0.005449976930654743,0.23989373445510864,4.051948070526123,1.006604552268982
alpha158_ROC20,1594613,1603860,0.9942345341862756,0.005765465813724391,0.19527724385261536,8.13813304901123,1.0132148265838623
alpha158_ROC30,1594608,1603860,0.994231416707194,0.005768583292806051,0.16834557056427002,12.652941703796387,1.0188493728637695
alpha158_ROC60,1594671,1603860,0.9942706969436235,0.0057293030563765335,0.07474075257778168,21.01449203491211,1.0310297012329102
alpha158_MA5,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.7176944017410278,1.6383999586105347,1.001234769821167
alpha158_MA10,1598099,1603860,0.9964080406020476,0.0035919593979524267,0.5606597661972046,2.3534653186798096,1.00287663936615
