catalog_name,factor_name,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
alpha158_KMID,KMID,kbar,($close-$open)/$open,"$close,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KLEN,KLEN,kbar,($high-$low)/$open,"$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KMID2,KMID2,kbar,($close-$open)/($high-$low+1e-12),"$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KUP,KUP,kbar,"($high-Greater($open, $close))/$open","$close,$high,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KUP2,KUP2,kbar,"($high-Greater($open, $close))/($high-$low+1e-12)","$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KLOW,KLOW,kbar,"(Less($open, $close)-$low)/$open","$close,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KLOW2,KLOW2,kbar,"(Less($open, $close)-$low)/($high-$low+1e-12)","$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KSFT,KSFT,kbar,(2*$close-$high-$low)/$open,"$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_KSFT2,KSFT2,kbar,(2*$close-$high-$low)/($high-$low+1e-12),"$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_OPEN0,OPEN0,price_volume_lag,$open/$close,"$close,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_HIGH0,HIGH0,price_volume_lag,$high/$close,"$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
