datetime,instrument,alpha158_KMID,alpha158_KLEN,alpha158_KMID2,alpha158_KUP,alpha158_KUP2,alpha158_KLOW,alpha158_KLOW2,alpha158_KSFT,alpha158_KSFT2,alpha158_OPEN0,alpha158_HIGH0,alpha158_LOW0,alpha158_VWAP0,alpha158_ROC5,alpha158_ROC10,alpha158_ROC20,alpha158_ROC30,alpha158_ROC60,alpha158_MA5,alpha158_MA10,alpha158_MA20,alpha158_MA30,alpha158_MA60,alpha158_STD5,alpha158_STD10,alpha158_STD20,alpha158_STD30,alpha158_STD60,alpha158_BETA5,alpha158_BETA10,alpha158_BETA20,alpha158_BETA30,alpha158_BETA60,alpha158_RSQR5,alpha158_RSQR10,alpha158_RSQR20,alpha158_RSQR30,alpha158_RSQR60,alpha158_RESI5,alpha158_RESI10,alpha158_RESI20,alpha158_RESI30,alpha158_RESI60,alpha158_MAX5,alpha158_MAX10,alpha158_MAX20,alpha158_MAX30,alpha158_MAX60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN20,alpha158_MIN30,alpha158_MIN60,alpha158_QTLU5,alpha158_QTLU10,alpha158_QTLU20,alpha158_QTLU30,alpha158_QTLU60,alpha158_QTLD5,alpha158_QTLD10,alpha158_QTLD20,alpha158_QTLD30,alpha158_QTLD60,alpha158_RANK5,alpha158_RANK10,alpha158_RANK20,alpha158_RANK30,alpha158_RANK60,alpha158_RSV5,alpha158_RSV10,alpha158_RSV20,alpha158_RSV30,alpha158_RSV60,alpha158_IMAX5,alpha158_IMAX10,alpha158_IMAX20,alpha158_IMAX30,alpha158_IMAX60,alpha158_IMIN5,alpha158_IMIN10,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_IMXD5,alpha158_IMXD10,alpha158_IMXD20,alpha158_IMXD30,alpha158_IMXD60,alpha158_CORR5,alpha158_CORR10,alpha158_CORR20,alpha158_CORR30,alpha158_CORR60,alpha158_CORD5,alpha158_CORD10,alpha158_CORD20,alpha158_CORD30,alpha158_CORD60,alpha158_CNTP5,alpha158_CNTP10,alpha158_CNTP20,alpha158_CNTP30,alpha158_CNTP60,alpha158_CNTN5,alpha158_CNTN10,alpha158_CNTN20,alpha158_CNTN30,alpha158_CNTN60,alpha158_CNTD5,alpha158_CNTD10,alpha158_CNTD20,alpha158_CNTD30,alpha158_CNTD60,alpha158_SUMP5,alpha158_SUMP10,alpha158_SUMP20,alpha158_SUMP30,alpha158_SUMP60,alpha158_SUMN5,alpha158_SUMN10,alpha158_SUMN20,alpha158_SUMN30,alpha158_SUMN60,alpha158_SUMD5,alpha158_SUMD10,alpha158_SUMD20,alpha158_SUMD30,alpha158_SUMD60,alpha158_VMA5,alpha158_VMA10,alpha158_VMA20,alpha158_VMA30,alpha158_VMA60,alpha158_VSTD5,alpha158_VSTD10,alpha158_VSTD20,alpha158_VSTD30,alpha158_VSTD60,alpha158_WVMA5,alpha158_WVMA10,alpha158_WVMA20,alpha158_WVMA30,alpha158_WVMA60,alpha158_VSUMP5,alpha158_VSUMP10,alpha158_VSUMP20,alpha158_VSUMP30,alpha158_VSUMP60,alpha158_VSUMN5,alpha158_VSUMN10,alpha158_VSUMN20,alpha158_VSUMN30,alpha158_VSUMN60,alpha158_VSUMD5,alpha158_VSUMD10,alpha158_VSUMD20,alpha158_VSUMD30,alpha158_VSUMD60
2020-10-09,SH600000,-0.0021186331,0.0084745325,-0.25,0.0042372663,0.5,0.0021186331,0.25,-0.0042372663,-0.5,1.0021231,1.0063694,0.9978769,1.0024039,1.0085517,1.0435505,1.0743526,1.1114894,1.2071422,1.0015203,1.0168184,1.0364003,1.0573283,1.0925832,0.003427097,0.020377716,0.025285756,0.03715402,0.0467866,-0.0018212142,-0.006259761,-0.0040834523,-0.004145728,-0.0024309857,0.7060074,0.8649995,0.9127904,0.96492094,0.82342046,0.0021221272,0.011350511,0.0023924683,0.002784703,-0.020869117,1.0117543,1.0584605,1.0786375,1.1221379,1.2171999,0.99258626,0.99258626,0.99258626,0.99258626,0.99258626,1.0044976,1.03275,1.0584053,1.0989627,1.1259956,0.9993665,1.0008868,1.0051627,1.0195739,1.0501386,0.4,0.2,0.1,0.06666667,0.033333335,0.3867754,0.11254366,0.08615477,0.057226025,0.033006564,0.2,0.2,0.1,0.06666667,0.016666668,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.7,-0.85,-0.9,-0.96666664,-0.870617,0.8228933,0.5393261,0.15377128,0.49264947,-0.009098461,0.45493147,0.32016224,0.2758629,0.4111465,0.2,0.2,0.15,0.16666667,0.33333334,0.8,0.8,0.8,0.8,0.65,-0.6,-0.6,-0.65,-0.6333333,-0.31666666,0.21276858,0.20302448,0.16959958,0.18932067,0.32199264,0.78723145,0.7969755,0.8304004,0.8106793,0.67800736,-0.57446283,-0.59395105,-0.6608008,-0.6213587,-0.35601473,0.84232605,1.2079641,1.2119306,1.1958045,1.4026682,0.14795145,0.52185464,0.3768706,0.37119895,0.5334918,0.48645926,0.9329219,1.0022773,0.92007905,1.1861222,0.32873428,0.49047354,0.4978929,0.48218665,0.4706819,0.6712657,0.5095265,0.5021071,0.5178134,0.5293181,-0.34253144,-0.01905294,-0.004214218,-0.035626736,-0.058636215
2020-10-12,SH600000,0.0148148285,0.022222195,0.6666681,0.004232753,0.19047412,0.003174613,0.14285776,0.013756688,0.61905175,0.98540145,1.004171,0.98227316,0.9968339,0.9875554,1.0365559,1.0500894,1.0948899,1.1471571,0.98624873,0.995131,1.0155168,1.0354152,1.0707552,0.008119309,0.015082027,0.023942849,0.035546035,0.045870148,0.0025978084,-0.0035646155,-0.003762146,-0.0039327443,-0.0023825506,0.25592694,0.51205593,0.8641471,0.9486603,0.82285595,0.008555677,0.02090975,0.020223591,0.021609623,-0.000469947,1.004171,1.0396903,1.0595094,1.1022384,1.1719366,0.97498417,0.97498417,0.97498417,0.97498417,0.97498417,0.98917323,1.0056622,1.0369604,1.0742786,1.1045656,0.9816442,0.98313755,0.98733765,0.9981333,1.0281558,1.0,0.7,0.35,0.23333333,0.11666667,0.8570941,0.38660702,0.29595658,0.19658135,0.12701443,1.0,0.1,0.05,0.033333335,0.016666668,0.6,0.8,0.9,0.93333334,0.96666664,0.4,-0.7,-0.85,-0.9,-0.95,0.6892034,0.64935255,0.55070406,0.18761927,0.44439444,0.7177467,0.40081316,0.4534468,0.44514704,0.44486138,0.4,0.2,0.2,0.16666667,0.35,0.6,0.8,0.75,0.8,0.6333333,-0.2,-0.6,-0.55,-0.6333333,-0.28333333,0.71276534,0.26640227,0.2964608,0.2514267,0.36638442,0.28723466,0.7335977,0.7035392,0.7485733,0.63361555,0.42553067,-0.46719542,-0.4070784,-0.49714658,-0.26723117,0.6140397,0.6777838,0.74414724,0.7309658,0.83270717,0.23066758,0.21887934,0.23018363,0.22256345,0.31451562,1.5132887,0.9667756,1.0316875,0.94165707,1.1408235,0.9260304,0.40680125,0.5512326,0.545017,0.49170145,0.07396958,0.5931987,0.44876742,0.45498297,0.5082985,0.85206085,-0.18639748,0.102465145,0.09003407,-0.016597077
2020-10-13,SH600000,-0.0041753044,0.007306925,-0.57141745,0.0010438735,0.14286086,0.002087747,0.28572172,-0.0031314308,-0.4285566,1.0041928,1.005241,0.9979035,0.9996709,0.99163413,1.031509,1.0493354,1.0964817,1.1591868,0.99308836,0.9971931,1.0183698,1.0376232,1.0737112,0.00902935,0.010531919,0.023515545,0.034883287,0.045843095,0.0043940716,-0.0015243856,-0.0036295385,-0.0038330832,-0.0023798419,0.59205395,0.19203752,0.8337978,0.93575764,0.8219552,-0.0018764787,0.009666637,0.016110815,0.017956585,-0.003505879,1.0094312,1.0314857,1.0576723,1.1017287,1.1681232,0.98009163,0.98009163,0.98009163,0.98009163,0.98009163,1.0010477,1.0060829,1.040297,1.0693979,1.1092728,0.98678654,0.9882877,0.9925098,0.9991712,1.0331353,0.8,0.7,0.35,0.23333333,0.11666667,0.67854786,0.38736746,0.2566152,0.16367023,0.105877735,0.8,0.1,0.05,0.16666667,0.11666667,0.4,0.7,0.85,0.9,0.95,0.4,-0.6,-0.8,-0.73333335,-0.8333333,0.41634616,0.58651245,0.5547475,0.2822907,0.4375644,0.664995,0.3210902,0.493685,0.43878087,0.43650693,0.4,0.2,0.2,0.16666667,0.33333334,0.6,0.8,0.75,0.8,0.65,-0.2,-0.6,-0.55,-0.6333333,-0.31666666,0.62470764,0.28541043,0.2989171,0.25000036,0.35601148,0.3752924,0.71458954,0.7010829,0.74999964,0.6439885,0.24941523,-0.4291791,-0.40216577,-0.49999925,-0.287977,1.4718757,1.5109344,1.7138317,1.7238883,1.934803,0.53332156,0.5332962,0.5672259,0.54226524,0.72569585,1.3684978,1.0863445,1.0707316,0.94174033,1.1583642,0.5113998,0.40844724,0.44812545,0.4870674,0.46300718,0.48860016,0.5915528,0.5518745,0.5129326,0.53699285,0.022799656,-0.18310553,-0.1037491,-0.025865186,-0.073985666
2020-10-14,SH600000,-0.001048217,0.0062893014,-0.16666667,0.002096434,0.33333334,0.0031446507,0.5,0.0,0.0,1.0010493,1.003148,0.99685204,1.0000367,0.9895124,1.0178444,1.0545511,1.0965015,1.1325036,0.99619627,0.99642324,1.0166783,1.0354621,1.0725952,0.008924298,0.008069766,0.02238496,0.03383657,0.046252787,0.0042028786,-0.000119053744,-0.003355535,-0.0036877473,-0.0024070954,0.55447954,0.0019951507,0.78646415,0.9205584,0.82605827,-0.0046020313,0.004112504,0.015199204,0.018010208,-0.0015859419,1.0104584,1.0199314,1.0577486,1.1028496,1.1693118,0.9810888,0.9810888,0.9810888,0.9810888,0.9810888,1.0020663,1.0020663,1.0392424,1.0631603,1.1085074,0.9877905,0.9892932,0.9935196,0.99937385,1.0323393,0.6,0.7,0.35,0.23333333,0.11666667,0.643905,0.48686734,0.24669003,0.15531413,0.10047221,0.6,0.1,0.05,0.13333334,0.1,0.2,0.6,0.8,0.8666667,0.93333334,0.4,-0.5,-0.75,-0.73333335,-0.8333333,0.3634371,0.39893833,0.55331844,0.34381014,0.42238137,0.6186995,0.42275178,0.5112875,0.4415449,0.43182358,0.4,0.2,0.15,0.16666667,0.33333334,0.6,0.8,0.8,0.8,0.65,-0.2,-0.6,-0.65,-0.6333333,-0.31666666,0.6666667,0.35078615,0.27207366,0.2501018,0.37416402,0.33333334,0.64921385,0.7279263,0.7498982,0.62583596,0.33333334,-0.2984277,-0.45585266,-0.4997964,-0.25167194,1.0076293,0.93319255,1.1075346,1.1296763,1.2474467,0.33108357,0.29109135,0.37031186,0.3519608,0.46608013,1.4424725,1.2872503,1.112721,0.9406505,1.1783881,0.55722535,0.42705292,0.48350936,0.5058136,0.47921947,0.44277465,0.5729471,0.51649064,0.4941864,0.52078056,0.114450715,-0.14589414,-0.032981288,0.011627208,-0.04156107
2020-10-15,SH600000,0.008385708,0.01991608,0.42105213,0.010482183,0.52631754,0.0010481897,0.05263032,-0.0010482849,-0.052635107,0.991684,1.010395,0.9906446,1.0023967,0.97604275,1.0010079,1.0405489,1.077919,1.1021088,0.9916422,0.9869748,1.0051132,1.0231509,1.0608312,0.00796753,0.007802952,0.020768799,0.03233512,0.04621856,0.0035509306,0.0015158576,-0.002898567,-0.0034594699,-0.0024199493,0.49656597,0.34594765,0.68172926,0.88709843,0.8361411,0.0012559888,0.006203891,0.022423169,0.02701142,0.010557345,1.010395,1.010395,1.0456711,1.0925035,1.1583422,0.9770652,0.97188497,0.97188497,0.97188497,0.97188497,0.997457,0.9926656,1.025725,1.0477903,1.0952086,0.9883238,0.9800124,0.98419917,0.98999846,1.0190881,1.0,1.0,0.5,0.33333334,0.16666667,0.6881164,0.73007,0.38103396,0.23309033,0.15078537,1.0,1.0,0.05,0.1,0.083333336,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.5,-0.7,-0.73333335,-0.8333333,0.5854024,0.5983294,0.5323862,0.35412788,0.3826056,0.7249508,0.45195967,0.5494532,0.4790999,0.46097827,0.6,0.3,0.2,0.2,0.35,0.4,0.7,0.75,0.76666665,0.6333333,0.2,-0.4,-0.55,-0.56666666,-0.28333333,0.8294242,0.49178264,0.33625567,0.2974609,0.40012145,0.17057578,0.5082174,0.66374433,0.7025391,0.59987855,0.6588484,-0.016434733,-0.32748866,-0.40507817,-0.19975707,0.73663145,0.64286137,0.7321234,0.74740076,0.8024744,0.25811005,0.22674346,0.24860324,0.23206356,0.2911412,1.1407151,1.2037597,1.0565983,0.92313576,1.178648,0.63001114,0.5773485,0.52589965,0.5293355,0.48440343,0.36998883,0.42265156,0.47410038,0.47066447,0.51559657,0.2600223,0.1546969,0.051799245,0.058671035,-0.031193128
2020-10-16,SH600000,0.01144645,0.017689908,0.64706105,0.0052028974,0.2941167,0.0010405605,0.05882227,0.007284113,0.4117666,0.9886831,1.005144,0.9876543,0.99837375,0.9690761,0.97736335,1.0246317,1.0647637,1.0927716,0.9876304,0.9790899,0.99354666,1.0104716,1.048377,0.007885605,0.010657577,0.019376526,0.030514406,0.045838244,0.0035144186,0.0028001003,-0.002322795,-0.0031458454,-0.0024042833,0.49656597,0.6327639,0.5029653,0.8236953,0.8391028,0.0053407173,0.008309624,0.028519917,0.03514312,0.022549305,1.005144,1.005144,1.0257288,1.08127,1.1464317,0.9690828,0.96189165,0.96189165,0.96189165,0.96189165,0.9917741,0.98720074,1.0143492,1.0343308,1.0824739,0.9812308,0.96993554,0.9740792,0.9798189,0.9995856,1.0,1.0,0.65,0.43333334,0.21666667,0.8573534,0.8810697,0.5969621,0.3192234,0.20650458,1.0,1.0,0.35,0.06666667,0.06666667,0.2,0.4,0.7,0.8,0.9,0.8,0.6,-0.35,-0.73333335,-0.8333333,0.7708023,0.7482687,0.5225565,0.4430588,0.3350745,0.6806124,0.6100183,0.536404,0.47229183,0.46075556,0.6,0.4,0.25,0.23333333,0.35,0.4,0.6,0.7,0.73333335,0.6333333,0.2,-0.2,-0.45,-0.5,-0.28333333,0.85790396,0.6964049,0.4034877,0.33693996,0.40978965,0.14209606,0.30359516,0.59651226,0.66306007,0.5902103,0.71580786,0.39280972,-0.19302458,-0.3261201,-0.1804207,0.74469376,0.59615135,0.6608015,0.6802568,0.7031422,0.26063117,0.23969609,0.23305269,0.2083551,0.24574499,0.8496063,1.2034811,1.0163738,0.87530977,1.1549351,0.6561606,0.5684108,0.53162634,0.54847765,0.48660386,0.34383938,0.43158922,0.4683737,0.45152232,0.51339614,0.31232125,0.1368216,0.06325265,0.096955344,-0.026792271
2020-10-19,SH600000,-0.008222006,0.029804712,-0.2758626,0.020554967,0.68965495,0.001027739,0.034482434,-0.027749235,-0.93103516,1.0082902,1.0290155,0.9989637,1.0126761,0.99373937,0.9813727,1.0279796,1.0839388,1.10759,0.9960581,0.98806614,0.99936616,1.0150151,1.0542008,0.008221307,0.0113992,0.0184368,0.028227149,0.046222687,0.0042587747,0.0032509372,-0.0019209008,-0.0028275854,-0.0024260937,0.6708534,0.7455552,0.37993276,0.7776769,0.8402425,-0.0045756553,-0.0026953584,0.018882379,0.025984826,0.017368995,1.0290155,1.0290155,1.0331811,1.0891259,1.154761,0.98444724,0.9688802,0.9688802,0.9688802,0.9688802,1.001453,0.99752665,1.0201113,1.0381511,1.0893183,0.98835987,0.9769825,0.9811563,0.9869377,1.0041428,0.8,0.9,0.6,0.4,0.2,0.34896442,0.51749617,0.48397145,0.25880203,0.1674182,1.0,1.0,0.3,0.033333335,0.05,0.4,0.3,0.65,0.76666665,0.8833333,0.6,0.7,-0.35,-0.73333335,-0.8333333,0.83225244,0.78414226,0.5039847,0.40368846,0.27815026,0.47367483,0.5401591,0.5199106,0.4123114,0.4738444,0.4,0.4,0.25,0.2,0.33333334,0.6,0.6,0.7,0.76666665,0.65,-0.2,-0.2,-0.45,-0.56666666,-0.31666666,0.59440553,0.64968926,0.39377958,0.28571457,0.3962125,0.40559444,0.3503107,0.6062204,0.71428543,0.60378754,0.18881111,0.29937854,-0.21244086,-0.42857087,-0.20757505,0.7016416,0.5929813,0.6055646,0.6147171,0.62499565,0.27540308,0.24807341,0.22627577,0.19825928,0.22097787,0.7360274,1.038754,0.96617776,0.87450886,1.1491761,0.5939033,0.69838995,0.55203027,0.5352972,0.5061472,0.4060967,0.30161008,0.44796976,0.46470279,0.4938528,0.18780658,0.39677984,0.104060486,0.07059446,0.012294423
2020-10-20,SH600000,-0.005192023,0.014537834,-0.3571387,0.002076847,0.14285807,0.0072689643,0.5000032,9.443647e-08,6.495911e-06,1.0052191,1.0073068,0.9926931,0.9991791,0.99579567,0.98746496,1.0334008,1.0814388,1.1404546,1.0041887,0.99655086,1.0050101,1.019729,1.0595751,0.007499482,0.01121364,0.017514091,0.026423639,0.046073634,0.0013547272,0.0030090746,-0.0016084837,-0.002586214,-0.0024122347,0.081579536,0.66006106,0.29520673,0.7424128,0.83605343,-0.006898155,-0.01009172,0.010270519,0.017771097,0.011585813,1.0365465,1.0365465,1.0407425,1.0814271,1.1632122,0.991652,0.975971,0.975971,0.975971,0.975971,1.0087823,1.0048271,1.0263002,1.0449237,1.0970881,0.9989567,0.9841326,0.9883369,0.99416065,1.0068982,0.4,0.6,0.45,0.3,0.15,0.18594703,0.39667863,0.37098077,0.22785784,0.12833181,0.8,0.9,0.25,0.033333335,0.033333335,0.2,0.2,0.6,0.73333335,0.8666667,0.6,0.7,-0.35,-0.7,-0.8333333,0.8548033,0.773683,0.5904322,0.33133227,0.24524619,0.54338723,0.6040246,0.5416931,0.4801994,0.48861828,0.4,0.4,0.25,0.2,0.31666666,0.6,0.6,0.7,0.76666665,0.6666667,-0.2,-0.2,-0.45,-0.56666666,-0.35,0.559211,0.5909603,0.37888217,0.29029706,0.36084563,0.44078898,0.40903968,0.62111783,0.7097029,0.6391544,0.118422,0.18192063,-0.24223566,-0.41940588,-0.27830875,1.350186,1.1174074,1.1048253,1.0891948,1.1186334,0.38334155,0.4137416,0.4056957,0.3409456,0.39128274,0.60559386,0.91500705,0.91835606,0.88612133,1.1521769,0.5987486,0.5589256,0.51091033,0.4634128,0.48210326,0.40125138,0.4410744,0.4890897,0.53658724,0.5178968,0.19749722,0.11785123,0.02182061,-0.07317445,-0.035793506
2020-10-21,SH600000,0.012526006,0.019832939,0.63157594,0.0,0.0,0.0073069325,0.3684241,0.019832939,1.0,0.98762894,1.0,0.9804124,0.99124855,0.98246837,0.9721646,1.0164553,1.0608228,1.1282583,0.9952634,0.98699737,0.99174553,1.0050776,1.0443202,0.0059081884,0.011207154,0.016472975,0.024062695,0.044598974,0.00019992134,0.003029605,-0.001105241,-0.0022295685,-0.002319887,0.0028625275,0.6698735,0.15755709,0.6653571,0.82524675,0.004336748,-0.00063058187,0.018754266,0.02725117,0.024116492,1.0237143,1.0237143,1.0278584,1.0607823,1.1488118,0.9804038,0.9638887,0.9638887,0.9638887,0.9638887,1.0004152,0.9958786,1.0043368,1.0278047,1.0835063,0.990942,0.9801923,0.9761016,0.9818532,0.994433,0.8,0.9,0.725,0.48333332,0.24166666,0.4524589,0.60360974,0.5645063,0.3726901,0.19527729,0.6,0.8,0.2,0.033333335,0.016666668,0.8,0.1,0.55,0.7,0.85,-0.2,0.7,-0.35,-0.6666667,-0.8333333,0.5785816,0.7305402,0.6393536,0.32383877,0.22311871,0.71017885,0.6461328,0.5576164,0.48422906,0.5044446,0.6,0.5,0.3,0.23333333,0.31666666,0.4,0.5,0.65,0.73333335,0.6666667,0.2,0.0,-0.35,-0.5,-0.35,0.6887415,0.6799203,0.44302434,0.34556812,0.37398013,0.31125852,0.3200797,0.55697566,0.6544319,0.62601984,0.37748295,0.3598406,-0.11395132,-0.3088638,-0.25203973,1.0834949,0.8930604,0.849247,0.82937866,0.8485022,0.23106533,0.29616347,0.3088282,0.2601455,0.29686356,0.28499955,0.78401685,0.8678861,0.876921,1.1236618,0.5988565,0.5788587,0.52050155,0.5086495,0.5018008,0.40114352,0.4211413,0.47949845,0.49135047,0.49819925,0.19771299,0.15771739,0.041003123,0.017299056,0.0036015003
2020-10-22,SH600000,-0.0020682318,0.017580159,-0.1176458,0.009307138,0.52941144,0.00620479,0.35294273,-0.0051705795,-0.2941145,1.0020726,1.0113989,0.99378234,1.0009377,0.9969083,0.97302514,1.021719,1.054877,1.1419848,1.0010357,0.994806,0.9957953,1.0084531,1.0473617,0.0056352788,0.009234458,0.015523474,0.022729592,0.043608274,-0.00093523425,0.0022035148,-0.0006742368,-0.001999902,-0.002257055,0.068857305,0.52193993,0.066026025,0.59997874,0.8170455,0.0008347748,-0.004721799,0.010609949,0.020545479,0.019221375,1.0290155,1.0290155,1.0331811,1.0600926,1.1388237,0.9854808,0.97404444,0.9688802,0.9688802,0.9688802,1.0055958,1.0010357,1.0055958,1.0304683,1.0882516,0.9985469,0.98835987,0.9811563,0.9869377,0.9995826,0.5,0.75,0.675,0.45,0.225,0.33350867,0.47216755,0.48397145,0.34117973,0.18311852,0.4,0.7,0.15,0.033333335,0.016666668,0.6,0.1,0.5,0.6666667,0.8333333,-0.2,0.6,-0.35,-0.6333333,-0.81666666,0.57575047,0.67998976,0.6695061,0.3126896,0.15614234,0.7092148,0.7119755,0.5642235,0.50286436,0.49566555,0.4,0.5,0.3,0.23333333,0.3,0.6,0.5,0.7,0.73333335,0.68333334,-0.2,0.0,-0.4,-0.5,-0.38333333,0.5363644,0.671247,0.42776355,0.35685498,0.36047402,0.46363562,0.32875296,0.5722364,0.643145,0.63952595,0.07272876,0.34249404,-0.14447287,-0.28629008,-0.27905193,1.3321545,1.181261,1.1022327,1.0740691,1.0856776,0.3536742,0.37258995,0.4031311,0.33852533,0.3593253,0.44948083,0.7585685,0.81994,0.9003732,1.1424056,0.3897265,0.52180696,0.49443254,0.4895839,0.47086108,0.6102735,0.478193,0.50556743,0.5104161,0.5291389,-0.220547,0.043613967,-0.011134906,-0.020832185,-0.05827785
