scenario,scenario_type,factor,issue_tags,start_date,end_date,trading_days,rebalance_count,executed_rebalances,skipped_rebalances,skipped_rebalance_rate,gross_annualized_return,net_annualized_return,universe_annualized_return,gross_annualized_excess,net_annualized_excess,gross_excess_ir,net_excess_ir,net_max_drawdown,average_turnover,max_turnover,average_eligible_count,average_selected_count,label,topk,rebalance_every,cost_bps,min_liquidity_bucket,min_tradability_score,min_capacity_multiple,candidate_count
alpha158_MIN60,single_factor,alpha158_MIN60,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.03854702271890775,0.02814406528446134,0.0035450592086367916,0.0284479185933586,0.018145664938816086,0.31118787757818805,0.21909777269936584,-0.30775149723562656,0.7994285714285715,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_QTLD60,single_factor,alpha158_QTLD60,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.09603304480138841,0.08474928697054418,0.0035450592086367916,0.09105444535387464,0.07982421280652807,0.7773314238542834,0.6924070236468437,-0.31384349954134616,0.8217142857142856,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_ROC60,single_factor,alpha158_ROC60,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.10128288197202062,0.09213524748309188,0.0043474241526906265,0.0969342046787307,0.08782945193528247,0.768154391871937,0.7046255182290831,-0.32078616082384415,0.6611428571428571,1.0,1129.8285714285714,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_MIN30,single_factor,alpha158_MIN30,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.043782851708373816,0.03230841880108737,0.0035450592086367916,0.034587950294602265,0.023220774646367293,0.3673014939780709,0.2656961693633095,-0.32878401700624804,0.8777142857142858,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_ROC30,single_factor,alpha158_ROC30,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.1111873044279803,0.09989453002876814,0.003609485825844194,0.10883421238032032,0.09757463629958218,0.885103707290404,0.8039852593361585,-0.2866523855344677,0.8105714285714286,1.0,1129.9714285714285,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_QTLD30,single_factor,alpha158_QTLD30,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.07683658769580193,0.06451951781267917,0.0035450592086367916,0.07362141729607008,0.06134791195090061,0.6565029140075823,0.5599051436506898,-0.34510965626198387,0.9128571428571427,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_IMIN60,single_factor,alpha158_IMIN60,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.026248502815030772,0.015460872106859203,0.0035450592086367916,0.01913488811451014,0.008425921315723839,0.23900726363171174,0.13366339894417203,-0.30903887048212864,0.8385714285714286,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_MIN10,single_factor,alpha158_MIN10,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.030498024396393708,0.018826640237309844,0.0035450592086367916,0.022255558805221565,0.010684371442522211,0.2748319039417614,0.15779252475844013,-0.3539781280734444,0.9037142857142858,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_IMIN30,single_factor,alpha158_IMIN30,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.05474363245144209,0.04273532138158753,0.0035450592086367916,0.0489167406550548,0.036981348860736896,0.516833062622,0.4054278897425384,-0.3030263083959852,0.9088571428571428,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_MIN5,single_factor,alpha158_MIN5,low_monotonicity,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.01445936934488179,0.0029857442761180852,0.0035450592086367916,0.006860116385219106,-0.004521529350104303,0.12056441286968168,-0.00457549878698915,-0.34462741767033755,0.9022857142857142,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_IMIN20,single_factor,alpha158_IMIN20,,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.049046644954442664,0.03692137930199246,0.0035450592086367916,0.04377887027303107,0.03172114557658223,0.47520495613060376,0.3600847689283787,-0.308317589054968,0.9225714285714286,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_QTLD10,single_factor,alpha158_QTLD10,low_monotonicity,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.049336777252943165,0.03699494434093076,0.0035450592086367916,0.04778280121267042,0.03546493332281986,0.4722515892040552,0.3664564578288222,-0.3623556382217278,0.9374285714285713,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_VSUMN60,single_factor,alpha158_VSUMN60,low_monotonicity,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.029113725670885104,0.01808313793555394,0.0035450592086367916,0.02619979454153709,0.015204918125595102,0.3900088598837792,0.2428340043202201,-0.29718403934870763,0.8551428571428571,1.0,1131.942857142857,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_ROC10,single_factor,alpha158_ROC10,low_monotonicity,2021-02-03,2023-12-22,700,37,35,2,0.05405405405405406,0.03744761726861068,0.02553064762502477,0.0037980560105723704,0.03743297275455437,0.02552213342151788,0.38037334381126003,0.27860078486570766,-0.3468459519477466,0.9162857142857143,1.0,1130.2571428571428,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
