datetime,instrument,alpha360_CLOSE0,alpha360_CLOSE5,alpha360_CLOSE20,alpha360_CLOSE59,alpha360_OPEN0,alpha360_OPEN5,alpha360_OPEN20,alpha360_OPEN59,alpha360_HIGH0,alpha360_HIGH5,alpha360_HIGH20,alpha360_HIGH59,alpha360_LOW0,alpha360_LOW5,alpha360_LOW20,alpha360_LOW59,alpha360_VWAP0,alpha360_VWAP5,alpha360_VWAP20,alpha360_VWAP59,alpha360_VOLUME0,alpha360_VOLUME5,alpha360_VOLUME20,alpha360_VOLUME59
2020-10-09,SH600000,1.0,1.0085517,1.0743526,1.1678675,1.0021231,1.0202297,1.0817839,1.2061254,1.0063694,1.0212914,1.0860304,1.2171999,0.9978769,1.0043051,1.0732911,1.1628337,1.0024039,1.0101981,1.0782046,1.1857228,1.0,1.3540845,1.0265939,2.0840907
2020-10-12,SH600000,1.0,0.9875554,1.0500894,1.1531461,0.98540145,0.99068385,1.0500894,1.1472121,1.004171,0.9938123,1.0584317,1.1719366,0.98227316,0.98651254,1.0438327,1.1432563,0.9968339,0.9893369,1.050118,1.1555605,1.0,0.44224894,0.57659626,1.5271131
2020-10-13,SH600000,1.0,0.99163413,1.0493354,1.1313525,1.0041928,0.99477875,1.0556252,1.1542182,1.005241,0.99897176,1.0650597,1.1621716,0.9979035,0.99163413,1.0493354,1.1263819,0.9996709,0.9942866,1.0552025,1.1434358,1.0,0.9357858,2.0870497,3.0040662
2020-10-14,SH600000,1.0,0.9895124,1.0545511,1.112546,1.0010493,0.9968577,1.0566498,1.1414045,1.003148,0.9989563,1.0587484,1.1414045,0.99685204,0.9895124,1.0503539,1.1085654,1.0000367,0.9942972,1.0544964,1.1218778,1.0,0.76771426,1.2328178,2.2684307
2020-10-15,SH600000,1.0,0.97604275,1.0405489,1.1041248,0.991684,0.98227954,1.0405489,1.1090539,1.010395,0.9864373,1.0478255,1.1317278,0.9906446,0.97188497,1.0395094,1.1041248,1.0023967,0.97996396,1.0433466,1.1163808,1.0,0.5897306,0.74709815,1.5401295
2020-10-16,SH600000,1.0,0.9690761,1.0246317,1.0996009,0.9886831,0.9711336,1.034919,1.1093578,1.005144,0.9752485,1.034919,1.1113093,0.9876543,0.96701866,1.0225742,1.0898441,0.99837375,0.9714057,1.0269011,1.0968865,1.0,0.53139627,0.72375286,0.96694857
2020-10-19,SH600000,1.0,0.99373937,1.0279796,1.1321688,1.0082902,0.9792322,1.0310884,1.1125131,1.0290155,0.9978842,1.0321246,1.1370827,0.9989637,0.9761235,1.0207256,1.1075991,1.0126761,0.9905931,1.0261934,1.1244658,1.0,0.78874534,0.5908698,0.9824999
2020-10-20,SH600000,1.0,0.99579567,1.0334008,1.1424011,1.0052191,0.99997085,1.0386199,1.1473509,1.0073068,1.0010147,1.0386199,1.1493307,0.9926931,0.993708,1.0292255,1.1285417,0.9991791,0.99546796,1.0324081,1.1384845,1.0,0.6010215,0.83216494,1.2422938
2020-10-21,SH600000,1.0,0.98246837,1.0164553,1.1361016,0.98762894,0.9834993,1.0216097,1.1292576,1.0,0.98556113,1.0226406,1.1488118,0.9804124,0.9793756,1.0154244,1.124369,0.99124855,0.9825044,1.0174339,1.136741,1.0,0.697306,0.7562765,1.6886643
2020-10-22,SH600000,1.0,0.9969083,1.021719,1.1232803,1.0020726,0.988618,1.0227551,1.1388237,1.0113989,1.0072712,1.0258639,1.1388237,0.99378234,0.98758173,1.0155016,1.0994468,1.0009377,0.9992976,1.0211682,1.1189028,1.0,1.3987557,1.0884758,1.8357308
2020-10-23,SH600000,1.0,1.0020761,1.0133795,1.0742023,0.99278355,0.99073577,1.0175031,1.1113149,1.0092784,1.0072309,1.0195649,1.1133766,0.9917526,0.98970485,1.0102868,1.0721405,1.0017945,1.0004466,1.013664,1.088979,1.0,1.05489,0.6084554,1.0272511
2020-10-26,SH600000,1.0,1.0052055,1.0354284,1.0801802,1.0125,1.0135388,1.0250117,1.0989298,1.015625,1.0343721,1.0354284,1.0989298,0.99895835,1.0041639,1.020845,1.074972,1.0054162,1.0179476,1.0300014,1.0860741,1.0,1.6036863,1.806619,0.8471988
2020-10-27,SH600000,1.0,1.0105429,1.0380015,1.0959873,1.0116034,1.015817,1.0485504,1.1033713,1.0116034,1.0179268,1.051715,1.1118101,1.0,1.0031589,1.0369467,1.0917679,1.0049815,1.0097134,1.0417883,1.1001722,1.0,1.2265865,1.4711816,0.8564639
2020-10-28,SH600000,1.0,1.0318971,1.0318971,1.118067,1.0085106,1.0191314,1.043599,1.1010461,1.0127659,1.0318971,1.0467906,1.1212586,0.9978723,1.0116848,1.0308332,1.0978547,1.0018742,1.0228665,1.0374762,1.1144149,1.0,1.3430983,1.4374732,0.9863989
2020-10-29,SH600000,1.0,1.0299315,1.0277822,1.1099348,0.99786556,1.0320661,1.0363203,1.1216744,1.0085379,1.0416718,1.0373876,1.1238089,0.9967983,1.0235279,1.0267149,1.1099348,1.0011061,1.0308974,1.0298297,1.1150775,1.0,1.0818921,0.9588365,0.9253167
2020-10-30,SH600000,1.0,1.0475231,1.0259364,1.1188079,1.012959,1.0399637,1.0378156,1.1242076,1.0205183,1.0572425,1.0388956,1.1360868,0.9989201,1.0388838,1.0216166,1.1134082,1.008407,1.0494028,1.0276111,1.1231582,1.0,1.2656602,0.9607017,1.1660079
