factor,valid_rows,total_rows,coverage,missing_rate,min,max,mean
alpha360_CLOSE0,88438,88797,0.9959570706217552,0.004042929378244797,1.0,1.0,1.0
alpha360_CLOSE5,88287,88797,0.9942565627217136,0.005743437278286412,0.6190605759620667,1.71848726272583,1.0003044605255127
alpha360_CLOSE20,88200,88797,0.9932767998918882,0.006723200108111782,0.4304170310497284,3.844559669494629,1.0044946670532227
alpha360_CLOSE59,88183,88797,0.993085351982612,0.006914648017387948,0.23670530319213867,5.948051929473877,1.0283393859863281
alpha360_OPEN0,88438,88797,0.9959570706217552,0.004042929378244797,0.836056649684906,1.2032866477966309,0.9992281198501587
alpha360_OPEN5,88287,88797,0.9942565627217136,0.005743437278286412,0.5634764432907104,1.8215422630310059,0.9997691512107849
alpha360_OPEN20,88200,88797,0.9932767998918882,0.006723200108111782,0.41510698199272156,3.844559669494629,1.0041522979736328
alpha360_OPEN59,88183,88797,0.993085351982612,0.006914648017387948,0.23023152351379395,6.0732741355896,1.0285015106201172
alpha360_HIGH0,88438,88797,0.9959570706217552,0.004042929378244797,1.0,1.206020712852478,1.0173661708831787
alpha360_HIGH5,88287,88797,0.9942565627217136,0.005743437278286412,0.6191415786743164,1.9024996757507324,1.0177757740020752
alpha360_HIGH20,88200,88797,0.9932767998918882,0.006723200108111782,0.4348739683628082,3.844559669494629,1.0220390558242798
alpha360_HIGH59,88183,88797,0.993085351982612,0.006914648017387948,0.23670530319213867,6.135885238647461,1.0474661588668823
alpha360_LOW0,88438,88797,0.9959570706217552,0.004042929378244797,0.8246753215789795,1.0,0.9831500053405762
alpha360_LOW5,88287,88797,0.9942565627217136,0.005743437278286412,0.5558512210845947,1.71848726272583,0.983596920967102
alpha360_LOW20,88200,88797,0.9932767998918882,0.006723200108111782,0.41228312253952026,3.844559669494629,0.987779974937439
alpha360_LOW59,88183,88797,0.993085351982612,0.006914648017387948,0.22874058783054352,5.885441303253174,1.0104613304138184
alpha360_VWAP0,88438,88797,0.9959570706217552,0.004042929378244797,0.9201347827911377,1.1119790077209473,1.0000673532485962
alpha360_VWAP5,88287,88797,0.9942565627217136,0.005743437278286412,0.5893388986587524,1.7337353229522705,1.0004640817642212
alpha360_VWAP20,88200,88797,0.9932767998918882,0.006723200108111782,0.4296112656593323,3.844559669494629,1.00468111038208
alpha360_VWAP59,88183,88797,0.993085351982612,0.006914648017387948,0.23526525497436523,5.993516445159912,1.0287519693374634
alpha360_VOLUME0,88438,88797,0.9959570706217552,0.004042929378244797,1.0,1.0,1.0
alpha360_VOLUME5,88287,88797,0.9942565627217136,0.005743437278286412,0.0006447810446843505,423.6188049316406,1.2135934829711914
alpha360_VOLUME20,88200,88797,0.9932767998918882,0.006723200108111782,7.847166853025556e-05,191.8747100830078,1.33464777469635
alpha360_VOLUME59,88183,88797,0.993085351982612,0.006914648017387948,0.009889617562294006,9886.7177734375,1.9612109661102295
