catalog_name,factor_name,family,lag,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
alpha360_CLOSE0,CLOSE0,CLOSE,0,alpha360_close_window,$close/$close,$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE5,CLOSE5,CLOSE,5,alpha360_close_window,"Ref($close, 5)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE20,CLOSE20,CLOSE,20,alpha360_close_window,"Ref($close, 20)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE59,CLOSE59,CLOSE,59,alpha360_close_window,"Ref($close, 59)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_OPEN0,OPEN0,OPEN,0,alpha360_open_window,$open/$close,"$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_OPEN5,OPEN5,OPEN,5,alpha360_open_window,"Ref($open, 5)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_OPEN20,OPEN20,OPEN,20,alpha360_open_window,"Ref($open, 20)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_OPEN59,OPEN59,OPEN,59,alpha360_open_window,"Ref($open, 59)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_HIGH0,HIGH0,HIGH,0,alpha360_high_window,$high/$close,"$close,$high",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_HIGH5,HIGH5,HIGH,5,alpha360_high_window,"Ref($high, 5)/$close","$close,$high",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_HIGH20,HIGH20,HIGH,20,alpha360_high_window,"Ref($high, 20)/$close","$close,$high",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_HIGH59,HIGH59,HIGH,59,alpha360_high_window,"Ref($high, 59)/$close","$close,$high",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_LOW0,LOW0,LOW,0,alpha360_low_window,$low/$close,"$close,$low",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_LOW5,LOW5,LOW,5,alpha360_low_window,"Ref($low, 5)/$close","$close,$low",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_LOW20,LOW20,LOW,20,alpha360_low_window,"Ref($low, 20)/$close","$close,$low",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_LOW59,LOW59,LOW,59,alpha360_low_window,"Ref($low, 59)/$close","$close,$low",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VWAP0,VWAP0,VWAP,0,alpha360_vwap_window,$vwap/$close,"$close,$vwap",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VWAP5,VWAP5,VWAP,5,alpha360_vwap_window,"Ref($vwap, 5)/$close","$close,$vwap",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VWAP20,VWAP20,VWAP,20,alpha360_vwap_window,"Ref($vwap, 20)/$close","$close,$vwap",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VWAP59,VWAP59,VWAP,59,alpha360_vwap_window,"Ref($vwap, 59)/$close","$close,$vwap",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VOLUME0,VOLUME0,VOLUME,0,alpha360_volume_window,$volume/($volume+1e-12),$volume,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VOLUME5,VOLUME5,VOLUME,5,alpha360_volume_window,"Ref($volume, 5)/($volume+1e-12)",$volume,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VOLUME20,VOLUME20,VOLUME,20,alpha360_volume_window,"Ref($volume, 20)/($volume+1e-12)",$volume,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_VOLUME59,VOLUME59,VOLUME,59,alpha360_volume_window,"Ref($volume, 59)/($volume+1e-12)",$volume,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
