system,factor,metric,horizon,main_value,recent_value,delta,retention_ratio,stability_label
alphalens_reloaded,alpha360_HIGH36,factor_alpha_beta:Ann. alpha,10D,0.1254732751089546,0.0788373916427085,-0.046635883466246086,0.6283201867031057,positive_but_weaker
alphalens_reloaded,alpha360_HIGH36,factor_alpha_beta:Ann. alpha,20D,0.1645443518335438,0.0696588467636274,-0.0948855050699164,0.42334389474574985,positive_but_weaker
alphalens_reloaded,alpha360_HIGH36,factor_alpha_beta:beta,10D,0.0847041593007354,-0.0008212717245342,-0.08552543102526959,0.00969576619748199,sign_flip
alphalens_reloaded,alpha360_HIGH36,factor_alpha_beta:beta,20D,-0.2251364201470704,-0.0235706194623609,0.20156580068470947,0.10469483101385103,negative_but_weaker
alphalens_reloaded,alpha360_HIGH36,mean_information_coefficient,10D,0.0674476601472924,0.0637364999740596,-0.0037111601732327942,0.9449771843066409,positive_stable_or_improved
alphalens_reloaded,alpha360_HIGH36,mean_information_coefficient,20D,0.0775479033483619,0.0722313093195881,-0.005316594028773797,0.9314411634716865,positive_stable_or_improved
alphalens_reloaded,alpha360_HIGH37,factor_alpha_beta:Ann. alpha,10D,0.1333014421686138,0.0812573492812755,-0.052044092887338314,0.6095759202551806,positive_but_weaker
alphalens_reloaded,alpha360_HIGH37,factor_alpha_beta:Ann. alpha,20D,0.1600376277336508,0.0705782065340754,-0.0894594211995754,0.44101007702724815,positive_but_weaker
alphalens_reloaded,alpha360_HIGH37,factor_alpha_beta:beta,10D,0.0791042425423879,-0.0006014269729723,-0.0797056695153602,0.0076029673459046924,sign_flip
alphalens_reloaded,alpha360_HIGH37,factor_alpha_beta:beta,20D,-0.2104845251242123,-0.0282643598044915,0.18222016531972082,0.1342823648808005,negative_but_weaker
alphalens_reloaded,alpha360_HIGH37,mean_information_coefficient,10D,0.0685676367634285,0.065476916987875,-0.003090719775553502,0.9549245107248325,positive_stable_or_improved
alphalens_reloaded,alpha360_HIGH37,mean_information_coefficient,20D,0.0783029184187869,0.0730726381792871,-0.005230280239499799,0.9332045299828197,positive_stable_or_improved
alphalens_reloaded,alpha360_HIGH40,factor_alpha_beta:Ann. alpha,10D,0.152143967481388,0.0877426779734253,-0.0644012895079627,0.5767082285675178,positive_but_weaker
alphalens_reloaded,alpha360_HIGH40,factor_alpha_beta:Ann. alpha,20D,0.1582331602452389,0.0709808290034625,-0.08725233124177639,0.44858377911085334,positive_but_weaker
