outer_split_id,factor,injected_gap_count,baseline_p_value,injected_p_value,p_value_absolute_change,baseline_segment_count,injected_segment_count
split_001,alpha158_BETA10,14,0.0297029702970297,0.0594059405940594,0.0297029702970297,1,15
split_001,alpha158_BETA20,14,0.009900990099009901,0.009900990099009901,0.0,1,15
split_001,alpha158_BETA30,14,0.009900990099009901,0.009900990099009901,0.0,1,15
split_001,alpha158_BETA5,14,0.04950495049504951,0.1485148514851485,0.099009900990099,1,15
split_001,alpha158_BETA60,14,0.009900990099009901,0.009900990099009901,0.0,1,15
split_002,alpha158_BETA10,17,0.0297029702970297,0.009900990099009901,0.0198019801980198,1,18
split_002,alpha158_BETA20,17,0.009900990099009901,0.009900990099009901,0.0,1,18
split_002,alpha158_BETA30,17,0.009900990099009901,0.009900990099009901,0.0,1,18
split_002,alpha158_BETA5,17,0.0594059405940594,0.06930693069306931,0.00990099009900991,1,18
split_002,alpha158_BETA60,17,0.009900990099009901,0.019801980198019802,0.009900990099009901,1,18
split_003,alpha158_BETA10,19,0.009900990099009901,0.009900990099009901,0.0,1,20
split_003,alpha158_BETA20,19,0.009900990099009901,0.009900990099009901,0.0,1,20
split_003,alpha158_BETA30,19,0.009900990099009901,0.009900990099009901,0.0,1,20
split_003,alpha158_BETA5,19,0.009900990099009901,0.009900990099009901,0.0,1,20
split_003,alpha158_BETA60,19,0.009900990099009901,0.009900990099009901,0.0,1,20
