instrument,field,start,end,valid_rows,total_rows,coverage
SH600000,open,2021-01-01,2023-12-29,727,727,1.0
SH600000,high,2021-01-01,2023-12-29,727,727,1.0
SH600000,low,2021-01-01,2023-12-29,727,727,1.0
SH600000,close,2021-01-01,2023-12-29,727,727,1.0
SH600000,volume,2021-01-01,2023-12-29,727,727,1.0
SH600000,amount,2021-01-01,2023-12-29,727,727,1.0
SH600000,vwap,2021-01-01,2023-12-29,727,727,1.0
SH600000,factor,2021-01-01,2023-12-29,727,727,1.0
SH600000,adjclose,2021-01-01,2023-12-29,727,727,1.0
SZ000001,open,2021-01-01,2023-12-29,727,727,1.0
SZ000001,high,2021-01-01,2023-12-29,727,727,1.0
SZ000001,low,2021-01-01,2023-12-29,727,727,1.0
SZ000001,close,2021-01-01,2023-12-29,727,727,1.0
SZ000001,volume,2021-01-01,2023-12-29,727,727,1.0
SZ000001,amount,2021-01-01,2023-12-29,727,727,1.0
SZ000001,vwap,2021-01-01,2023-12-29,727,727,1.0
SZ000001,factor,2021-01-01,2023-12-29,727,727,1.0
SZ000001,adjclose,2021-01-01,2023-12-29,727,727,1.0
SH600519,open,2021-01-01,2023-12-29,727,727,1.0
SH600519,high,2021-01-01,2023-12-29,727,727,1.0
SH600519,low,2021-01-01,2023-12-29,727,727,1.0
SH600519,close,2021-01-01,2023-12-29,727,727,1.0
SH600519,volume,2021-01-01,2023-12-29,727,727,1.0
SH600519,amount,2021-01-01,2023-12-29,727,727,1.0
SH600519,vwap,2021-01-01,2023-12-29,727,727,1.0
SH600519,factor,2021-01-01,2023-12-29,727,727,1.0
SH600519,adjclose,2021-01-01,2023-12-29,727,727,1.0
