instrument,date,$factor,factor_change,raw_close,event_window_status
SH600000,2025-07-16,0.649001,0.030342937,13.48,candidate_requires_corporate_action_cross_check
SH600004,2024-08-09,0.30155346,0.007597327,9.379999,candidate_requires_corporate_action_cross_check
SH600004,2025-06-27,0.3068459,0.017690897,9.139999,candidate_requires_corporate_action_cross_check
SH600008,2025-06-13,0.5789304,0.055252552,3.06,candidate_requires_corporate_action_cross_check
SH600008,2026-01-09,0.58659834,0.013492107,3.02,candidate_requires_corporate_action_cross_check
SH600009,2025-08-08,0.21222529,0.009355307,31.91,candidate_requires_corporate_action_cross_check
SH600009,2025-10-16,0.21363989,0.0066292286,31.6,candidate_requires_corporate_action_cross_check
SH600011,2025-07-10,0.38781032,0.037585378,7.11,candidate_requires_corporate_action_cross_check
SH600426,2024-11-15,1.2343822,0.013143539,22.64,candidate_requires_corporate_action_cross_check
SH600426,2025-06-30,1.2516588,0.0140093565,21.67,candidate_requires_corporate_action_cross_check
SH600426,2025-11-04,1.2638311,0.009725213,24.730001,candidate_requires_corporate_action_cross_check
SH600461,2025-07-04,0.5531064,0.049622655,9.25,candidate_requires_corporate_action_cross_check
SH600650,2024-08-02,0.29134613,0.0058830976,13.849999,candidate_requires_corporate_action_cross_check
SH600650,2025-08-06,0.2933044,0.0067869425,16.349998,candidate_requires_corporate_action_cross_check
SH600690,2024-08-16,0.92615324,0.03273964,24.24,candidate_requires_corporate_action_cross_check
SH600690,2025-07-25,0.9597694,0.036300182,25.83,candidate_requires_corporate_action_cross_check
SH600690,2025-11-07,0.9694709,0.010114312,26.599998,candidate_requires_corporate_action_cross_check
SH600837,2024-08-08,3.7057042,0.011787295,8.559999,candidate_requires_corporate_action_cross_check
SH601198,2024-08-09,0.08566794,0.012377262,8.3,candidate_requires_corporate_action_cross_check
SH601198,2025-08-15,0.08670487,0.007089615,11.829999,candidate_requires_corporate_action_cross_check
SH601198,2025-10-15,0.08735501,0.007111907,11.69,candidate_requires_corporate_action_cross_check
SH601211,2024-10-21,0.046295583,0.007647276,19.18,candidate_requires_corporate_action_cross_check
SH601211,2025-07-28,0.046930596,0.0137604475,20.789999,candidate_requires_corporate_action_cross_check
SH601211,2025-10-28,0.047305796,0.008100152,18.83,candidate_requires_corporate_action_cross_check
SH601728,2024-09-11,0.19152994,0.02895379,6.0499997,candidate_requires_corporate_action_cross_check
SH601728,2025-06-11,0.19361533,0.01105845,7.76,candidate_requires_corporate_action_cross_check
SH601728,2025-09-04,0.19838987,0.024324298,7.4,candidate_requires_corporate_action_cross_check
SH601995,2024-08-23,0.027104985,0.006803632,27.45,candidate_requires_corporate_action_cross_check
SH603003,2024-08-23,0.095844105,0.01284492,4.7,candidate_requires_corporate_action_cross_check
SH603087,2024-12-02,0.015774973,0.010758519,46.4,candidate_requires_corporate_action_cross_check
SH603087,2025-06-11,0.016045826,0.017177224,58.200005,candidate_requires_corporate_action_cross_check
SH603088,2025-05-12,0.55019623,0.029217958,10.0199995,candidate_requires_corporate_action_cross_check
