instrument,board,list_date,delist_date,selection_reason,event_evidence,seed,sample_sha256
SH600000,main,2000-01-04,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600004,main,2003-04-28,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600006,main,2000-01-04,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600008,main,2000-04-27,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600009,main,2000-01-04,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600010,main,2001-03-09,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600011,main,2001-12-06,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600207,main,2000-01-04,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600330,main,2001-01-18,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600418,main,2001-08-24,2026-06-09,coverage_fill,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600426,main,2002-06-20,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600461,main,2004-06-01,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600547,main,2003-08-28,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600584,main,2003-06-03,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600650,main,2000-01-04,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600690,main,2000-01-04,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600705,main,2000-01-04,2025-04-02,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600777,main,2000-01-04,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600811,main,2000-01-04,2025-04-14,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH600837,main,2000-01-04,2025-02-05,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601020,main,2016-03-16,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601028,main,2011-11-07,2025-03-26,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601059,main,2023-02-01,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601198,main,2015-02-26,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601211,main,2015-06-26,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601728,main,2021-08-20,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601989,main,2009-12-16,2025-08-12,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH601995,main,2020-11-02,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603003,main,2012-08-17,2025-06-30,ipo_or_lifecycle_boundary,provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603063,main,2017-07-28,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603087,main,2020-06-29,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603088,main,2014-11-11,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
