datetime,instrument,shares_qlib,market_value_qlib,weight_qlib,shares_reference,market_value_reference,weight_reference,_merge
2026-05-26,SH600000,47500.0,475000.0,0.4755869288342697,47500,475000.0,0.47558692883426973,both
2026-05-26,SZ000001,43100.0,474100.0,0.4746858167585837,43100,474100.0,0.47468581675858373,both
2026-05-27,SH600519,39500.0,474000.0,0.4753987845888697,39500,474000.0,0.47539878458886975,both
2026-05-27,SZ000001,43100.0,474100.0,0.4754990796911037,43100,474100.0,0.4754990796911037,both
2026-05-28,SH600519,39500.0,474000.0,0.4762131793500087,39500,474000.0,0.47621317935000873,both
2026-05-28,SZ000002,36400.0,473200.0,0.4754094440262112,36400,473200.0,0.47540944402621127,both
2026-05-29,SH601398,33700.0,471800.0,0.4748153244038592,33700,471800.0,0.4748153244038592,both
2026-05-29,SZ000002,36400.0,473200.0,0.476224271954019,36400,473200.0,0.47622427195401906,both
2026-06-01,SH600000,47100.0,471000.0,0.4748226578771113,47100,471000.0,0.4748226578771113,both
2026-06-01,SH601398,33700.0,471800.0,0.4756291507142698,33700,471800.0,0.47562915071426987,both
2026-06-02,SH600000,47100.0,471000.0,0.4756362233920788,47100,471000.0,0.47563622339207884,both
2026-06-02,SZ000001,42800.0,470800.0,0.4754342547197255,42800,470800.0,0.4754342547197255,both
2026-06-03,SH600519,39100.0,469200.0,0.4746298619227955,39100,469200.0,0.47462986192279555,both
2026-06-03,SZ000001,42800.0,470800.0,0.4762483780759849,42800,470800.0,0.47624837807598497,both
2026-06-04,SH600519,39100.0,469200.0,0.4754438431253405,39100,469200.0,0.4754438431253405,both
2026-06-04,SZ000002,36100.0,469300.0,0.4755451738676945,36100,469300.0,0.47554517386769457,both
2026-06-05,SH601398,33400.0,467600.0,0.4746337070048861,33400,467600.0,0.47463370700488616,both
2026-06-05,SZ000002,36100.0,469300.0,0.4763592786513966,36100,469300.0,0.47635927865139666,both
