instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SZ302132,12,14300.0,14299.917706726279,2194947.9037158545,1231.8042601987913,2194.960632412956,12,13900.0,13899.92002117452,2133530.2847594405,1197.3752921249697,2133.542811632889,0,-400.0,-399.9976855517598,-61417.61895641405,-34.42896807382158,-61.417820780066904,True,61417.61895641405
SZ000403,148,240900.0,240900.356114723,8905112.45106149,5032.1614252050485,8905.083868675281,110,445200.0,445203.33199186355,16465872.454451453,9324.788454704625,16465.847733733837,-38,204300.0,204302.97587714056,7560760.003389962,4292.627029499577,7560.763865058556,False,7560760.003389962
SH600461,171,409900.0,409694.7392276622,7662562.790729927,4446.08162284498,7662.595916615856,127,808400.0,808394.5906049355,15011981.080006402,8628.53636574474,15012.017038972024,-44,398500.0,398699.8513772733,7349418.289276475,4182.454742899759,7349.421122356168,False,7349418.289276475
SH600803,114,198700.0,198699.96599561785,7537129.86087065,4262.055567738773,7537.171370254869,86,380500.0,380500.0523858233,14391913.15577105,8128.902958267725,14391.97501686746,-28,181800.0,181800.08639020543,6854783.294900401,3866.847390528952,6854.803646612591,False,6854783.294900401
SZ002124,72,523400.0,523389.04837289086,2914021.456778425,1642.2247287627827,2914.017258042815,56,1779100.0,1779059.1480637603,9765526.729323933,5506.039997668149,9765.520862149453,-16,1255700.0,1255670.0996908695,6851505.272545508,3863.815268905367,6851.503604106638,False,6851505.272545508
SH601918,182,945300.0,945410.5480938469,13647802.353446655,7785.466815286345,13647.790904429427,160,1410700.0,1410870.6385477816,20340242.61944787,11596.011711442934,20340.226409933246,-22,465400.0,465460.09045393474,6692440.266001213,3810.544896156589,6692.4355055038195,False,6692440.266001213
SH600483,91,244900.0,231704.17662555462,4420894.338669791,2506.630351411728,4420.796469232269,66,613300.0,566018.9379377689,10993786.569389168,6089.029298111028,10993.39329299887,-25,368400.0,334314.76131221425,6572892.230719377,3582.3989466993,6572.5968237666,False,6572892.230719377
SH600642,150,576700.0,522503.2774299628,8985821.813955894,5093.142359256706,8985.414184080495,126,975300.0,880912.2558939557,15136770.010634812,8486.547009565687,15136.029139698085,-24,398600.0,358408.9784639929,6150948.196678918,3393.404650308981,6150.61495561759,False,6150948.196678918
SZ002595,103,63500.0,61300.0554690932,6311173.260200801,3527.624729525718,6311.06720945656,69,129600.0,123099.88990439751,12331763.144382529,6857.34438138748,12331.431003525255,-34,66100.0,61799.834435304314,6020589.884181728,3329.719651861762,6020.363794068695,False,6020589.884181728
SH603556,104,86900.0,86898.87446360958,6255229.418887316,3540.641906180161,6255.204215150326,78,175200.0,175198.54924222326,12166569.818687767,6858.557358433795,12166.570585413354,-26,88300.0,88299.67477861368,5911340.399800451,3317.915452253634,5911.366370263028,False,5911340.399800451
SH600782,67,482100.0,482086.6826566741,3447634.2094928366,1935.0521716531944,3447.642884404031,61,1371700.0,1371647.1969206154,9266367.002450086,5225.34056827133,9266.36289742241,-6,889600.0,889560.5142639412,5818732.79295725,3290.2883966181357,5818.720013018379,False,5818732.79295725
SH600546,112,413300.0,373401.3584785521,8465291.364341881,4669.885972908469,8464.888979279855,88,685600.0,646403.6917056534,14274701.866144197,7951.378343817568,14274.30737735453,-24,272300.0,273002.33322710136,5809410.501802316,3281.492370909099,5809.418398074675,False,5809410.501802316
