field_group,field,status,valid_rows,total_rows,sample_instruments,error
size,$market_value,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
size,$total_mv,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
size,$circ_mv,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
size,$float_mv,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
size,$mkt_cap,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
industry,$industry,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
industry,$sw_l1,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
industry,$sw_industry,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
industry,$citics_l1,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
barra,$beta,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
barra,$momentum,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
barra,$size,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
barra,$residual_volatility,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
barra,$non_linear_size,empty,0,0,"SH600000,SH600004,SH600006,SH600008,SH600009",
