check_name,status,severity,observed_value,required_value
token_environment_only,pass,critical,TUSHARE_TOKEN,TUSHARE_TOKEN
daily_basic_segments,pass,critical,368,368
sw2021_l1_catalog,pass,critical,1,1
industry_current_and_history,pass,critical,Y+N,Y+N
failed_segments,pass,critical,0,0
industry_intervals_nonempty,pass,critical,7533,>0
unique_style_keys,pass,critical,0,0
ambiguous_industry_membership,pass,critical,0,0
market_cap_coverage,pass,critical,0.9934934934934935,0.98
industry_coverage,pass,critical,0.9984992496248124,0.9
no_future_or_current_backfill,pass,critical,0,0
