factor,decision,reason,alphalens_status,jqfactor_status,qlib_status
alpha360_CLOSE1,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE10,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE11,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE12,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE13,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE14,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE15,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE16,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE17,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE18,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE19,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE2,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE20,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE21,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE22,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE23,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE24,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE25,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE26,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE27,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE28,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE29,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE3,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE30,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE31,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE32,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE33,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE34,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE35,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE36,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE37,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE38,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
