factor_name,catalog_name,family,lag,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
CLOSE59,alpha360_CLOSE59,CLOSE,59,alpha360_close_window,"Ref($close, 59)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE58,alpha360_CLOSE58,CLOSE,58,alpha360_close_window,"Ref($close, 58)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE57,alpha360_CLOSE57,CLOSE,57,alpha360_close_window,"Ref($close, 57)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE56,alpha360_CLOSE56,CLOSE,56,alpha360_close_window,"Ref($close, 56)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE55,alpha360_CLOSE55,CLOSE,55,alpha360_close_window,"Ref($close, 55)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE54,alpha360_CLOSE54,CLOSE,54,alpha360_close_window,"Ref($close, 54)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE53,alpha360_CLOSE53,CLOSE,53,alpha360_close_window,"Ref($close, 53)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE52,alpha360_CLOSE52,CLOSE,52,alpha360_close_window,"Ref($close, 52)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE51,alpha360_CLOSE51,CLOSE,51,alpha360_close_window,"Ref($close, 51)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE50,alpha360_CLOSE50,CLOSE,50,alpha360_close_window,"Ref($close, 50)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
