outer_split_id,cluster_id,member_count
split_001,cluster_001,11
split_001,cluster_002,2
split_001,cluster_003,1
split_001,cluster_004,1
split_001,cluster_005,1
split_001,cluster_006,1
split_001,cluster_007,1
split_001,cluster_008,1
split_001,cluster_009,1
split_001,cluster_010,2
split_001,cluster_011,3
split_001,cluster_012,1
split_001,cluster_013,1
split_001,cluster_014,1
split_001,cluster_015,2
split_001,cluster_016,1
split_001,cluster_017,1
split_001,cluster_018,1
split_001,cluster_019,5
split_001,cluster_020,14
split_001,cluster_021,13
split_001,cluster_022,29
split_001,cluster_023,2
split_001,cluster_024,2
split_001,cluster_025,1
split_001,cluster_026,3
split_001,cluster_027,1
split_001,cluster_028,146
split_001,cluster_029,3
split_001,cluster_030,119
split_001,cluster_031,1
split_001,cluster_032,1
split_001,cluster_033,1
split_001,cluster_034,1
split_001,cluster_035,1
split_001,cluster_036,23
split_001,cluster_037,34
split_001,cluster_038,5
split_001,cluster_039,1
split_001,cluster_040,1
split_001,cluster_041,2
split_001,cluster_042,7
split_001,cluster_043,2
split_001,cluster_044,6
split_001,cluster_045,1
split_001,cluster_046,1
split_001,cluster_047,1
split_001,cluster_048,1
split_002,cluster_001,1
split_002,cluster_002,1
split_002,cluster_003,1
split_002,cluster_004,1
split_002,cluster_005,2
split_002,cluster_006,1
split_002,cluster_007,1
split_002,cluster_008,5
split_002,cluster_009,3
split_002,cluster_010,2
split_002,cluster_011,1
split_002,cluster_012,1
split_002,cluster_013,1
split_002,cluster_014,1
split_002,cluster_015,2
split_002,cluster_016,3
split_002,cluster_017,2
split_002,cluster_018,1
split_002,cluster_019,2
split_002,cluster_020,3
split_002,cluster_021,1
split_002,cluster_022,2
split_002,cluster_023,1
split_002,cluster_024,1
split_002,cluster_025,1
split_002,cluster_026,11
split_002,cluster_027,11
split_002,cluster_028,31
split_002,cluster_029,5
split_002,cluster_030,13
split_002,cluster_031,1
split_002,cluster_032,4
split_002,cluster_033,23
split_002,cluster_034,4
split_002,cluster_035,1
split_002,cluster_036,2
split_002,cluster_037,3
split_002,cluster_038,80
split_002,cluster_039,1
split_002,cluster_040,1
split_002,cluster_041,1
split_002,cluster_042,1
split_002,cluster_043,1
split_002,cluster_044,1
split_002,cluster_045,1
split_002,cluster_046,1
split_003,cluster_001,2
split_003,cluster_002,1
split_003,cluster_003,22
split_003,cluster_004,1
split_003,cluster_005,1
split_003,cluster_006,1
split_003,cluster_007,1
split_003,cluster_008,2
split_003,cluster_009,2
split_003,cluster_010,7
split_003,cluster_011,1
split_003,cluster_012,1
split_003,cluster_013,1
split_003,cluster_014,2
split_003,cluster_015,3
split_003,cluster_016,2
split_003,cluster_017,1
split_003,cluster_018,2
split_003,cluster_019,3
split_003,cluster_020,1
split_003,cluster_021,1
split_003,cluster_022,1
split_003,cluster_023,1
split_003,cluster_024,1
split_003,cluster_025,1
split_003,cluster_026,1
split_003,cluster_027,2
split_003,cluster_028,2
split_003,cluster_029,3
split_003,cluster_030,1
split_003,cluster_031,1
split_003,cluster_032,5
split_003,cluster_033,5
split_003,cluster_034,5
split_003,cluster_035,15
split_003,cluster_036,30
split_003,cluster_037,3
split_003,cluster_038,4
split_003,cluster_039,3
split_003,cluster_040,51
split_003,cluster_041,1
split_003,cluster_042,1
split_003,cluster_043,1
split_003,cluster_044,1
split_003,cluster_045,1
split_003,cluster_046,2
split_003,cluster_047,1
split_003,cluster_048,8
split_003,cluster_049,1
split_003,cluster_050,1
split_003,cluster_051,1
split_003,cluster_052,1
split_003,cluster_053,1
split_003,cluster_054,1
