,alpha158_CNTP5,alpha158_CORD30,alpha158_IMAX10,alpha158_IMXD5,alpha158_KMID,alpha158_KMID2,alpha158_KSFT2,alpha158_OPEN0,alpha158_QTLD5,alpha158_VMA30,alpha158_VMA60,alpha158_VSUMD20,alpha158_VSUMN20,alpha158_VSUMP20,alpha360_CLOSE2,alpha360_CLOSE7,alpha360_HIGH7,alpha360_OPEN0,alpha360_OPEN1,alpha360_OPEN6,alpha360_VOLUME12,alpha360_VOLUME13,alpha360_VOLUME14,alpha360_VOLUME15,alpha360_VOLUME16,alpha360_VOLUME17,alpha360_VOLUME18,alpha360_VOLUME19,alpha360_VOLUME20,alpha360_VOLUME21,alpha360_VOLUME22,alpha360_VOLUME35,alpha360_VOLUME36,alpha360_VOLUME37,alpha360_VOLUME38,alpha360_VOLUME39,alpha360_VOLUME40,alpha360_VOLUME42,alpha360_VOLUME43,alpha360_VOLUME44,alpha360_VOLUME45,alpha360_VOLUME46,alpha360_VOLUME47,alpha360_VOLUME48,alpha360_VOLUME49,alpha360_VOLUME50,alpha360_VOLUME51,alpha360_VOLUME52,alpha360_VOLUME53,alpha360_VOLUME54,alpha360_VOLUME55,alpha360_VOLUME56,alpha360_VOLUME57,alpha360_VOLUME58,alpha360_VOLUME59,kunquant_alpha101_alpha029,kunquant_alpha101_alpha033,kunquant_alpha101_alpha035,kunquant_alpha101_alpha045,kunquant_alpha101_alpha101,ta_trend_dpo,ta_trend_psar_up_indicator,ta_volatility_bbhi,ta_volume_em,volume_ratio_5_20
alpha158_CNTP5,1.0,0.050069064821224765,0.33338736594464286,0.5723473233278205,0.29756923998106183,0.2941260817069389,0.24751085588960214,-0.29756941845020185,-0.5204622261586815,-0.26224836285927133,-0.23708396420075692,0.18691296661466344,-0.1869129666489801,0.18691244270304191,-0.4206939953561382,-0.5334306570042864,-0.5050943557957392,-0.29756941845020185,-0.4114545805199473,-0.5358138991303432,-0.1970156158610139,-0.2063901034949367,-0.20701944620928825,-0.20160107555889695,-0.1894233847823448,-0.19557740929998052,-0.20311451449179352,-0.18374324849803367,-0.17744709209400508,-0.18916670705788147,-0.2021512766934079,-0.19780494125703119,-0.1751899022652599,-0.18068264109036836,-0.16601094281745862,-0.1570218366018778,-0.17938079628423748,-0.15290278639594174,-0.15936519882597344,-0.1663287024294447,-0.15518749238182478,-0.15675280122647473,-0.15549365025723627,-0.15333770859312357,-0.14210425430583024,-0.13978084919397704,-0.1365591728652613,-0.15175615239762358,-0.15813491582481903,-0.15994809951054634,-0.16193670455153358,-0.16595569906875254,-0.14654344236619296,-0.15888650550250724,-0.16671191216966805,-0.08269846387031755,-0.29756941845020185,0.4464766307450808,-0.04214327074250629,0.2948897311133855,-0.0948075903400463,0.10135628664983073,0.2417139290249491,0.25851456878010415,0.23504278678444504
alpha158_CORD30,0.050069064821224765,1.0,0.1715970081639194,0.10939377895643508,0.012520783842837148,0.03280426317045672,0.0019974692294622426,-0.012521182428631001,-0.1067824063650803,-0.02726366164448394,-0.1665143284260548,0.08463460140865035,-0.08463431454953799,0.08463460140865035,-0.028479134545569003,-0.1733961460006871,-0.13899179652220642,-0.012521182428631001,-0.04066724096043838,-0.1783164691843373,-0.029626500116806315,-0.048959136297148646,-0.053600726736799484,-0.05014228490463833,-0.05089439687102293,-0.039432493565681195,-0.0601101945980159,-0.10087125824907309,-0.0928333753453888,-0.11007792972434041,-0.10973876375140533,-0.22985952024605988,-0.227360208798755,-0.2243116494673163,-0.20798145958837616,-0.20831347859051724,-0.21058317413353878,-0.21666461000215897,-0.21348665833809333,-0.20802696040805488,-0.19619951709057995,-0.21118363859793005,-0.2093573232092642,-0.2146120548552313,-0.20935264715391894,-0.21219481379806993,-0.2101916023012308,-0.19985888914888117,-0.21088818745267968,-0.2021386263759379,-0.20247700168135646,-0.20360836040547847,-0.21037975621828242,-0.2102786295709373,-0.2069060963458949,-0.06391205281800377,-0.012521182428631001,0.14917671281438588,-0.09883873931237958,0.03364724299021136,-0.08220405287524565,0.013020292098620496,0.10808839482209584,0.04097958554446717,0.030631410136505197
alpha158_IMAX10,0.33338736594464286,0.1715970081639194,1.0,0.4435452244315737,0.07279428067070828,0.08512851362194915,0.05286214101391675,-0.07279186358632356,-0.36807868445517483,-0.40290269737529105,-0.3685284467904745,0.3170462550993153,-0.31704625515854606,0.3170461814212487,-0.2375430202795964,-0.5968756055346525,-0.6115409791015929,-0.07279186358632356,-0.22328667537339197,-0.5923894177320864,-0.35787722078808604,-0.3379241900616443,-0.339608596315106,-0.33909689090942574,-0.33296022399334047,-0.3239992170038246,-0.3070566621811178,-0.3159060022189798,-0.3177465466110544,-0.29913083687009634,-0.3014404112385597,-0.291187691715761,-0.2714378409250283,-0.25736590138424853,-0.24835986070435173,-0.26928384481400236,-0.2546083913566417,-0.25222086572424207,-0.24928651648965494,-0.26199111882639714,-0.24959792163441846,-0.25645951393743205,-0.23994489911310474,-0.23704689328979778,-0.23950830470603948,-0.24942694628295514,-0.2500520512864952,-0.24610197275564247,-0.24516165443863916,-0.2517580187952695,-0.24303671562964813,-0.2464897496229128,-0.24455610586286275,-0.24691207480634936,-0.23590333525831142,-0.2232317256763176,-0.07279186358632356,0.4580752301411116,-0.12219211592918078,0.08524444066525928,-0.34868132331921825,0.09600270213664273,0.31129249196853925,0.1488772905789819,0.49284574550874727
alpha158_IMXD5,0.5723473233278205,0.10939377895643508,0.4435452244315737,1.0,0.19662467957358437,0.2072028947135354,0.10856051425619226,-0.19662391323963094,-0.5912276745440186,-0.32506786556962924,-0.28464013254478693,0.25054832917381875,-0.25054820543791134,0.2505484284051227,-0.44472319790125003,-0.6061786426400482,-0.5826810589017831,-0.19662391323963094,-0.4164855991931551,-0.6144146413063185,-0.26291550375795303,-0.2607776704962462,-0.2527544156959446,-0.26026949864823345,-0.24299415053650142,-0.26272546579715894,-0.2565300873587739,-0.24613003434600395,-0.24707754982323296,-0.2519756983123122,-0.24620510397840858,-0.2198504897699815,-0.20745805241140874,-0.20042835424245298,-0.1949486156329791,-0.21176648612683985,-0.2047167688324012,-0.19661580429740522,-0.20947234003418458,-0.198156433912495,-0.19791981119139956,-0.18528843308731624,-0.19325751689833048,-0.19755404382868458,-0.1913534445757597,-0.1897341717623397,-0.1891247264444639,-0.1869893952334057,-0.1897807477933236,-0.19163236148713608,-0.2051320325058777,-0.18674466842517146,-0.19290549895139458,-0.19771299640540718,-0.2007578049137547,-0.0968001011332143,-0.19662391323963094,0.5005469954144344,-0.1637453199809093,0.20748139605658758,-0.11894554249950522,0.15814530629065515,0.279398387336829,0.3119857710049978,0.2952039540292296
alpha158_KMID,0.29756923998106183,0.012520783842837148,0.07279428067070828,0.19662467957358437,1.0,0.9400884990406625,0.7546191382334682,-0.9999999841897075,-0.6465714421998605,-0.1393902750372508,-0.1486764780325352,0.10794562516389884,-0.10794545881126173,0.10794562516389884,-0.6097685928940506,-0.297507449951007,-0.27651080602918554,-0.9999999841897075,-0.6178235311665332,-0.2993713883063742,-0.11905972582832952,-0.10834989392543207,-0.10495886961654977,-0.07891237374439194,-0.08191865102329929,-0.09303651975641497,-0.11507526950573801,-0.11230861861381101,-0.10405571140498943,-0.09701431002615596,-0.09648294079774583,-0.09174970664510444,-0.08211747900963298,-0.07467430896587694,-0.08514690912154042,-0.09373629000415973,-0.09346725087282118,-0.09623408650460777,-0.08281475502972253,-0.07973268522195504,-0.07913024227100132,-0.07812003908348195,-0.07302779244501195,-0.06465657041894343,-0.0768900367558156,-0.08657561735983185,-0.057600494089716264,-0.08026988437995147,-0.09949964584572343,-0.0918783213117833,-0.10334487426929825,-0.07235199497824635,-0.08439045072916652,-0.07984702990944777,-0.093073413756811,-0.015119067133144868,-0.9999999841897075,0.5763358856858565,-0.1159840916917971,0.9433027544763011,-0.048338719088291585,0.15531610722014816,0.23361107403972523,0.45356266046921534,0.040178683275540056
alpha158_KMID2,0.2941260817069389,0.03280426317045672,0.08512851362194915,0.2072028947135354,0.9400884990406625,1.0,0.8022301704054993,-0.9400904245043539,-0.6374798412643183,-0.1687302202435664,-0.16259917484366476,0.1053622247745678,-0.10536222592415131,0.1053622247745678,-0.5818871085354826,-0.30290135356423625,-0.28407154022844117,-0.9400904245043539,-0.5981996109655358,-0.3054182724987814,-0.1284037087613364,-0.1024309829237052,-0.11427477194800524,-0.11384647925352355,-0.09986581383212595,-0.12280642163364015,-0.13294258839656897,-0.12348948618301682,-0.11210948614352026,-0.09529933912863273,-0.10000145879623804,-0.12554603600602987,-0.129844149808344,-0.10270286993825865,-0.11005561429181253,-0.11221524826233703,-0.10710194967964744,-0.09900812020145505,-0.08879237939804274,-0.10041153008613973,-0.09046868325344799,-0.0933441559771129,-0.10578604790583723,-0.09043587426878126,-0.09829806296499555,-0.1056966467970961,-0.09311194589184976,-0.09836865745087021,-0.09336802977735234,-0.0969074824855044,-0.1130788129821805,-0.10350002573074274,-0.10060327747604986,-0.08629469470512828,-0.09910913106344543,-0.03329912944157626,-0.9400904245043539,0.5875852497737205,-0.08715020659208333,0.9995692234287361,-0.03307535747537389,0.14303168709630404,0.21659130714838465,0.4416822194370623,0.05367040387105315
alpha158_KSFT2,0.24751085588960214,0.0019974692294622426,0.05286214101391675,0.10856051425619226,0.7546191382334682,0.8022301704054993,1.0,-0.7546193715023704,-0.5193055811921883,-0.09151552110713257,-0.08049829718063087,0.05840478381610868,-0.05840478381610868,0.05840433429365464,-0.5007197325969441,-0.2536557101468022,-0.23666296768057038,-0.7546193715023704,-0.4986916611592198,-0.2524715712718923,-0.08817951487878839,-0.06146879850989065,-0.0742176663407167,-0.06295354264650932,-0.05460089141017112,-0.09041249771537149,-0.078950793103234,-0.06993477336708384,-0.058814592336804916,-0.0571815303224327,-0.05083336151067021,-0.07003891142466934,-0.07711412906393814,-0.03599063940815407,-0.06285923817957886,-0.053894331064475096,-0.0540879891179659,-0.04984717197953715,-0.05202445264536679,-0.05411657730048432,-0.05132177756214038,-0.05023469642788317,-0.06021476163420955,-0.05808596255854998,-0.06041269807577454,-0.06094327891936867,-0.06030720608567787,-0.060361998154011574,-0.07154212014907244,-0.06074665385639198,-0.06348841141011978,-0.0630122823594898,-0.07592924682341161,-0.06734488924640272,-0.0667620052422046,-0.001430896036462285,-0.7546193715023704,0.4666178137007022,-0.030771295402717044,0.8026866458370315,-0.04556855872477544,0.08716434845481576,0.1797168225224049,0.2508754872880946,0.02746002913910011
alpha158_OPEN0,-0.29756941845020185,-0.012521182428631001,-0.07279186358632356,-0.19662391323963094,-0.9999999841897075,-0.9400904245043539,-0.7546193715023704,1.0,0.6465747525465328,0.13939601817417097,0.14867217072829209,-0.10794473794655335,0.10794457159391344,-0.10794473794655335,0.609766193262198,0.2975045425999738,0.27650920779961463,1.0,0.6178251182740455,0.2993767168511216,0.1190611601958146,0.10835072719491542,0.10495861487827875,0.07891316821830828,0.08191765884761891,0.09303249204927386,0.1150742194165158,0.1123047469528739,0.10405320512698359,0.0970168101282182,0.0964829555869149,0.09174834079073724,0.08211931514063345,0.07468086182937889,0.08514251536957898,0.09373826937350291,0.09347189757363128,0.09623436014569761,0.08281341265207194,0.0797349983065978,0.07913075348094234,0.0781233950683779,0.07302348867541567,0.06465818497599785,0.07689667600117996,0.08658083956799116,0.0576050908849437,0.0802701375750944,0.0995013239091119,0.09188158048932413,0.10334785076655342,0.07235467996640646,0.0843953108542842,0.07984462333936235,0.09307389996963358,0.015119434514202628,1.0,-0.5763336938314794,0.11598455425253101,-0.9433024567521386,0.04833672982347979,-0.15531768116344055,-0.23361339382153729,-0.45356210965938604,-0.04017541995790136
alpha158_QTLD5,-0.5204622261586815,-0.1067824063650803,-0.36807868445517483,-0.5912276745440186,-0.6465714421998605,-0.6374798412643183,-0.5193055811921883,0.6465747525465328,1.0,0.3516048798582223,0.3372033339174035,-0.29042746663961416,0.29042746663961416,-0.29042746663961416,0.8128243232652548,0.6226060767625083,0.5816002144935978,0.6465747525465328,0.8029352953360946,0.6265976056256857,0.26997067147912046,0.27640944203615736,0.270245657455475,0.27381826159356054,0.2591064849576763,0.2655624679571348,0.26860620735441126,0.2746486727642236,0.2745592675632815,0.27851243640734946,0.26534975932695026,0.26706017269129956,0.25748495657591774,0.2585304760992261,0.27280480063041385,0.25266354754167036,0.24639195258568686,0.23941017706615977,0.2547943228816734,0.23897528402590185,0.23741758197280433,0.24600861365945104,0.2294753020283373,0.2322351218135747,0.22520146384150405,0.2217757509667554,0.2217056014189448,0.2059252926930357,0.24130356397049094,0.2282539586493093,0.250818603264037,0.24113386123841346,0.2410284499397858,0.2251389056359463,0.2407425700770992,0.07667569219814745,0.6465747525465328,-0.7147724649822319,0.1952525067074808,-0.6393526831005649,0.12959751451867085,-0.1841357894343355,-0.316089366553041,-0.5451114387062975,-0.26766515479698394
alpha158_VMA30,-0.26224836285927133,-0.02726366164448394,-0.40290269737529105,-0.32506786556962924,-0.1393902750372508,-0.1687302202435664,-0.09151552110713257,0.13939601817417097,0.3516048798582223,1.0,0.8824688346833867,-0.7775057988218983,0.7775062071381955,-0.77750609866744,0.2748987907002736,0.3825470986208722,0.3925881451016153,0.13939601817417097,0.26501037002698935,0.37461058255273705,0.7683784748574713,0.7700258434888907,0.7798831994070077,0.7944927667259463,0.7872895492265163,0.7961464076071122,0.7962492371111859,0.7948190091888373,0.7938002957447636,0.794805690790688,0.7915111419778077,0.623692429907531,0.6039309163752922,0.6006446348648444,0.5855873188079603,0.5766848091595522,0.5745617511204031,0.5514519611046599,0.5611543288482308,0.5423467245659683,0.5351302776511684,0.5462118713188406,0.53969244494543,0.5271614014315147,0.5289392568612523,0.5210262793595313,0.5229292381095261,0.5219268540672606,0.5334707509833889,0.5170572405041503,0.5173835559818146,0.5093127799367996,0.4973992880169622,0.5007626847676449,0.5016150602706057,0.08731428492995963,0.13939601817417097,-0.5712417851030357,0.09178915938440108,-0.1682913202964883,0.15799461460988487,-0.1401434423641303,-0.2904163323359354,-0.2057941427227688,-0.7111820568279434
