outer_split_id,factor,cluster_id
split_001,alpha158_BETA10,cluster_037
split_001,alpha158_BETA20,cluster_030
split_001,alpha158_BETA30,cluster_030
split_001,alpha158_BETA5,cluster_036
split_001,alpha158_BETA60,cluster_028
split_001,alpha158_CNTD30,cluster_026
split_001,alpha158_CNTP20,cluster_026
split_001,alpha158_CNTP30,cluster_026
split_001,alpha158_CNTP60,cluster_027
split_001,alpha158_CORD10,cluster_034
split_001,alpha158_CORD20,cluster_024
split_001,alpha158_CORD30,cluster_024
split_001,alpha158_CORD5,cluster_035
split_001,alpha158_CORD60,cluster_025
split_001,alpha158_CORR10,cluster_015
split_001,alpha158_CORR20,cluster_016
split_001,alpha158_CORR5,cluster_010
split_001,alpha158_HIGH0,cluster_002
split_001,alpha158_IMAX20,cluster_030
split_001,alpha158_IMAX30,cluster_030
split_001,alpha158_IMAX60,cluster_028
split_001,alpha158_IMIN20,cluster_029
split_001,alpha158_IMIN30,cluster_029
split_001,alpha158_IMXD20,cluster_030
split_001,alpha158_IMXD60,cluster_028
split_001,alpha158_KLEN,cluster_001
split_001,alpha158_KLOW,cluster_005
split_001,alpha158_KMID,cluster_044
split_001,alpha158_KMID2,cluster_044
split_001,alpha158_KUP,cluster_004
split_001,alpha158_LOW0,cluster_043
split_001,alpha158_MA10,cluster_036
split_001,alpha158_MA20,cluster_030
split_001,alpha158_MA30,cluster_030
split_001,alpha158_MA60,cluster_028
split_001,alpha158_MAX5,cluster_003
split_001,alpha158_MIN10,cluster_038
split_001,alpha158_MIN20,cluster_038
split_001,alpha158_MIN30,cluster_038
split_001,alpha158_MIN5,cluster_038
split_001,alpha158_MIN60,cluster_038
split_001,alpha158_OPEN0,cluster_044
split_001,alpha158_QTLD10,cluster_036
split_001,alpha158_QTLD20,cluster_030
split_001,alpha158_QTLD30,cluster_030
split_001,alpha158_QTLD5,cluster_042
split_001,alpha158_QTLD60,cluster_028
split_001,alpha158_QTLU30,cluster_030
split_001,alpha158_QTLU60,cluster_028
split_001,alpha158_RANK20,cluster_030
split_001,alpha158_RANK30,cluster_030
split_001,alpha158_RANK60,cluster_028
split_001,alpha158_ROC10,cluster_037
split_001,alpha158_ROC20,cluster_030
split_001,alpha158_ROC5,cluster_036
split_001,alpha158_ROC60,cluster_028
split_001,alpha158_RSQR30,cluster_048
split_001,alpha158_RSV20,cluster_030
split_001,alpha158_RSV30,cluster_030
