outer_split_id,left_factor,right_factor,distance
split_001,alpha158_BETA10,alpha158_BETA10,0.0
split_001,alpha158_BETA20,alpha158_BETA10,0.39291204479110253
split_001,alpha158_BETA30,alpha158_BETA10,0.5939539648897472
split_001,alpha158_BETA5,alpha158_BETA10,0.4155605873417769
split_001,alpha158_BETA60,alpha158_BETA10,0.823650502855067
split_001,alpha158_CNTD30,alpha158_BETA10,0.5609378336488037
split_001,alpha158_CNTP20,alpha158_BETA10,0.492208971954487
split_001,alpha158_CNTP30,alpha158_BETA10,0.5826155082359727
split_001,alpha158_CNTP60,alpha158_BETA10,0.7335455713968353
split_001,alpha158_CORD10,alpha158_BETA10,0.4001883235941508
split_001,alpha158_CORD20,alpha158_BETA10,0.6177330085064683
split_001,alpha158_CORD30,alpha158_BETA10,0.6980936197399685
split_001,alpha158_CORD5,alpha158_BETA10,0.4184601207380019
split_001,alpha158_CORD60,alpha158_BETA10,0.8102323744319498
split_001,alpha158_CORR10,alpha158_BETA10,0.6251192519495982
split_001,alpha158_CORR20,alpha158_BETA10,0.7513331789386661
split_001,alpha158_CORR5,alpha158_BETA10,0.5957110995593161
split_001,alpha158_HIGH0,alpha158_BETA10,0.9432494120976259
split_001,alpha158_IMAX20,alpha158_BETA10,0.4836848797020692
split_001,alpha158_IMAX30,alpha158_BETA10,0.5902895388106917
split_001,alpha158_IMAX60,alpha158_BETA10,0.8005041863387741
split_001,alpha158_IMIN20,alpha158_BETA10,0.47416463005424914
split_001,alpha158_IMIN30,alpha158_BETA10,0.6363763598455673
split_001,alpha158_IMXD20,alpha158_BETA10,0.44329153979441616
split_001,alpha158_IMXD60,alpha158_BETA10,0.7633554595592997
split_001,alpha158_KLEN,alpha158_BETA10,0.8342150084287012
split_001,alpha158_KLOW,alpha158_BETA10,0.8871021035454582
split_001,alpha158_KMID,alpha158_BETA10,0.8684313185612196
split_001,alpha158_KMID2,alpha158_BETA10,0.849903014602114
split_001,alpha158_KUP,alpha158_BETA10,0.8161220662760102
split_001,alpha158_LOW0,alpha158_BETA10,0.7938940884630058
split_001,alpha158_MA10,alpha158_BETA10,0.15842182788835857
split_001,alpha158_MA20,alpha158_BETA10,0.15180847167299305
split_001,alpha158_MA30,alpha158_BETA10,0.2516350914054082
split_001,alpha158_MA60,alpha158_BETA10,0.45684281338627175
split_001,alpha158_MAX5,alpha158_BETA10,0.7326575989942473
split_001,alpha158_MIN10,alpha158_BETA10,0.34534436353568965
split_001,alpha158_MIN20,alpha158_BETA10,0.37120471807126343
split_001,alpha158_MIN30,alpha158_BETA10,0.4354019074798311
split_001,alpha158_MIN5,alpha158_BETA10,0.5379007535420177
split_001,alpha158_MIN60,alpha158_BETA10,0.551874305006925
split_001,alpha158_OPEN0,alpha158_BETA10,0.868419402398998
split_001,alpha158_QTLD10,alpha158_BETA10,0.22164482590666013
split_001,alpha158_QTLD20,alpha158_BETA10,0.20102074965819505
split_001,alpha158_QTLD30,alpha158_BETA10,0.26830915723204574
split_001,alpha158_QTLD5,alpha158_BETA10,0.5502477215076589
split_001,alpha158_QTLD60,alpha158_BETA10,0.4296184991083727
split_001,alpha158_QTLU30,alpha158_BETA10,0.2313932002247152
split_001,alpha158_QTLU60,alpha158_BETA10,0.4284427025014863
split_001,alpha158_RANK20,alpha158_BETA10,0.2089255065866915
split_001,alpha158_RANK30,alpha158_BETA10,0.2491610357950388
split_001,alpha158_RANK60,alpha158_BETA10,0.3939524420216933
split_001,alpha158_ROC10,alpha158_BETA10,0.10282381574652844
split_001,alpha158_ROC20,alpha158_BETA10,0.37555631731173955
split_001,alpha158_ROC5,alpha158_BETA10,0.2801754573697196
split_001,alpha158_ROC60,alpha158_BETA10,0.6504917978733222
split_001,alpha158_RSQR30,alpha158_BETA10,0.9344513266622245
split_001,alpha158_RSV20,alpha158_BETA10,0.22988420546433774
split_001,alpha158_RSV30,alpha158_BETA10,0.2851029104803404
split_001,alpha158_RSV60,alpha158_BETA10,0.4433509218127957
split_001,alpha158_STD10,alpha158_BETA10,0.9515360805179749
split_001,alpha158_STD20,alpha158_BETA10,0.9571516279088298
split_001,alpha158_STD5,alpha158_BETA10,0.9091771537930118
split_001,alpha158_SUMD20,alpha158_BETA10,0.38979174126089866
split_001,alpha158_SUMD30,alpha158_BETA10,0.4943114840340622
split_001,alpha158_SUMD60,alpha158_BETA10,0.6532298098700562
split_001,alpha158_SUMN20,alpha158_BETA10,0.3897918786849983
split_001,alpha158_SUMN30,alpha158_BETA10,0.4943128385582767
split_001,alpha158_SUMN60,alpha158_BETA10,0.6532307127551497
split_001,alpha158_SUMP20,alpha158_BETA10,0.3897920711877506
split_001,alpha158_SUMP30,alpha158_BETA10,0.49431135780030744
split_001,alpha158_SUMP60,alpha158_BETA10,0.6532309540781894
split_001,alpha158_VMA30,alpha158_BETA10,0.4917859059686859
split_001,alpha158_VMA60,alpha158_BETA10,0.5156628176669321
split_001,alpha158_VSTD60,alpha158_BETA10,0.5862921018747761
split_001,alpha158_VSUMD20,alpha158_BETA10,0.5883194680797253
split_001,alpha158_VSUMD30,alpha158_BETA10,0.5918882662562254
split_001,alpha158_VSUMD60,alpha158_BETA10,0.6708163531048782
split_001,alpha158_VSUMN20,alpha158_BETA10,0.5883196279049947
