,alpha158_CNTP5,alpha158_CORD30,alpha158_IMAX10,alpha158_IMXD5,alpha158_KMID,alpha158_KMID2,alpha158_KSFT2,alpha158_OPEN0,alpha158_QTLD5,alpha158_VMA30,alpha158_VMA60,alpha158_VSUMD20,alpha158_VSUMN20,alpha158_VSUMP20,alpha360_CLOSE2,alpha360_CLOSE7,alpha360_HIGH7,alpha360_OPEN0,alpha360_OPEN1,alpha360_OPEN6,alpha360_VOLUME12,alpha360_VOLUME13,alpha360_VOLUME14,alpha360_VOLUME15,alpha360_VOLUME16,alpha360_VOLUME17,alpha360_VOLUME18,alpha360_VOLUME19,alpha360_VOLUME20,alpha360_VOLUME21,alpha360_VOLUME22,alpha360_VOLUME35,alpha360_VOLUME36,alpha360_VOLUME37,alpha360_VOLUME38,alpha360_VOLUME39,alpha360_VOLUME40,alpha360_VOLUME42,alpha360_VOLUME43,alpha360_VOLUME44,alpha360_VOLUME45,alpha360_VOLUME46,alpha360_VOLUME47,alpha360_VOLUME48,alpha360_VOLUME49,alpha360_VOLUME50,alpha360_VOLUME51,alpha360_VOLUME52,alpha360_VOLUME53,alpha360_VOLUME54,alpha360_VOLUME55,alpha360_VOLUME56,alpha360_VOLUME57,alpha360_VOLUME58,alpha360_VOLUME59,kunquant_alpha101_alpha029,kunquant_alpha101_alpha033,kunquant_alpha101_alpha035,kunquant_alpha101_alpha045,kunquant_alpha101_alpha101,ta_trend_dpo,ta_trend_psar_up_indicator,ta_volatility_bbhi,ta_volume_em,volume_ratio_5_20
alpha158_CNTP5,1.0,0.28267774376198773,0.5914674564303071,0.8554185580618885,0.3900590556700347,0.4136017010940521,0.33692619993418454,-0.390067344842342,-0.7206291415467905,-0.5404593336929457,-0.5168970851035418,0.44778970296562504,-0.44778823127398026,0.4477907500189691,-0.5365800592227332,-0.7200199484603116,-0.680886155216165,-0.390067344842342,-0.5270343065632119,-0.7298382025695945,-0.46074177609983474,-0.448606654703423,-0.45484860504456803,-0.4343843371709079,-0.42294301077117735,-0.41209609655488505,-0.4302470687567123,-0.4404643432615009,-0.45354803681802536,-0.45690840328483434,-0.44567624324147426,-0.4377638414460616,-0.42492430909545226,-0.43211219651246074,-0.43372151750232263,-0.43572564158949867,-0.4439138663205589,-0.444236422737131,-0.4442613426067203,-0.44184145690445936,-0.4356196448892989,-0.4469526827053988,-0.4505411613771432,-0.4420626003876936,-0.4347338959298314,-0.4287374272452075,-0.41837108142903606,-0.4220477103584266,-0.4237787396656126,-0.4210370130332314,-0.41953491030580403,-0.42006667961445077,-0.41976907796924606,-0.42036921404429867,-0.42684509937036497,-0.10475865269177753,-0.390067344842342,0.742309870178648,-0.3078560668353229,0.41364486295968056,-0.24929848007642466,0.3800332047511771,0.6198544744765973,0.47372196261633315,0.4581605976468802
alpha158_CORD30,0.28267774376198773,1.0,0.3699215964129162,0.19732511957989055,0.04203906960887415,0.06359094087585268,-0.025332984486182885,-0.042046288459985336,-0.2395832560161998,-0.21725101007491016,-0.3820743781090649,0.22244344649660955,-0.2224415385327381,0.2224432603537928,-0.05666802194149145,-0.2791947615316231,-0.20296796344843807,-0.042046288459985336,-0.0702010060879637,-0.2816867135887723,-0.18269247347575385,-0.1910396583553356,-0.20475858172482866,-0.20519238755921,-0.19867770308978228,-0.19690725804115444,-0.20849016350389468,-0.22939856232130143,-0.25210626995785473,-0.27709418056360463,-0.28701808817226904,-0.477178355508721,-0.4757919172740371,-0.4806998402173329,-0.4794532359567519,-0.48636954100415625,-0.4963810171741645,-0.500889995342474,-0.4933652243289685,-0.4879720968660228,-0.48590932034068884,-0.4918740167732827,-0.49433957145223484,-0.49851378339858765,-0.4969512889610585,-0.4987112111235783,-0.4992624963431662,-0.48907796552323246,-0.46944568041982093,-0.4601716090182751,-0.4594071844565722,-0.4632572054197436,-0.4636585293326061,-0.47382448077264533,-0.48251027688674186,-0.12145407532124818,-0.042046288459985336,0.3133485247588444,-0.2928124290257799,0.06318104275949467,-0.19752475193386682,-0.024504351263649606,0.28538511541075684,0.11359134457308645,0.18601530308017733
alpha158_IMAX10,0.5914674564303071,0.3699215964129162,1.0,0.5947103376949465,0.1751239181815764,0.18436703752287842,0.12445319093345807,-0.17512430210113591,-0.4395228387114608,-0.6711894000135372,-0.6464875152965768,0.5788068422283501,-0.5788034683897969,0.5788035149255011,-0.2915010703328301,-0.7774290398569698,-0.7977810752460698,-0.17512430210113591,-0.2907109580624189,-0.7716850739032355,-0.5992310079589317,-0.5981975953931328,-0.5940780163634892,-0.5851918375071866,-0.5849880809264272,-0.5735359291585114,-0.5768322566794034,-0.5813545266082198,-0.5847662917602975,-0.5813974383444384,-0.5663610310199325,-0.561617396563287,-0.5506542652427641,-0.5567754728824469,-0.5605747873789493,-0.5490996586070938,-0.5445986496781253,-0.5426163973719147,-0.5426857821068496,-0.538562352247685,-0.5438621581728574,-0.5426262920260163,-0.5414606424398223,-0.5407847985910291,-0.5347225633224706,-0.5285857487709978,-0.5195434077253877,-0.513685371126778,-0.5089730319311947,-0.5054506455933143,-0.49837757920941095,-0.4971384032106099,-0.4920564425506378,-0.4814859387832584,-0.48333536073884553,-0.34198719044245984,-0.17512430210113591,0.656948828851057,-0.2713437635978782,0.185448032846203,-0.5321006952131723,0.13199186660683493,0.6572055605140641,0.29639053023549183,0.697883972668371
alpha158_IMXD5,0.8554185580618885,0.19732511957989055,0.5947103376949465,1.0,0.27742208276919456,0.2961797118616229,0.20310323110656808,-0.2774305173655775,-0.6949330564117673,-0.5495199400024473,-0.5040662665635405,0.4550663805062121,-0.4550627739891381,0.4550658046268729,-0.5219538001439954,-0.7191038000520874,-0.7035865160284206,-0.2774305173655775,-0.5043647989228287,-0.7254613218145677,-0.4481024170807627,-0.44286151372315813,-0.4431428511397513,-0.42150821030592267,-0.39870225998087894,-0.3968123286948017,-0.4130469431475396,-0.4298206446484068,-0.4545404805132553,-0.4513236534259946,-0.44041950029355886,-0.4090022516998504,-0.39756872003057026,-0.39642166145819674,-0.39164424789727836,-0.39898868142315397,-0.41087302190973085,-0.4091554007023122,-0.40696634372671836,-0.40589370737925734,-0.39912304163505247,-0.4070093950700494,-0.4121165199120578,-0.4041547844532496,-0.38912338553390635,-0.3855605073164248,-0.37258608541028193,-0.3734058467412198,-0.37661078977302515,-0.37916976487812193,-0.3791163593406105,-0.376769598680508,-0.37408458162063524,-0.37052229091641903,-0.37306273317732547,-0.11831471273056085,-0.2774305173655775,0.6838917451082192,-0.33544246135901984,0.29677408332632,-0.19370938261942172,0.4188908348364327,0.5857994716475754,0.46744637277802775,0.43638117260341647
alpha158_KMID,0.3900590556700347,0.04203906960887415,0.1751239181815764,0.27742208276919456,1.0,0.9316677398187848,0.8221323483337996,-0.9999999650982219,-0.6817745857955859,-0.2624684450115389,-0.2284700645005801,0.23021650875977626,-0.23021845162542584,0.23021674725526017,-0.6318395705796904,-0.3381646604465338,-0.3352640667370395,-0.9999999650982219,-0.6499680195006937,-0.3383469931524805,-0.206446670210981,-0.18558873936475925,-0.1860873345332875,-0.18413765722000403,-0.19340176998085498,-0.22195880622237277,-0.22279698405824055,-0.2099488542362836,-0.21960724075081356,-0.20110470875478298,-0.19859364797410417,-0.18076828609443588,-0.17345729428897783,-0.19289871901865135,-0.18686810476108418,-0.188375442755232,-0.18251987836590713,-0.17195715769505213,-0.18068612730870318,-0.16795547105498979,-0.17269142712044533,-0.1950279543465197,-0.18326909738626865,-0.1567079542292497,-0.1566927079691672,-0.15606046225822928,-0.1491349489583599,-0.1709348729795157,-0.17427924279801227,-0.1653319741960451,-0.1617007175782317,-0.16275532134032228,-0.16128482217299728,-0.16650856548968487,-0.16818109359975147,-0.024196762915920707,-0.9999999650982219,0.6457846923732844,-0.18580347837170547,0.9362405533393056,-0.026611099235457937,0.4567274483375474,0.36136992201523427,0.6051912427808871,0.0944840752842523
alpha158_KMID2,0.4136017010940521,0.06359094087585268,0.18436703752287842,0.2961797118616229,0.9316677398187848,1.0,0.8666313359844569,-0.9316709449654104,-0.6591562267110614,-0.27368735401313327,-0.24533672688751318,0.2330298073051888,-0.23303179670654256,0.23302994109533834,-0.6009527184913552,-0.332513794985978,-0.3299499859846093,-0.9316709449654104,-0.6165331921843378,-0.3348105937506784,-0.226308614831492,-0.20533212264494144,-0.20490936322334022,-0.1920600641918157,-0.19700297616769308,-0.22054313193153677,-0.22107340628068667,-0.21184344490974202,-0.22442820591388293,-0.19948620859727123,-0.19908660650546342,-0.19408744449715648,-0.19177129851344252,-0.21289806030575867,-0.2049356675301289,-0.20642962069236145,-0.19869265850171366,-0.19235178488740443,-0.19719636692034598,-0.1859926285583148,-0.18937903175161344,-0.21149356040088926,-0.19964189379561095,-0.1764010440471376,-0.17536323385729358,-0.17356463470763583,-0.16626306638227456,-0.1873962791865829,-0.1895472815900822,-0.1789239947002348,-0.17130552404635951,-0.17692826449070057,-0.17531147452031753,-0.1745388422237896,-0.17756298241092316,-0.010034994151509038,-0.9316709449654104,0.675387432423468,-0.21250724182811512,0.9997522090091587,-0.038160877093783845,0.4850731978500312,0.3711477133297313,0.6235352334497338,0.09756393616018036
alpha158_KSFT2,0.33692619993418454,-0.025332984486182885,0.12445319093345807,0.20310323110656808,0.8221323483337996,0.8666313359844569,1.0,-0.8221305741600776,-0.5491754012826124,-0.2155333074300092,-0.17324890158868939,0.17058528513577711,-0.17058799002358266,0.17058541892592663,-0.5275949396423772,-0.2713789911259437,-0.28494973899635934,-0.8221305741600776,-0.5406104525753126,-0.27105509099091335,-0.16731025351651121,-0.1339025506987301,-0.14321166930248774,-0.12162188307052721,-0.14107929863155014,-0.16460640113037087,-0.17096288747343305,-0.15970051412413303,-0.16497099092174503,-0.1531093365909567,-0.148557016231165,-0.13412992996632467,-0.13447671403388634,-0.1436126383806059,-0.14156046036189934,-0.14179764702915018,-0.1292724284585097,-0.11968162342037751,-0.12878797432708963,-0.11932335085084601,-0.11708383172103018,-0.1378049243291058,-0.11854215598474867,-0.1032416236372339,-0.10153033128558396,-0.09320770562388406,-0.09092341914664548,-0.10579443276152664,-0.10144934170941883,-0.10266519750346186,-0.09705367216382857,-0.09596692386407452,-0.09901268570276348,-0.09676348714647785,-0.10544578144883471,0.004486070967926126,-0.8221305741600776,0.5600240838556636,-0.14495429181697797,0.8660434504335301,-0.010811837929265404,0.3715649587304697,0.31885142413099166,0.45039907042138755,0.06460269107135498
alpha158_OPEN0,-0.390067344842342,-0.042046288459985336,-0.17512430210113591,-0.2774305173655775,-0.9999999650982219,-0.9316709449654104,-0.8221305741600776,1.0,0.6817791870133368,0.26247006794422223,0.2284700877684322,-0.23021453680931156,0.23021647967496114,-0.23021477530479548,0.6318431887306905,0.3381710591058588,0.33527006984287894,1.0,0.6499710908571698,0.338353513968029,0.20644859562574153,0.18558840779786695,0.18608942282301263,0.18414288085279842,0.19340769746617512,0.22196512344421543,0.2228004567851651,0.2099508552715634,0.21960430900145012,0.201102411054389,0.19858936087235646,0.180763190434828,0.1734592313376644,0.19290156933053249,0.1868690063903527,0.18837667013442977,0.18251848229478168,0.17195605828904084,0.18068405065290408,0.16795418550616176,0.17268705276425225,0.19502679677087817,0.1832697721539793,0.1567142540002033,0.15669479625889235,0.15605875788806362,0.149133174784638,0.170932895212088,0.1742828144133082,0.16533275366909014,0.1617017180958716,0.16275764812553137,0.16128753869472887,0.16651047927051932,0.16818163457731258,0.024209030890935596,1.0,-0.6457883221582106,0.185796695792821,-0.93624346763778,0.026613827391115584,-0.4567374599084219,-0.3613748547998775,-0.6051894802410912,-0.09448577965441796
alpha158_QTLD5,-0.7206291415467905,-0.2395832560161998,-0.4395228387114608,-0.6949330564117673,-0.6817745857955859,-0.6591562267110614,-0.5491754012826124,0.6817791870133368,1.0,0.5076853366438213,0.4764243316769027,-0.4382007070029929,0.4381990782533466,-0.43820082334225335,0.8293041692989394,0.6220847446352069,0.5777799039423955,0.6817791870133368,0.8203423117537113,0.6283303422121673,0.4087182035784886,0.39225454038976865,0.38825007324138144,0.3803195865079312,0.3819223983161707,0.3955321256558015,0.4164475222797246,0.4271589070745509,0.43676903024688146,0.4211538351016164,0.41043991411091224,0.3996716219668348,0.39094725357093474,0.3984450106081628,0.3956663113588093,0.40433126529439545,0.4074657416361437,0.3899163073974575,0.4013800116539364,0.4003884288692338,0.3983191780640556,0.4130256181610984,0.4054361799696694,0.38792703401687845,0.37727821065936135,0.37452817740378375,0.37068884801864815,0.3849880018157301,0.39091320688636283,0.3886221320132767,0.37955586579875406,0.38056768579781264,0.3802328846740778,0.38221771389490744,0.38850219786967455,0.09890292542748803,0.6817791870133368,-0.8100168068349223,0.417570737120668,-0.6616577011366788,0.1296137678486821,-0.5191789494945764,-0.5855101242729,-0.7160057029970832,-0.30215431458224445
alpha158_VMA30,-0.5404593336929457,-0.21725101007491016,-0.6711894000135372,-0.5495199400024473,-0.2624684450115389,-0.27368735401313327,-0.2155333074300092,0.26247006794422223,0.5076853366438213,1.0,0.8761824518838851,-0.8624175803234757,0.8624185226714854,-0.8624178013680706,0.4369401129463423,0.6530591245661447,0.661024204778691,0.26247006794422223,0.42897923258109844,0.6515390474229772,0.792093853766622,0.8152060322930331,0.820514650917185,0.8364525420861346,0.8455306283695194,0.8513683288654016,0.8573579858863258,0.860142222884477,0.8615255606778698,0.8570737399882213,0.859478978577591,0.7104018095129356,0.7015328255993281,0.6869492979309552,0.6863562760016793,0.6822356499186917,0.6653911792456902,0.6481549302961465,0.6478848545199652,0.6393073004537952,0.6322009377735499,0.6361162715975403,0.6405427303284097,0.6278156398730292,0.6202716845154748,0.6183128862041717,0.6041121437875079,0.5923117013586076,0.5893159246831727,0.5859951833684743,0.5796630119308471,0.5643194515078533,0.556258763691066,0.5463458094237733,0.5427828032331052,0.2081256435160768,0.26247006794422223,-0.7263598913605371,0.2945596469410581,-0.2750781258852691,0.272686882908932,-0.2913362156682896,-0.6539128860459503,-0.40285062134355887,-0.76935728235955
