outer_split_id,left_factor,right_factor,distance
split_001,alpha158_BETA10,alpha158_BETA10,0.0
split_001,alpha158_BETA20,alpha158_BETA10,0.4096047599502768
split_001,alpha158_BETA30,alpha158_BETA10,0.5892854337474653
split_001,alpha158_BETA5,alpha158_BETA10,0.419361838298697
split_001,alpha158_CNTD30,alpha158_BETA10,0.5584732176936129
split_001,alpha158_CNTP20,alpha158_BETA10,0.4887190339164418
split_001,alpha158_CNTP30,alpha158_BETA10,0.5703313880681495
split_001,alpha158_CORD10,alpha158_BETA10,0.38826448839094385
split_001,alpha158_CORD20,alpha158_BETA10,0.6073212394429046
split_001,alpha158_CORD30,alpha158_BETA10,0.6962068252619324
split_001,alpha158_CORD5,alpha158_BETA10,0.40854444859123173
split_001,alpha158_CORD60,alpha158_BETA10,0.829209344089402
split_001,alpha158_CORR10,alpha158_BETA10,0.6311794551431269
split_001,alpha158_CORR20,alpha158_BETA10,0.7642361813096183
split_001,alpha158_CORR5,alpha158_BETA10,0.5678229117454344
split_001,alpha158_HIGH0,alpha158_BETA10,0.9337767389764626
split_001,alpha158_IMAX20,alpha158_BETA10,0.4810270915826921
split_001,alpha158_IMAX30,alpha158_BETA10,0.5612667401270728
split_001,alpha158_IMIN20,alpha158_BETA10,0.5190671669853743
split_001,alpha158_IMXD20,alpha158_BETA10,0.42471085734468916
split_001,alpha158_KLEN,alpha158_BETA10,0.8007827221070407
split_001,alpha158_KLOW,alpha158_BETA10,0.8677606785876484
split_001,alpha158_KUP,alpha158_BETA10,0.7915098604086057
split_001,alpha158_LOW0,alpha158_BETA10,0.7511201106947123
split_001,alpha158_MA10,alpha158_BETA10,0.17076230524436342
split_001,alpha158_BETA10,alpha158_BETA20,0.4096047599502768
split_001,alpha158_BETA20,alpha158_BETA20,0.0
split_001,alpha158_BETA30,alpha158_BETA20,0.18677645976843982
split_001,alpha158_BETA5,alpha158_BETA20,0.8104901319535989
split_001,alpha158_CNTD30,alpha158_BETA20,0.40583329711929594
split_001,alpha158_CNTP20,alpha158_BETA20,0.29318425314955976
split_001,alpha158_CNTP30,alpha158_BETA20,0.40425286788293535
split_001,alpha158_CORD10,alpha158_BETA20,0.45919945984091104
split_001,alpha158_CORD20,alpha158_BETA20,0.41012103275851874
split_001,alpha158_CORD30,alpha158_BETA20,0.5312751783829608
split_001,alpha158_CORD5,alpha158_BETA20,0.7020210420939332
split_001,alpha158_CORD60,alpha158_BETA20,0.7320642720070458
split_001,alpha158_CORR10,alpha158_BETA20,0.5753489752408065
split_001,alpha158_CORR20,alpha158_BETA20,0.7090585743576027
split_001,alpha158_CORR5,alpha158_BETA20,0.6939531691734234
split_001,alpha158_HIGH0,alpha158_BETA20,0.8690656499693761
split_001,alpha158_IMAX20,alpha158_BETA20,0.2200622675285724
split_001,alpha158_IMAX30,alpha158_BETA20,0.35499113410825933
split_001,alpha158_IMIN20,alpha158_BETA20,0.2657907123877006
split_001,alpha158_IMXD20,alpha158_BETA20,0.1370303175551817
split_001,alpha158_KLEN,alpha158_BETA20,0.7927179039062706
split_001,alpha158_KLOW,alpha158_BETA20,0.8025383959292136
split_001,alpha158_KUP,alpha158_BETA20,0.7877272572982289
split_001,alpha158_LOW0,alpha158_BETA20,0.7400247211654268
split_001,alpha158_MA10,alpha158_BETA20,0.5894530985279662
split_001,alpha158_BETA10,alpha158_BETA30,0.5892854337474653
split_001,alpha158_BETA20,alpha158_BETA30,0.18677645976843982
split_001,alpha158_BETA30,alpha158_BETA30,0.0
split_001,alpha158_BETA5,alpha158_BETA30,0.8737240560472829
split_001,alpha158_CNTD30,alpha158_BETA30,0.33179245196772644
split_001,alpha158_CNTP20,alpha158_BETA30,0.34677372833199127
split_001,alpha158_CNTP30,alpha158_BETA30,0.3189913093630178
split_001,alpha158_CORD10,alpha158_BETA30,0.589923646835053
split_001,alpha158_CORD20,alpha158_BETA30,0.3876697552774687
split_001,alpha158_CORD30,alpha158_BETA30,0.4202574039658198
split_001,alpha158_CORD5,alpha158_BETA30,0.7766062616885969
split_001,alpha158_CORD60,alpha158_BETA30,0.6602392451737362
split_001,alpha158_CORR10,alpha158_BETA30,0.6113165614502536
split_001,alpha158_CORR20,alpha158_BETA30,0.6588885460505208
split_001,alpha158_CORR5,alpha158_BETA30,0.7440435200591529
split_001,alpha158_HIGH0,alpha158_BETA30,0.837045829764934
split_001,alpha158_IMAX20,alpha158_BETA30,0.2948880967531966
split_001,alpha158_IMAX30,alpha158_BETA30,0.20906610694884686
split_001,alpha158_IMIN20,alpha158_BETA30,0.32915659655754714
split_001,alpha158_IMXD20,alpha158_BETA30,0.2558134700512793
split_001,alpha158_KLEN,alpha158_BETA30,0.7588498193986459
split_001,alpha158_KLOW,alpha158_BETA30,0.7878035349170972
split_001,alpha158_KUP,alpha158_BETA30,0.770953523785513
split_001,alpha158_LOW0,alpha158_BETA30,0.7336476197293526
split_001,alpha158_MA10,alpha158_BETA30,0.7356908156660247
split_001,alpha158_BETA10,alpha158_BETA5,0.419361838298697
split_001,alpha158_BETA20,alpha158_BETA5,0.8104901319535989
split_001,alpha158_BETA30,alpha158_BETA5,0.8737240560472829
split_001,alpha158_BETA5,alpha158_BETA5,0.0
split_001,alpha158_CNTD30,alpha158_BETA5,0.705833530981931
split_001,alpha158_CNTP20,alpha158_BETA5,0.6523641248405146
split_001,alpha158_CNTP30,alpha158_BETA5,0.7237268712078162
split_001,alpha158_CORD10,alpha158_BETA5,0.6464425002934591
split_001,alpha158_CORD20,alpha158_BETA5,0.8008903891647992
split_001,alpha158_CORD30,alpha158_BETA5,0.8668207198674837
split_001,alpha158_CORD5,alpha158_BETA5,0.39037279212471976
split_001,alpha158_CORD60,alpha158_BETA5,0.9026448061328312
split_001,alpha158_CORR10,alpha158_BETA5,0.7654661219311177
split_001,alpha158_CORR20,alpha158_BETA5,0.8657007875989282
split_001,alpha158_CORR5,alpha158_BETA5,0.6136385628804721
split_001,alpha158_HIGH0,alpha158_BETA5,0.8925183442732812
split_001,alpha158_IMAX20,alpha158_BETA5,0.7478301481727484
split_001,alpha158_IMAX30,alpha158_BETA5,0.8207453422569921
split_001,alpha158_IMIN20,alpha158_BETA5,0.760291734365546
split_001,alpha158_IMXD20,alpha158_BETA5,0.7223266868063908
split_001,alpha158_KLEN,alpha158_BETA5,0.8545368408684789
split_001,alpha158_KLOW,alpha158_BETA5,0.9337566229029648
split_001,alpha158_KUP,alpha158_BETA5,0.8215138185854025
split_001,alpha158_LOW0,alpha158_BETA5,0.6916502091117089
split_001,alpha158_MA10,alpha158_BETA5,0.1583842167692383
split_001,alpha158_BETA10,alpha158_CNTD30,0.5584732176936129
split_001,alpha158_BETA20,alpha158_CNTD30,0.40583329711929594
split_001,alpha158_BETA30,alpha158_CNTD30,0.33179245196772644
split_001,alpha158_BETA5,alpha158_CNTD30,0.705833530981931
split_001,alpha158_CNTD30,alpha158_CNTD30,0.0
split_001,alpha158_CNTP20,alpha158_CNTD30,0.18678268548162147
split_001,alpha158_CNTP30,alpha158_CNTD30,0.0299448754336622
split_001,alpha158_CORD10,alpha158_CNTD30,0.6452677647619698
split_001,alpha158_CORD20,alpha158_CNTD30,0.583626339600184
split_001,alpha158_CORD30,alpha158_CNTD30,0.5633956468031847
split_001,alpha158_CORD5,alpha158_CNTD30,0.7284073345532814
split_001,alpha158_CORD60,alpha158_CNTD30,0.6878737006227169
split_001,alpha158_CORR10,alpha158_CNTD30,0.6268498228829218
split_001,alpha158_CORR20,alpha158_CNTD30,0.6496074566212526
split_001,alpha158_CORR5,alpha158_CNTD30,0.726004336935623
split_001,alpha158_HIGH0,alpha158_CNTD30,0.9369476360590171
split_001,alpha158_IMAX20,alpha158_CNTD30,0.4236955791688748
split_001,alpha158_IMAX30,alpha158_CNTD30,0.33840411985710794
split_001,alpha158_IMIN20,alpha158_CNTD30,0.4740811265989251
split_001,alpha158_IMXD20,alpha158_CNTD30,0.39302783394189744
split_001,alpha158_KLEN,alpha158_CNTD30,0.7887426535618629
split_001,alpha158_KLOW,alpha158_CNTD30,0.8552160430970679
split_001,alpha158_KUP,alpha158_CNTD30,0.8080350216530947
split_001,alpha158_LOW0,alpha158_CNTD30,0.7607138852062452
split_001,alpha158_MA10,alpha158_CNTD30,0.6075190739531002
split_001,alpha158_BETA10,alpha158_CNTP20,0.4887190339164418
split_001,alpha158_BETA20,alpha158_CNTP20,0.29318425314955976
split_001,alpha158_BETA30,alpha158_CNTP20,0.34677372833199127
split_001,alpha158_BETA5,alpha158_CNTP20,0.6523641248405146
split_001,alpha158_CNTD30,alpha158_CNTP20,0.18678268548162147
split_001,alpha158_CNTP20,alpha158_CNTP20,0.0
split_001,alpha158_CNTP30,alpha158_CNTP20,0.16068081037315418
split_001,alpha158_CORD10,alpha158_CNTP20,0.5893656667928037
split_001,alpha158_CORD20,alpha158_CNTP20,0.534914966428952
split_001,alpha158_CORD30,alpha158_CNTP20,0.6331683386562612
split_001,alpha158_CORD5,alpha158_CNTP20,0.6828579882311478
split_001,alpha158_CORD60,alpha158_CNTP20,0.7310349751285481
split_001,alpha158_CORR10,alpha158_CNTP20,0.610612880496136
split_001,alpha158_CORR20,alpha158_CNTP20,0.7031621573109087
split_001,alpha158_CORR5,alpha158_CNTP20,0.666556355432208
split_001,alpha158_HIGH0,alpha158_CNTP20,0.9009069039488592
split_001,alpha158_IMAX20,alpha158_CNTP20,0.3281089392583969
split_001,alpha158_IMAX30,alpha158_CNTP20,0.4069343111538466
split_001,alpha158_IMIN20,alpha158_CNTP20,0.387265735887524
split_001,alpha158_IMXD20,alpha158_CNTP20,0.28643081825184435
split_001,alpha158_KLEN,alpha158_CNTP20,0.6908853230519326
split_001,alpha158_KLOW,alpha158_CNTP20,0.8069482212411537
split_001,alpha158_KUP,alpha158_CNTP20,0.7192636332769138
split_001,alpha158_LOW0,alpha158_CNTP20,0.6591559937920846
split_001,alpha158_MA10,alpha158_CNTP20,0.5326529452289088
split_001,alpha158_BETA10,alpha158_CNTP30,0.5703313880681495
split_001,alpha158_BETA20,alpha158_CNTP30,0.40425286788293535
split_001,alpha158_BETA30,alpha158_CNTP30,0.3189913093630178
split_001,alpha158_BETA5,alpha158_CNTP30,0.7237268712078162
split_001,alpha158_CNTD30,alpha158_CNTP30,0.0299448754336622
split_001,alpha158_CNTP20,alpha158_CNTP30,0.16068081037315418
split_001,alpha158_CNTP30,alpha158_CNTP30,0.0
