outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha158_BETA10,alpha158_BETA10,1.0
split_001,alpha158_BETA20,alpha158_BETA10,0.6505400043904758
split_001,alpha158_BETA30,alpha158_BETA10,0.5151137972173819
split_001,alpha158_BETA5,alpha158_BETA10,0.608280710613774
split_001,alpha158_CNTD30,alpha158_BETA10,0.5521869688643437
split_001,alpha158_CNTP20,alpha158_BETA10,0.6258121106903796
split_001,alpha158_CNTP30,alpha158_BETA10,0.5233865738823519
split_001,alpha158_CORD10,alpha158_BETA10,0.6895172165348854
split_001,alpha158_CORD20,alpha158_BETA10,0.48110693595989923
split_001,alpha158_CORD30,alpha158_BETA10,0.40485185092860704
split_001,alpha158_CORD5,alpha158_BETA10,0.6752154696991506
split_001,alpha158_CORD60,alpha158_BETA10,0.2742461609471205
split_001,alpha158_CORR10,alpha158_BETA10,0.4469301380962758
split_001,alpha158_CORR20,alpha158_BETA10,0.2905947057510139
split_001,alpha158_CORR5,alpha158_BETA10,0.4970937623884188
split_001,alpha158_HIGH0,alpha158_BETA10,0.0659027560554658
split_001,alpha158_IMAX20,alpha158_BETA10,0.5937449390922008
split_001,alpha158_IMAX30,alpha158_BETA10,0.5140865920821871
split_001,alpha158_IMIN20,alpha158_BETA10,-0.6197813714634625
split_001,alpha158_IMXD20,alpha158_BETA10,0.6453772016372883
split_001,alpha158_KLEN,alpha158_BETA10,0.17159145095573258
split_001,alpha158_KLOW,alpha158_BETA10,0.1288896251021563
split_001,alpha158_KUP,alpha158_BETA10,0.22989999740002354
split_001,alpha158_LOW0,alpha158_BETA10,-0.21560160104942555
split_001,alpha158_MA10,alpha158_BETA10,-0.8417513602299559
split_001,alpha158_BETA10,alpha158_BETA20,0.6505400043904758
split_001,alpha158_BETA20,alpha158_BETA20,1.0
split_001,alpha158_BETA30,alpha158_BETA20,0.868567999972124
split_001,alpha158_BETA5,alpha158_BETA20,0.2828759117005106
split_001,alpha158_CNTD30,alpha158_BETA20,0.7593696316851895
split_001,alpha158_CNTP20,alpha158_BETA20,0.8596423611753288
split_001,alpha158_CNTP30,alpha158_BETA20,0.7557697364347568
split_001,alpha158_CORD10,alpha158_BETA20,0.6401993082990445
split_001,alpha158_CORD20,alpha158_BETA20,0.6942664354027805
split_001,alpha158_CORD30,alpha158_BETA20,0.5706183628564682
split_001,alpha158_CORD5,alpha158_BETA20,0.3924489178335066
split_001,alpha158_CORD60,alpha158_BETA20,0.33792867111986347
split_001,alpha158_CORR10,alpha158_BETA20,0.4997257158847572
split_001,alpha158_CORR20,alpha158_BETA20,0.43041806281382317
split_001,alpha158_CORR5,alpha158_BETA20,0.4003493885900703
split_001,alpha158_HIGH0,alpha158_BETA20,0.1713844177781566
split_001,alpha158_IMAX20,alpha158_BETA20,0.8749805872891171
split_001,alpha158_IMAX30,alpha158_BETA20,0.7629203954215754
split_001,alpha158_IMIN20,alpha158_BETA20,-0.8566341079923009
split_001,alpha158_IMXD20,alpha158_BETA20,0.9213918558551604
split_001,alpha158_KLEN,alpha158_BETA20,0.28475448851091845
split_001,alpha158_KLOW,alpha158_BETA20,0.22836791436052775
split_001,alpha158_KUP,alpha158_BETA20,0.2951236235201912
split_001,alpha158_LOW0,alpha158_BETA20,-0.262098320388399
split_001,alpha158_MA10,alpha158_BETA20,-0.47297088589239367
split_001,alpha158_BETA10,alpha158_BETA30,0.5151137972173819
split_001,alpha158_BETA20,alpha158_BETA30,0.868567999972124
split_001,alpha158_BETA30,alpha158_BETA30,1.0
split_001,alpha158_BETA5,alpha158_BETA30,0.23676932285087152
split_001,alpha158_CNTD30,alpha158_BETA30,0.8679590962052941
split_001,alpha158_CNTP20,alpha158_BETA30,0.8354790108188506
split_001,alpha158_CNTP30,alpha158_BETA30,0.871248763335936
split_001,alpha158_CORD10,alpha158_BETA30,0.5354116258617783
split_001,alpha158_CORD20,alpha158_BETA30,0.722083851653384
split_001,alpha158_CORD30,alpha158_BETA30,0.683624142041271
split_001,alpha158_CORD5,alpha158_BETA30,0.33481499827248984
split_001,alpha158_CORD60,alpha158_BETA30,0.3802091667665111
split_001,alpha158_CORR10,alpha158_BETA30,0.49297333576712576
split_001,alpha158_CORR20,alpha158_BETA30,0.46591090443531863
split_001,alpha158_CORR5,alpha158_BETA30,0.36998080574074804
split_001,alpha158_HIGH0,alpha158_BETA30,0.2014276283148695
split_001,alpha158_IMAX20,alpha158_BETA30,0.8314837047145078
split_001,alpha158_IMAX30,alpha158_BETA30,0.8977472678133903
split_001,alpha158_IMIN20,alpha158_BETA30,-0.8096925782465598
split_001,alpha158_IMXD20,alpha158_BETA30,0.8578570886750118
split_001,alpha158_KLEN,alpha158_BETA30,0.3239460512924429
split_001,alpha158_KLOW,alpha158_BETA30,0.24459316131138525
split_001,alpha158_KUP,alpha158_BETA30,0.3154456292653351
split_001,alpha158_LOW0,alpha158_BETA30,-0.2785913113075121
split_001,alpha158_MA10,alpha158_BETA30,-0.3778833940039182
split_001,alpha158_BETA10,alpha158_BETA5,0.608280710613774
split_001,alpha158_BETA20,alpha158_BETA5,0.2828759117005106
split_001,alpha158_BETA30,alpha158_BETA5,0.23676932285087152
split_001,alpha158_BETA5,alpha158_BETA5,1.0
split_001,alpha158_CNTD30,alpha158_BETA5,0.3362654902979332
split_001,alpha158_CNTP20,alpha158_BETA5,0.4022480951151803
split_001,alpha158_CNTP30,alpha158_BETA5,0.30579041562902143
split_001,alpha158_CORD10,alpha158_BETA5,0.38491844785157514
split_001,alpha158_CORD20,alpha158_BETA5,0.24991718940935773
split_001,alpha158_CORD30,alpha158_BETA5,0.19229318728434602
split_001,alpha158_CORD5,alpha158_BETA5,0.6593054095860864
split_001,alpha158_CORD60,alpha158_BETA5,0.12912429308114098
