outer_split_id,left_factor,right_factor,distance
split_001,alpha158_BETA10,alpha158_BETA10,0.0
split_001,alpha158_BETA20,alpha158_BETA10,0.3929250714773147
split_001,alpha158_BETA30,alpha158_BETA10,0.5939757564450772
split_001,alpha158_BETA5,alpha158_BETA10,0.4155235175742229
split_001,alpha158_BETA60,alpha158_BETA10,0.8236480100941252
split_001,alpha158_CNTD30,alpha158_BETA10,0.5609442933841475
split_001,alpha158_CNTP20,alpha158_BETA10,0.49222036360395216
split_001,alpha158_CNTP30,alpha158_BETA10,0.5826226782741655
split_001,alpha158_CNTP60,alpha158_BETA10,0.7335426497737959
split_001,alpha158_CORD10,alpha158_BETA10,0.40019198232392017
split_001,alpha158_CORD20,alpha158_BETA10,0.6177388383506064
split_001,alpha158_CORD30,alpha158_BETA10,0.6980873744356734
split_001,alpha158_CORD5,alpha158_BETA10,0.4184348580800701
split_001,alpha158_CORD60,alpha158_BETA10,0.8102310342378951
split_001,alpha158_CORR10,alpha158_BETA10,0.6251259395179313
split_001,alpha158_CORR20,alpha158_BETA10,0.7513252583918026
split_001,alpha158_CORR5,alpha158_BETA10,0.5957151201414803
split_001,alpha158_HIGH0,alpha158_BETA10,0.9432553625592289
split_001,alpha158_IMAX20,alpha158_BETA10,0.4837068186787452
split_001,alpha158_IMAX30,alpha158_BETA10,0.5903071355586303
split_001,alpha158_IMAX60,alpha158_BETA10,0.8005094533014092
split_001,alpha158_IMIN20,alpha158_BETA10,0.4741766649968606
split_001,alpha158_IMIN30,alpha158_BETA10,0.6363873628387566
split_001,alpha158_IMXD20,alpha158_BETA10,0.4433115354897128
split_001,alpha158_IMXD60,alpha158_BETA10,0.7633544946195803
split_001,alpha158_KLEN,alpha158_BETA10,0.834212823912392
split_001,alpha158_KLOW,alpha158_BETA10,0.8871077189585476
split_001,alpha158_KMID,alpha158_BETA10,0.8683984033952352
split_001,alpha158_KUP,alpha158_BETA10,0.8161060777609372
split_001,alpha158_LOW0,alpha158_BETA10,0.7938704340379397
split_001,alpha158_MA10,alpha158_BETA10,0.1584145104288197
split_001,alpha158_MA20,alpha158_BETA10,0.15180097998822717
split_001,alpha158_MA30,alpha158_BETA10,0.25162892651275637
split_001,alpha158_MA60,alpha158_BETA10,0.45684554738214334
split_001,alpha158_MAX5,alpha158_BETA10,0.7326366785650529
split_001,alpha158_MIN10,alpha158_BETA10,0.3453416831475802
split_001,alpha158_MIN20,alpha158_BETA10,0.37121407262576556
split_001,alpha158_MIN30,alpha158_BETA10,0.4354187939249208
split_001,alpha158_MIN5,alpha158_BETA10,0.5379310419276548
split_001,alpha158_MIN60,alpha158_BETA10,0.5518782317755054
split_001,alpha158_OPEN0,alpha158_BETA10,0.8683969407466405
split_001,alpha158_QTLD10,alpha158_BETA10,0.22163005696817695
split_001,alpha158_QTLD20,alpha158_BETA10,0.20102778567698243
split_001,alpha158_QTLD30,alpha158_BETA10,0.2683206829009164
split_001,alpha158_QTLD5,alpha158_BETA10,0.5502267206668212
