outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha158_BETA10,alpha158_BETA10,1.0
split_001,alpha158_BETA20,alpha158_BETA10,0.6505400043904758
split_001,alpha158_BETA30,alpha158_BETA10,0.5151137972173819
split_001,alpha158_BETA5,alpha158_BETA10,0.608280710613774
split_001,alpha158_BETA60,alpha158_BETA10,0.253842242541351
split_001,alpha158_CNTD30,alpha158_BETA10,0.5521869688643437
split_001,alpha158_CNTP20,alpha158_BETA10,0.6258121106903796
split_001,alpha158_CNTP30,alpha158_BETA10,0.5233865738823519
split_001,alpha158_CNTP60,alpha158_BETA10,0.33740872943438716
split_001,alpha158_CORD10,alpha158_BETA10,0.6895172165348854
split_001,alpha158_CORD20,alpha158_BETA10,0.48110693595989923
split_001,alpha158_CORD30,alpha158_BETA10,0.40485185092860704
split_001,alpha158_CORD5,alpha158_BETA10,0.6752154696991506
split_001,alpha158_CORD60,alpha158_BETA10,0.2742461609471205
split_001,alpha158_CORR10,alpha158_BETA10,0.4469301380962758
split_001,alpha158_CORR20,alpha158_BETA10,0.2905947057510139
split_001,alpha158_CORR5,alpha158_BETA10,0.4970937623884188
split_001,alpha158_HIGH0,alpha158_BETA10,0.0659027560554658
split_001,alpha158_IMAX20,alpha158_BETA10,0.5937449390922008
split_001,alpha158_IMAX30,alpha158_BETA10,0.5140865920821871
split_001,alpha158_IMAX60,alpha158_BETA10,0.27941767496166375
split_001,alpha158_IMIN20,alpha158_BETA10,-0.6197813714634625
split_001,alpha158_IMIN30,alpha158_BETA10,-0.4759198488904399
split_001,alpha158_IMXD20,alpha158_BETA10,0.6453772016372883
split_001,alpha158_IMXD60,alpha158_BETA10,0.29863203712444747
split_001,alpha158_KLEN,alpha158_BETA10,0.17159145095573258
split_001,alpha158_KLOW,alpha158_BETA10,0.1288896251021563
split_001,alpha158_KMID,alpha158_BETA10,0.1674814778480665
split_001,alpha158_KUP,alpha158_BETA10,0.22989999740002354
split_001,alpha158_LOW0,alpha158_BETA10,-0.21560160104942555
split_001,alpha158_MA10,alpha158_BETA10,-0.8417513602299559
split_001,alpha158_MA20,alpha158_BETA10,-0.8687053430588535
split_001,alpha158_MA30,alpha158_BETA10,-0.7848186570022593
split_001,alpha158_MA60,alpha158_BETA10,-0.5896820335997371
split_001,alpha158_MAX5,alpha158_BETA10,-0.26988171179234066
split_001,alpha158_MIN10,alpha158_BETA10,-0.6275066788570718
split_001,alpha158_MIN20,alpha158_BETA10,-0.6224356257888717
split_001,alpha158_MIN30,alpha158_BETA10,-0.563588884216079
split_001,alpha158_MIN5,alpha158_BETA10,-0.4497210922152684
split_001,alpha158_MIN60,alpha158_BETA10,-0.45643345413842545
split_001,alpha158_OPEN0,alpha158_BETA10,-0.1674814778480665
split_001,alpha158_QTLD10,alpha158_BETA10,-0.7678963483196513
split_001,alpha158_QTLD20,alpha158_BETA10,-0.8366156293966741
split_001,alpha158_QTLD30,alpha158_BETA10,-0.7652773679017627
split_001,alpha158_QTLD5,alpha158_BETA10,-0.4544349299601185
split_001,alpha158_QTLD60,alpha158_BETA10,-0.6099882786627973
split_001,alpha158_QTLU30,alpha158_BETA10,-0.7930811141730078
split_001,alpha158_QTLU60,alpha158_BETA10,-0.6010019826830846
split_001,alpha158_RANK20,alpha158_BETA10,0.8168502330463442
split_001,alpha158_RANK30,alpha158_BETA10,0.7881736987988913
split_001,alpha158_RANK60,alpha158_BETA10,0.6372151786090019
split_001,alpha158_ROC10,alpha158_BETA10,-0.9200879542554243
split_001,alpha158_ROC20,alpha158_BETA10,-0.6798432669856864
split_001,alpha158_ROC5,alpha158_BETA10,-0.7415051665821004
split_001,alpha158_ROC60,alpha158_BETA10,-0.4235210757576854
split_001,alpha158_RSQR30,alpha158_BETA10,-0.1158979715626904
split_001,alpha158_RSV20,alpha158_BETA10,0.8147783466454809
split_001,alpha158_RSV30,alpha158_BETA10,0.7707352545819225
split_001,alpha158_RSV60,alpha158_BETA10,0.5920141052743874
split_001,alpha158_STD10,alpha158_BETA10,-0.0307427382255241
split_001,alpha158_STD20,alpha158_BETA10,-0.030712959113627817
split_001,alpha158_STD5,alpha158_BETA10,0.0665245792929833
split_001,alpha158_SUMD20,alpha158_BETA10,0.663927470842068
split_001,alpha158_SUMD30,alpha158_BETA10,0.5547212222140917
split_001,alpha158_SUMD60,alpha158_BETA10,0.40743443167596893
split_001,alpha158_SUMN20,alpha158_BETA10,-0.663927470842068
split_001,alpha158_SUMN30,alpha158_BETA10,-0.5547186490415066
split_001,alpha158_SUMN60,alpha158_BETA10,-0.40743287705086545
split_001,alpha158_SUMP20,alpha158_BETA10,0.663927470842068
split_001,alpha158_SUMP30,alpha158_BETA10,0.5547212222140917
split_001,alpha158_SUMP60,alpha158_BETA10,0.40743287705086545
split_001,alpha158_VMA30,alpha158_BETA10,-0.6401848073993722
split_001,alpha158_VMA60,alpha158_BETA10,-0.6059838324350013
split_001,alpha158_VSTD60,alpha158_BETA10,-0.5467086040190275
split_001,alpha158_VSUMD20,alpha158_BETA10,0.5172505222066134
split_001,alpha158_VSUMD30,alpha158_BETA10,0.538935987775286
split_001,alpha158_VSUMD60,alpha158_BETA10,0.43898085747223853
split_001,alpha158_VSUMN20,alpha158_BETA10,-0.5172505222066134
split_001,alpha158_VSUMN30,alpha158_BETA10,-0.538935987775286
split_001,alpha158_VSUMN60,alpha158_BETA10,-0.43898085747223853
split_001,alpha158_VSUMP20,alpha158_BETA10,0.5172505222066134
split_001,alpha158_VSUMP30,alpha158_BETA10,0.538935987775286
split_001,alpha158_VSUMP60,alpha158_BETA10,0.43898085747223853
split_001,alpha360_CLOSE10,alpha158_BETA10,-0.9200879542554243
split_001,alpha360_CLOSE11,alpha158_BETA10,-0.8847264248474122
