universe,instrument,start,end
csi300,SH600000,2023-12-29,2024-06-27
csi300,SH600009,2023-12-29,2024-06-27
csi300,SH600010,2023-12-29,2024-06-27
csi300,SH600011,2023-12-29,2024-06-27
csi300,SH600015,2023-12-29,2024-06-27
csi300,SH600016,2023-12-29,2024-06-27
csi300,SH600018,2023-12-29,2024-06-27
csi300,SH600019,2023-12-29,2024-06-27
csi300,SH600023,2023-12-29,2024-06-27
csi300,SH600025,2023-12-29,2024-06-27
csi300,SH600028,2023-12-29,2024-06-27
csi300,SH600029,2023-12-29,2024-06-27
csi300,SH600030,2023-12-29,2024-06-27
csi300,SH600031,2023-12-29,2024-06-27
csi300,SH600036,2023-12-29,2024-06-27
csi300,SH600039,2023-12-29,2024-06-27
csi300,SH600048,2023-12-29,2024-06-27
csi300,SH600050,2023-12-29,2024-06-27
csi300,SH600061,2023-12-29,2024-06-27
csi300,SH600085,2023-12-29,2024-06-27
csi300,SH600089,2023-12-29,2024-06-27
csi300,SH600104,2023-12-29,2024-06-27
csi300,SH600111,2023-12-29,2024-06-27
csi300,SH600115,2023-12-29,2024-06-27
csi300,SH600132,2023-12-29,2024-06-27
csi300,SH600150,2023-12-29,2024-06-27
csi300,SH600176,2023-12-29,2024-06-27
csi300,SH600183,2023-12-29,2024-06-27
csi300,SH600188,2023-12-29,2024-06-27
csi300,SH600196,2023-12-29,2024-06-27
csi300,SH600219,2023-12-29,2024-06-27
csi300,SH600233,2023-12-29,2024-06-27
csi300,SH600276,2023-12-29,2024-06-27
csi300,SH600309,2023-12-29,2024-06-27
csi300,SH600332,2023-12-29,2024-06-27
csi300,SH600346,2023-12-29,2024-06-27
csi300,SH600362,2023-12-29,2024-06-27
csi300,SH600372,2023-12-29,2024-06-27
csi300,SH600406,2023-12-29,2024-06-27
csi300,SH600426,2023-12-29,2024-06-27
csi300,SH600436,2023-12-29,2024-06-27
csi300,SH600438,2023-12-29,2024-06-27
csi300,SH600460,2023-12-29,2024-06-27
csi300,SH600489,2023-12-29,2024-06-27
csi300,SH600515,2023-12-29,2024-06-27
csi300,SH600519,2023-12-29,2024-06-27
csi300,SH600547,2023-12-29,2024-06-27
