batch_id,status,returncode,factor_count,factors,config_path,output_dir,started_at,ended_at,elapsed_seconds
batch_001,skipped_existing,,5,"kunquant_alpha101_alpha001,kunquant_alpha101_alpha002,kunquant_alpha101_alpha003,kunquant_alpha101_alpha005,kunquant_alpha101_alpha006",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_001.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_001,2026-06-28T00:52:25,2026-06-28T00:52:25,0.001
batch_002,pass,0.0,5,"kunquant_alpha101_alpha007,kunquant_alpha101_alpha008,kunquant_alpha101_alpha010,kunquant_alpha101_alpha011,kunquant_alpha101_alpha013",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_002.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_002,2026-06-28T00:52:25,2026-06-28T00:52:47,22.694
batch_003,pass,0.0,5,"kunquant_alpha101_alpha014,kunquant_alpha101_alpha015,kunquant_alpha101_alpha016,kunquant_alpha101_alpha017,kunquant_alpha101_alpha018",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_003.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_003,2026-06-28T00:52:47,2026-06-28T00:53:09,21.399
batch_004,pass,0.0,5,"kunquant_alpha101_alpha020,kunquant_alpha101_alpha021,kunquant_alpha101_alpha022,kunquant_alpha101_alpha023,kunquant_alpha101_alpha024",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_004.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_004,2026-06-28T00:53:09,2026-06-28T00:53:30,20.995
batch_005,pass,0.0,5,"kunquant_alpha101_alpha025,kunquant_alpha101_alpha026,kunquant_alpha101_alpha027,kunquant_alpha101_alpha028,kunquant_alpha101_alpha029",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_005.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_005,2026-06-28T00:53:30,2026-06-28T00:53:52,22.353
batch_006,pass,0.0,5,"kunquant_alpha101_alpha030,kunquant_alpha101_alpha031,kunquant_alpha101_alpha034,kunquant_alpha101_alpha035,kunquant_alpha101_alpha038",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_006.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_006,2026-06-28T00:53:52,2026-06-28T00:54:20,28.081
batch_007,pass,0.0,5,"kunquant_alpha101_alpha040,kunquant_alpha101_alpha041,kunquant_alpha101_alpha042,kunquant_alpha101_alpha043,kunquant_alpha101_alpha044",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_007.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_007,2026-06-28T00:54:20,2026-06-28T00:54:49,29.322
batch_008,pass,0.0,5,"kunquant_alpha101_alpha045,kunquant_alpha101_alpha046,kunquant_alpha101_alpha047,kunquant_alpha101_alpha049,kunquant_alpha101_alpha050",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_008.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_008,2026-06-28T00:54:49,2026-06-28T00:55:18,28.801
batch_009,pass,0.0,5,"kunquant_alpha101_alpha051,kunquant_alpha101_alpha053,kunquant_alpha101_alpha054,kunquant_alpha101_alpha055,kunquant_alpha101_alpha057",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_009.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_009,2026-06-28T00:55:18,2026-06-28T00:55:47,28.942
batch_010,pass,0.0,5,"kunquant_alpha101_alpha060,kunquant_alpha101_alpha061,kunquant_alpha101_alpha062,kunquant_alpha101_alpha064,kunquant_alpha101_alpha065",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\generated_configs\batch_010.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha101_candidate71_batch1\runs\batch_010,2026-06-28T00:55:47,2026-06-28T00:56:12,25.123
