name,registry_name,category,stage,enabled,runnable,expected_direction,source_project,source_file,source_function,source_commit,license,compute_adapter,required_fields,labels,notes
alpha158_KMID,alpha158_KMID,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$open","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: ($close-$open)/$open
alpha158_KLEN,alpha158_KLEN,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$high,$low,$open","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: ($high-$low)/$open
alpha158_KMID2,alpha158_KMID2,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high,$low,$open","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: ($close-$open)/($high-$low+1e-12)
alpha158_KUP,alpha158_KUP,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high,$open","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: ($high-Greater($open, $close))/$open"
alpha158_KUP2,alpha158_KUP2,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high,$low,$open","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: ($high-Greater($open, $close))/($high-$low+1e-12)"
alpha158_KLOW,alpha158_KLOW,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$low,$open","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: (Less($open, $close)-$low)/$open"
alpha158_KLOW2,alpha158_KLOW2,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high,$low,$open","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: (Less($open, $close)-$low)/($high-$low+1e-12)"
alpha158_KSFT,alpha158_KSFT,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high,$low,$open","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: (2*$close-$high-$low)/$open
alpha158_KSFT2,alpha158_KSFT2,alpha158_kbar,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high,$low","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: (2*$close-$high-$low)/($high-$low+1e-12)
alpha158_OPEN0,alpha158_OPEN0,alpha158_price_volume_lag,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$open","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: $open/$close
alpha158_HIGH0,alpha158_HIGH0,alpha158_price_volume_lag,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: $high/$close
alpha158_LOW0,alpha158_LOW0,alpha158_price_volume_lag,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$low","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: $low/$close
alpha158_VWAP0,alpha158_VWAP0,alpha158_price_volume_lag,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$vwap","label_10d_t1,label_20d_t1",Qlib Alpha158 expression: $vwap/$close
alpha158_ROC5,alpha158_ROC5,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Ref($close, 5)/$close"
alpha158_ROC10,alpha158_ROC10,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Ref($close, 10)/$close"
alpha158_ROC20,alpha158_ROC20,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Ref($close, 20)/$close"
alpha158_ROC30,alpha158_ROC30,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Ref($close, 30)/$close"
alpha158_ROC60,alpha158_ROC60,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Ref($close, 60)/$close"
alpha158_MA5,alpha158_MA5,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Mean($close, 5)/$close"
alpha158_MA10,alpha158_MA10,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Mean($close, 10)/$close"
