batch_id,status,returncode,factor_count,factors,config_path,output_dir,started_at,ended_at,elapsed_seconds
batch_001,skipped_existing,,10,"alpha158_MA20,alpha158_MA30,alpha158_MA60,alpha158_STD5,alpha158_STD10,alpha158_STD20,alpha158_STD30,alpha158_STD60,alpha158_BETA5,alpha158_BETA10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_001.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_001,2026-06-24T16:39:22,2026-06-24T16:39:22,0.001
batch_002,pass,0.0,10,"alpha158_BETA20,alpha158_BETA30,alpha158_BETA60,alpha158_RSQR5,alpha158_RSQR10,alpha158_RSQR20,alpha158_RSQR30,alpha158_RSQR60,alpha158_RESI5,alpha158_RESI10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_002.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_002,2026-06-24T16:39:22,2026-06-24T16:54:43,920.534
batch_003,pass,0.0,10,"alpha158_RESI20,alpha158_RESI30,alpha158_RESI60,alpha158_MAX5,alpha158_MAX10,alpha158_MAX20,alpha158_MAX30,alpha158_MAX60,alpha158_MIN5,alpha158_MIN10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_003.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_003,2026-06-24T16:54:43,2026-06-24T17:09:47,903.979
batch_004,pass,0.0,10,"alpha158_MIN20,alpha158_MIN30,alpha158_MIN60,alpha158_QTLU5,alpha158_QTLU10,alpha158_QTLU20,alpha158_QTLU30,alpha158_QTLU60,alpha158_QTLD5,alpha158_QTLD10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_004.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_004,2026-06-24T17:09:47,2026-06-24T17:23:57,850.07
batch_005,pass,0.0,10,"alpha158_QTLD20,alpha158_QTLD30,alpha158_QTLD60,alpha158_RANK5,alpha158_RANK10,alpha158_RANK20,alpha158_RANK30,alpha158_RANK60,alpha158_RSV5,alpha158_RSV10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_005.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_005,2026-06-24T17:23:57,2026-06-24T17:40:21,984.471
batch_006,pass,0.0,10,"alpha158_RSV20,alpha158_RSV30,alpha158_RSV60,alpha158_IMAX5,alpha158_IMAX10,alpha158_IMAX20,alpha158_IMAX30,alpha158_IMAX60,alpha158_IMIN5,alpha158_IMIN10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_006.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_006,2026-06-24T17:40:21,2026-06-24T17:56:04,942.84
batch_007,pass,0.0,10,"alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_IMXD5,alpha158_IMXD10,alpha158_IMXD20,alpha158_IMXD30,alpha158_IMXD60,alpha158_CORR5,alpha158_CORR10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_007.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_007,2026-06-24T17:56:04,2026-06-24T18:11:15,910.271
batch_008,pass,0.0,10,"alpha158_CORR20,alpha158_CORR30,alpha158_CORR60,alpha158_CORD5,alpha158_CORD10,alpha158_CORD20,alpha158_CORD30,alpha158_CORD60,alpha158_CNTP5,alpha158_CNTP10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_008.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_008,2026-06-24T18:11:15,2026-06-24T18:25:37,862.297
batch_009,pass,0.0,10,"alpha158_CNTP20,alpha158_CNTP30,alpha158_CNTP60,alpha158_CNTN5,alpha158_CNTN10,alpha158_CNTN20,alpha158_CNTN30,alpha158_CNTN60,alpha158_CNTD5,alpha158_CNTD10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_009.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_009,2026-06-24T18:25:37,2026-06-24T18:39:24,826.885
batch_010,pass,0.0,10,"alpha158_CNTD20,alpha158_CNTD30,alpha158_CNTD60,alpha158_SUMP5,alpha158_SUMP10,alpha158_SUMP20,alpha158_SUMP30,alpha158_SUMP60,alpha158_SUMN5,alpha158_SUMN10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\generated_configs\batch_010.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_010,2026-06-24T18:39:24,2026-06-24T18:53:26,842.143
