batch_id,status,factor_count,factors,evaluator_status_rows,failure_rows,metric_rows,context_metric_rows,output_dir
batch_001,skipped_existing,5,"alpha360_CLOSE59,alpha360_CLOSE58,alpha360_CLOSE57,alpha360_CLOSE56,alpha360_CLOSE55",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_001
batch_002,skipped_existing,5,"alpha360_CLOSE54,alpha360_CLOSE53,alpha360_CLOSE52,alpha360_CLOSE51,alpha360_CLOSE50",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_002
batch_003,skipped_existing,5,"alpha360_CLOSE49,alpha360_CLOSE48,alpha360_CLOSE47,alpha360_CLOSE46,alpha360_CLOSE45",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_003
batch_004,skipped_existing,5,"alpha360_CLOSE44,alpha360_CLOSE43,alpha360_CLOSE42,alpha360_CLOSE41,alpha360_CLOSE40",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_004
batch_005,skipped_existing,5,"alpha360_CLOSE39,alpha360_CLOSE38,alpha360_CLOSE37,alpha360_CLOSE36,alpha360_CLOSE35",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_005
batch_006,skipped_existing,5,"alpha360_CLOSE34,alpha360_CLOSE33,alpha360_CLOSE32,alpha360_CLOSE31,alpha360_CLOSE30",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_006
batch_007,skipped_existing,5,"alpha360_CLOSE29,alpha360_CLOSE28,alpha360_CLOSE27,alpha360_CLOSE26,alpha360_CLOSE25",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_007
batch_008,skipped_existing,5,"alpha360_CLOSE24,alpha360_CLOSE23,alpha360_CLOSE22,alpha360_CLOSE21,alpha360_CLOSE20",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_008
batch_009,skipped_existing,5,"alpha360_CLOSE19,alpha360_CLOSE18,alpha360_CLOSE17,alpha360_CLOSE16,alpha360_CLOSE15",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_009
batch_010,skipped_existing,5,"alpha360_CLOSE14,alpha360_CLOSE13,alpha360_CLOSE12,alpha360_CLOSE11,alpha360_CLOSE10",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_010
batch_011,skipped_existing,5,"alpha360_CLOSE9,alpha360_CLOSE8,alpha360_CLOSE7,alpha360_CLOSE6,alpha360_CLOSE5",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_011
batch_012,skipped_existing,5,"alpha360_CLOSE4,alpha360_CLOSE3,alpha360_CLOSE2,alpha360_CLOSE1,alpha360_OPEN59",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_012
batch_013,skipped_existing,5,"alpha360_OPEN58,alpha360_OPEN57,alpha360_OPEN56,alpha360_OPEN55,alpha360_OPEN54",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_013
batch_014,skipped_existing,5,"alpha360_OPEN53,alpha360_OPEN52,alpha360_OPEN51,alpha360_OPEN50,alpha360_OPEN49",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_014
batch_015,skipped_existing,5,"alpha360_OPEN48,alpha360_OPEN47,alpha360_OPEN46,alpha360_OPEN45,alpha360_OPEN44",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_015
batch_016,skipped_existing,5,"alpha360_OPEN43,alpha360_OPEN42,alpha360_OPEN41,alpha360_OPEN40,alpha360_OPEN39",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_016
batch_017,skipped_existing,5,"alpha360_OPEN38,alpha360_OPEN37,alpha360_OPEN36,alpha360_OPEN35,alpha360_OPEN34",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_017
batch_018,skipped_existing,5,"alpha360_OPEN33,alpha360_OPEN32,alpha360_OPEN31,alpha360_OPEN30,alpha360_OPEN29",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_018
batch_019,skipped_existing,5,"alpha360_OPEN28,alpha360_OPEN27,alpha360_OPEN26,alpha360_OPEN25,alpha360_OPEN24",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_019
batch_020,skipped_existing,5,"alpha360_OPEN23,alpha360_OPEN22,alpha360_OPEN21,alpha360_OPEN20,alpha360_OPEN19",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_020
