name,registry_name,category,stage,enabled,runnable,expected_direction,source_project,source_file,source_function,source_commit,license,compute_adapter,required_fields,labels,notes
ret_5,ret_5,momentum,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",5-day return diagnostic.
ret_10,ret_10,momentum,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",10-day return diagnostic.
ret_20,ret_20,momentum,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",20-day return diagnostic.
rev_5,rev_5,reversal,current_v4_seed,True,True,positive,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",Existing V4 seed factor; short-term reversal.
rev_20_exclude_5,rev_20_exclude_5,reversal,current_v4_seed,True,True,positive,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",Existing V4 seed factor; medium reversal excluding latest 5 days.
std_20,std_20,risk,current_v4_seed,True,True,negative,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",Existing V4 seed factor; 20-day return volatility.
downside_std_20,downside_std_20,risk,current_v4_seed,True,True,negative,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",Existing V4 seed factor; downside volatility.
max_drawdown_20,max_drawdown_20,risk,project_basic_available,True,True,negative,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$close,"label_10d_t1,label_20d_t1",20-day rolling maximum drawdown.
amplitude_20,amplitude_20,risk,project_basic_available,True,True,negative,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,"$high,$low,$close","label_10d_t1,label_20d_t1",20-day average intraday range.
amount_mean_20,amount_mean_20,liquidity,current_v4_seed,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$amount,"label_10d_t1,label_20d_t1",Existing V4 seed factor; liquidity exposure diagnostic.
amount_std_20,amount_std_20,liquidity,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$amount,"label_10d_t1,label_20d_t1",20-day trading amount volatility.
amount_cv_20,amount_cv_20,liquidity,project_basic_available,True,True,negative,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$amount,"label_10d_t1,label_20d_t1",20-day coefficient of variation of trading amount.
volume_ratio_5_20,volume_ratio_5_20,liquidity,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,$volume,"label_10d_t1,label_20d_t1",5-day volume average divided by 20-day average.
corr_ret_volume_20,corr_ret_volume_20,price_volume,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,"$close,$volume","label_10d_t1,label_20d_t1",20-day rolling correlation between return and volume.
corr_ret_amount_20,corr_ret_amount_20,price_volume,project_basic_available,True,True,watch,qlib_baseline_basic,factor_research/factor_library.py,add_basic_factors,local,project,factor_research.factor_library.add_basic_factors,"$close,$amount","label_10d_t1,label_20d_t1",20-day rolling correlation between return and trading amount.
