batch_id,status,returncode,factor_count,factors,config_path,output_dir,started_at,ended_at,elapsed_seconds
batch_001,planned,,5,"ta_momentum_ao,ta_momentum_kama,ta_momentum_ppo,ta_momentum_ppo_hist,ta_momentum_ppo_signal",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_001.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_001,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_002,planned,,5,"ta_momentum_pvo,ta_momentum_pvo_hist,ta_momentum_pvo_signal,ta_momentum_stoch,ta_momentum_stoch_rsi",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_002.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_002,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_003,planned,,5,"ta_momentum_stoch_rsi_d,ta_momentum_stoch_rsi_k,ta_momentum_stoch_signal,ta_momentum_tsi,ta_momentum_uo",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_003.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_003,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_004,planned,,5,"ta_momentum_wr,ta_trend_adx,ta_trend_adx_neg,ta_trend_adx_pos,ta_trend_aroon_down",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_004.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_004,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_005,planned,,5,"ta_trend_aroon_ind,ta_trend_aroon_up,ta_trend_cci,ta_trend_dpo,ta_trend_ema_fast",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_005.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_005,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_006,planned,,5,"ta_trend_ema_slow,ta_trend_ichimoku_a,ta_trend_ichimoku_b,ta_trend_ichimoku_base,ta_trend_ichimoku_conv",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_006.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_006,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_007,planned,,5,"ta_trend_kst,ta_trend_kst_diff,ta_trend_kst_sig,ta_trend_macd,ta_trend_macd_signal",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_007.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_007,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_008,planned,,5,"ta_trend_mass_index,ta_trend_psar_down,ta_trend_psar_down_indicator,ta_trend_psar_up,ta_trend_psar_up_indicator",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_008.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_008,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_009,planned,,5,"ta_trend_sma_fast,ta_trend_sma_slow,ta_trend_stc,ta_trend_trix,ta_trend_vortex_ind_diff",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_009.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_009,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
batch_010,planned,,5,"ta_trend_vortex_ind_neg,ta_trend_vortex_ind_pos,ta_volatility_atr,ta_volatility_bbh,ta_volatility_bbhi",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\generated_configs\batch_010.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_smoke\runs\batch_010,2026-06-26T16:14:27,2026-06-26T16:14:27,0.0
