system,factor,metric,horizon,value,source_file
alphalens_reloaded,kunquant_alpha101_alpha004,factor_alpha_beta:Ann. alpha,10D,-0.0128607278592255,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha004,factor_alpha_beta:Ann. alpha,20D,-0.0337914823873264,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha004,factor_alpha_beta:beta,10D,0.0666441918889236,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha004,factor_alpha_beta:beta,20D,0.1092088999309863,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha004,mean_information_coefficient,10D,0.0165571322290439,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004/mean_information_coefficient.csv
alphalens_reloaded,kunquant_alpha101_alpha004,mean_information_coefficient,20D,0.0087786273775058,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004/mean_information_coefficient.csv
alphalens_reloaded,kunquant_alpha101_alpha009,factor_alpha_beta:Ann. alpha,10D,0.0001009412185795,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha009,factor_alpha_beta:Ann. alpha,20D,-0.0186797629685642,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha009,factor_alpha_beta:beta,10D,0.3500721076916337,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha009,factor_alpha_beta:beta,20D,0.1966128335280971,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha009,mean_information_coefficient,10D,0.0125667038715999,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009/mean_information_coefficient.csv
alphalens_reloaded,kunquant_alpha101_alpha009,mean_information_coefficient,20D,0.0042203173965977,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009/mean_information_coefficient.csv
alphalens_reloaded,kunquant_alpha101_alpha012,factor_alpha_beta:Ann. alpha,10D,0.0006994546282497,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha012,factor_alpha_beta:Ann. alpha,20D,0.0677873098307253,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha012,factor_alpha_beta:beta,10D,0.0884014567740755,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha012,factor_alpha_beta:beta,20D,-0.0345076127907561,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012/factor_alpha_beta.csv
alphalens_reloaded,kunquant_alpha101_alpha012,mean_information_coefficient,10D,0.0233739978588344,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012/mean_information_coefficient.csv
alphalens_reloaded,kunquant_alpha101_alpha012,mean_information_coefficient,20D,0.0265788685572101,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012/mean_information_coefficient.csv
alphalens_reloaded,kunquant_alpha101_alpha033,factor_alpha_beta:Ann. alpha,10D,0.0025559486088304,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha033/factor_alpha_beta.csv
