factor,valid_rows,total_rows,coverage
alpha158_KMID,824291,824291,1.0
alpha158_KLEN,824291,824291,1.0
alpha158_KMID2,824291,824291,1.0
alpha158_KUP,824291,824291,1.0
alpha158_KUP2,824291,824291,1.0
alpha158_KLOW,824291,824291,1.0
alpha158_KLOW2,824291,824291,1.0
alpha158_KSFT,824291,824291,1.0
alpha158_KSFT2,824291,824291,1.0
alpha158_OPEN0,824291,824291,1.0
alpha158_HIGH0,824291,824291,1.0
alpha158_LOW0,824291,824291,1.0
alpha158_VWAP0,824291,824291,1.0
alpha158_ROC5,823397,824291,0.9989154315648235
alpha158_ROC10,822935,824291,0.9983549498902693
alpha158_ROC20,822913,824291,0.9983282602867192
alpha158_ROC30,822893,824291,0.9983039970107644
alpha158_ROC60,822776,824291,0.9981620568464292
alpha158_MA5,824291,824291,1.0
alpha158_MA10,824291,824291,1.0
