system,factor,return_mode,group_dimension,metric,group,quantile,horizon,value,source_file
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi1000,,10D,0.0232899364446995,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi1000,,20D,0.0171069709108365,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi300,,10D,0.0396080692969566,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi300,,20D,0.0659711573992955,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi500,,10D,0.0285388631172098,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi500,,20D,0.0263865943160411,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,outside_major_indices,,10D,0.089437754438664,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,outside_major_indices,,20D,0.086710618364608,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,1,10D,-0.0026735794141557,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,1,20D,0.0074379967368792,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,2,10D,-0.0007519821562154,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,2,20D,-0.002680234901151,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,3,10D,-0.0043617172427679,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,3,20D,0.0008937073721587,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,4,10D,-0.0074759545515819,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,4,20D,-0.005299758923739,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,5,10D,0.0036990002377541,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,5,20D,0.0040626868964958,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha360_CLOSE20,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi300,1,10D,-0.0041620978145341,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/context/alphalens_reloaded/alpha360_CLOSE20/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
