factor,category,evaluation_gate,judgement_label,signal_label,signal_reason,issue_tags,consensus_direction,direction_agreement_count,direction_observation_count,direction_agreement_ratio,primary_rank_ic,primary_abs_rank_ic,max_abs_rank_ic,max_abs_rank_icir,max_rank_ic_win_rate,coverage,missing_rate,alphalens_status,jqfactor_status,qlib_status,context_failed_count,unstable_context,context_reason,high_turnover,turnover_top1_max,turnover_top5_max,low_monotonicity,max_abs_monotonicity,strongest_corr_factor,strongest_abs_corr,cluster_id,cluster_representative,is_cluster_representative,is_redundant,holdout_reason,failure_steps,judgement_policy
alpha158_IMIN20,alpha158_rolling_price,strict_screening_input,consistent_signal,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,,positive,6,6,1.0,0.040907714240501,0.040907714240501,0.040907714240501,0.3613835822362033,0.6253443526170799,0.9984873991495518,0.0015126008504482,pass,partial_pass,pass,0,False,,False,0.3892404938571182,0.7757827226863797,False,0.7,alpha158_IMXD20,0.7404197078386383,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLD10,alpha158_rolling_price,strict_screening_input,consistent_signal,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,low_monotonicity,positive,6,6,1.0,0.0388712097590184,0.0388712097590184,0.0394298039574947,0.2956392321310163,0.5977961432506887,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.4403634996809292,0.7498154569381476,True,0.3,alpha158_MA10,0.9228425031576176,C008,alpha158_QTLD10,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_ROC10,alpha158_rolling_price,strict_screening_input,consistent_signal,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,low_monotonicity,positive,6,6,1.0,0.0344878089226552,0.0344878089226552,0.0344878089226552,0.2584928726654998,0.581267217630854,0.9945500230693451,0.0054499769306547,pass,partial_pass,pass,0,False,,False,0.3002553927306849,0.5985656150060437,True,0.0,alpha158_SUMD10,0.9294973457107396,C014,alpha158_ROC10,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMN60,alpha158_volume_liquidity,strict_screening_input,consistent_signal,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,low_monotonicity,positive,6,6,1.0,0.0356475728978874,0.0356475728978874,0.0356475728978874,0.294496297534606,0.6088154269972452,0.9988047585200704,0.0011952414799296,pass,partial_pass,pass,0,False,,False,0.4111595423632877,0.5816790662267295,True,0.3,alpha158_VSUMP60,0.9999999995467956,C023,alpha158_VSUMN60,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KUP,alpha158_kbar,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.0491121460458715,0.0491121460458715,0.0491606645740557,0.4642342572921892,0.3333333333333333,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.7039500995868183,0.7508528733352504,False,0.7,alpha158_KUP2,0.8393303753151979,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_HIGH0,alpha158_price_volume_lag,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.0490529414916155,0.0490529414916155,0.0491114273561935,0.3716492989035728,0.3650137741046832,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.6963812812075184,0.7428869564391734,False,0.7,alpha158_KSFT2,0.7274134205198651,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_LOW0,alpha158_price_volume_lag,strict_screening_input,high_turnover,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,high_turnover,positive,6,6,1.0,0.0484807154787335,0.0484807154787335,0.0484807154787335,0.4061601986730461,0.6542699724517906,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.7623012002882465,0.7655342408873993,False,0.7,alpha158_KSFT2,0.751989868923294,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KLOW,alpha158_kbar,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.0453967125670826,0.0453967125670826,0.0453967125670826,0.4760414766617244,0.3526170798898072,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.737247399330517,0.7580945567375096,False,0.7,alpha158_KLOW2,0.7994731412817531,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_IMAX20,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.0293237654185211,0.0293237654185211,0.0293237654185211,0.2603490443851401,0.4641873278236915,0.9984873991495518,0.0015126008504482,pass,partial_pass,pass,0,False,,True,0.4676640866955383,0.8018726772269971,False,0.8999999999999998,alpha158_IMXD20,0.8625178842906437,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CORR5,alpha158_price_volume_correlation,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.0265225194111782,0.0265225194111782,0.0265225194111782,0.2856845618469595,0.3980716253443526,0.9970196899978802,0.0029803100021198,pass,partial_pass,pass,0,False,,True,0.4827202201477328,0.8157698697185448,False,0.7,alpha158_CORD5,0.6406747982590859,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_IMIN10,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,positive,6,6,1.0,0.0218076556520941,0.0218076556520941,0.0218076556520941,0.1967713699433772,0.5550964187327824,0.9980883618270922,0.0019116381729078,pass,partial_pass,pass,0,False,,True,0.6642196369705671,0.8619413849124171,False,0.7,alpha158_IMXD10,0.7681762429898708,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_ROC5,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,"high_turnover,low_monotonicity",positive,6,6,1.0,0.0197514016838001,0.0197514016838001,0.0260735130805594,0.1892115579404341,0.5509641873278237,0.9951392266157896,0.0048607733842105,pass,partial_pass,pass,0,False,,True,0.3919403158435791,0.8040732514319787,True,0.1999999999999999,alpha158_MA10,0.8957187726010323,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_WVMA5,alpha158_volume_liquidity,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,positive,6,6,1.0,0.017827978947084,0.017827978947084,0.017827978947084,0.3329235324125401,0.6267217630853994,0.9968781564475704,0.0031218435524297,pass,partial_pass,pass,0,False,,True,0.4737758928706852,0.839329078295039,False,0.8999999999999998,alpha158_WVMA10,0.5375608500973502,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CORD5,alpha158_price_volume_correlation,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,"high_turnover,low_monotonicity",negative,6,6,1.0,-0.0163893577143234,0.0163893577143234,0.0163893577143234,0.1689049789148589,0.4352617079889807,0.9968563340939982,0.0031436659060017,pass,partial_pass,pass,0,False,,True,0.4073145247209065,0.8149120981611098,True,0.4999999999999999,alpha158_CORD10,0.6506909208687136,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_BETA5,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,"high_turnover,low_monotonicity",negative,6,6,1.0,-0.0163578258043416,0.0163578258043416,0.0208572381758902,0.1494632016018245,0.4696969696969697,0.9962209918571446,0.0037790081428553,pass,partial_pass,pass,0,False,,True,0.396658013307001,0.8284363606138878,True,0.0999999999999999,alpha158_MA5,0.8735051339476354,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RANK10,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.0132737682035178,0.0132737682035178,0.0172123897718197,0.1251668741984723,0.4765840220385675,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.7058045982012483,0.8725635310749357,False,0.8999999999999998,alpha158_RSV10,0.8746796968077847,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_IMIN5,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,positive,6,6,1.0,0.0111499192840099,0.0111499192840099,0.0170745928667689,0.1530281167080742,0.5550964187327824,0.9974636190191164,0.0025363809808836,pass,partial_pass,pass,0,False,,True,0.8061716692958213,0.864256480954725,False,1.0,alpha158_IMXD5,0.7880956390571129,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RSQR10,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,positive,6,6,1.0,0.0107455732802493,0.0107455732802493,0.0109823857746274,0.130315790706726,0.5730027548209367,0.9978639033332086,0.0021360966667913,pass,partial_pass,pass,0,False,,True,0.3411414393783275,0.8172925961818511,False,1.0,alpha158_STD10,0.4171177827461814,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RSQR5,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,positive,6,6,1.0,0.0106279182841636,0.0106279182841636,0.0114689589229113,0.1393607519017523,0.5564738292011019,0.9970196899978802,0.0029803100021198,pass,partial_pass,pass,0,False,,True,0.5678565292754904,0.8340320881702755,False,1.0,alpha158_STD5,0.3485494334465605,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_IMAX10,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context",negative,6,6,1.0,-0.0104850732072203,0.0104850732072203,0.0119680186818772,0.1056775667012562,0.4765840220385675,0.9980883618270922,0.0019116381729078,pass,partial_pass,pass,0,True,10d_max_group_flips,True,0.6909821659405596,0.8905676494154455,False,1.0,alpha158_IMXD10,0.8529805299790147,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KUP2,alpha158_kbar,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,negative,6,6,1.0,-0.0087848624647332,0.0087848624647332,0.0113183122571349,0.1234500056527413,0.4710743801652892,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.8230917604065863,0.8277345638707642,False,0.7,alpha158_KUP,0.8393303753151979,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VMA5,alpha158_volume_liquidity,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,negative,6,6,1.0,-0.0086758420228074,0.0086758420228074,0.0086758420228074,0.0974661570733341,0.4807162534435262,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.588333059723187,0.8343047717874309,False,1.0,alpha158_VMA10,0.8360741599569107,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_IMXD5,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context",negative,6,6,1.0,-0.0077964705147146,0.0077964705147146,0.0141934778524527,0.1153727926882922,0.477961432506887,0.9974636190191164,0.0025363809808836,pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.7184104728685514,0.90563818920852,False,0.7999999999999999,alpha158_IMAX5,0.848007078761328,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RESI20,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,low_monotonicity",negative,3,6,0.5,0.0073180759512819,0.0073180759512819,0.0103340776266444,0.0797969444355651,0.5371900826446281,0.9963737483321486,0.0036262516678513,pass,partial_pass,pass,0,True,"20d_mean_flips,20d_max_group_flips",True,0.4275497645936469,0.8027856971196046,True,0.3999999999999999,alpha158_MA5,0.755762330049011,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RSV5,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context",negative,6,6,1.0,-0.0050877449632075,0.0050877449632075,0.0086468537626409,0.0632119267021524,0.4972451790633609,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.586458396628145,0.8456472391147349,False,0.8999999999999998,alpha158_MA5,0.8456426686244672,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KSFT2,alpha158_kbar,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,negative,6,6,1.0,-0.003554002522848,0.003554002522848,0.0035988353633859,0.0306733119925907,0.5082644628099173,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.8244531502361592,0.8306850418487851,False,0.7,alpha158_KSFT,0.8848435857701872,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSTD5,alpha158_volume_liquidity,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,negative,6,6,1.0,-0.0029693251969277,0.0029693251969277,0.0069931306199853,0.1000171598422412,0.4710743801652892,0.9962209918571446,0.0037790081428553,pass,partial_pass,pass,0,False,,True,0.4717739508463738,0.8337824564717704,False,0.7,alpha158_VSTD10,0.567561714816417,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KLOW2,alpha158_kbar,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,negative,3,6,0.5,-0.0028891252644086,0.0028891252644086,0.0028891252644086,0.0358207270315449,0.512396694214876,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.8147370953757022,0.8153600770544867,False,0.8999999999999998,alpha158_KLOW,0.7994731412817531,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RESI10,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,low_monotonicity",positive,3,6,0.5,0.0020041198924955,0.0020041198924955,0.0021077026371235,0.0163970549978171,0.5289256198347108,0.9962945643634732,0.0037054356365269,pass,partial_pass,pass,0,False,,True,0.5722021961344527,0.9138325163497568,True,0.3,alpha158_MA5,0.7378873998872205,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RESI5,alpha158_rolling_price,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,low_monotonicity",positive,6,6,1.0,0.0016228438133455,0.0016228438133455,0.0016966018061486,0.0132070038178765,0.5151515151515151,0.9962209918571446,0.0037790081428553,pass,partial_pass,pass,0,False,,True,0.7630961511684246,0.9001864911155134,True,0.0999999999999999,alpha158_OPEN0,0.705634947743593,,,False,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTP10,alpha158_price_momentum_balance,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,high_turnover,negative,6,6,1.0,-0.019672773575815,0.019672773575815,0.019672773575815,0.1751884478582455,0.4476584022038568,1.0,0.0,pass,partial_pass,pass,0,False,,True,0.5209765036967166,0.910714893983532,False,0.7999999999999999,alpha158_CNTD10,0.9584039052729112,C001,alpha158_CNTP10,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTP5,alpha158_price_momentum_balance,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,"high_turnover,low_monotonicity",negative,6,6,1.0,-0.0129587381920194,0.0129587381920194,0.0170757166904787,0.1528850176945301,0.4545454545454545,1.0,0.0,pass,partial_pass,pass,0,False,,True,0.9539961712600534,0.9582011695554784,True,0.0,alpha158_CNTD5,0.963853795273738,C004,alpha158_CNTP5,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KMID2,alpha158_kbar,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,negative,6,6,1.0,-0.0054823185961787,0.0054823185961787,0.0086346745292074,0.0667554766662161,0.4848484848484848,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.8376651193189116,0.8403824321628734,False,1.0,alpha158_KMID,0.9225947225977102,C006,alpha158_KMID2,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VWAP0,alpha158_price_volume_lag,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,low_monotonicity",positive,6,6,1.0,0.0023908008968443,0.0023908008968443,0.0023908008968443,0.0195818362566596,0.5110192837465565,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",True,0.7911583125626933,0.8022546551069775,True,0.3,alpha158_KSFT,0.909742399475929,C007,alpha158_VWAP0,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLD5,alpha158_rolling_price,strict_screening_input,high_turnover,review,mixed_or_marginal_signal,"high_turnover,low_monotonicity",positive,6,6,1.0,0.027451003732406,0.027451003732406,0.0287830120782696,0.2122425565109528,0.5633608815426997,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.6221313177711458,0.8237638811026354,True,0.0999999999999999,alpha158_MA5,0.9301964394625364,C010,alpha158_QTLD5,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMP5,alpha158_price_momentum_balance,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context",negative,6,6,1.0,-0.0070814368073591,0.0070814368073591,0.0127469463937534,0.0934264942435494,0.4889807162534435,0.9972765702742136,0.0027234297257865,pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.446205805141675,0.8576635136342412,False,0.6,alpha158_SUMD5,0.9999477836015,C017,alpha158_SUMP5,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMD5,alpha158_volume_liquidity,strict_screening_input,high_turnover,weak_signal,rank_ic_below_weak_threshold,high_turnover,positive,3,6,0.5,0.005412056608409,0.005412056608409,0.005412056608409,0.0611534411190934,0.5179063360881543,0.9972765702742136,0.0027234297257865,pass,partial_pass,pass,0,False,,True,0.6457284640849125,0.944975258665484,False,0.6,alpha158_VSUMP5,0.9999999999553456,C022,alpha158_VSUMD5,True,False,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RANK5,alpha158_rolling_price,holdout,holdout,holdout,evaluation_holdout,"high_turnover,unstable_context",negative,6,6,1.0,-0.0060773014805827,0.0060773014805827,0.0101693276125096,0.0772328622972209,0.4917355371900826,0.9964080406020476,0.0035919593979524,partial_pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.8606999926169699,0.845360824742268,False,0.8999999999999998,alpha158_QTLU5,0.8558140055094767,,,False,False,alphalens=partial_pass,"factor_alpha_beta,factor_returns,quantile_turnover",ordered_rules_no_combined_score
alpha158_IMAX5,alpha158_rolling_price,holdout,holdout,holdout,evaluation_holdout,"high_turnover,unstable_context",negative,6,6,1.0,-0.0043280094621073,0.0043280094621073,0.0103771628450867,0.0932406255552374,0.4862258953168044,0.9974636190191164,0.0025363809808836,partial_pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.8253275109170306,,False,1.0,alpha158_IMXD5,0.848007078761328,,,False,False,alphalens=partial_pass,"factor_alpha_beta,factor_returns,quantile_turnover",ordered_rules_no_combined_score
alpha158_CNTN5,alpha158_price_momentum_balance,holdout,holdout,holdout,evaluation_holdout,"high_turnover,unstable_context",positive,6,6,1.0,0.0032148272717338,0.0032148272717338,0.0097172744690127,0.0839844607539272,0.5137741046831956,1.0,0.0,partial_pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",True,0.9425170583657672,0.9777512761505333,False,0.7,alpha158_CNTD5,0.9632725898121688,,,False,False,alphalens=partial_pass,"factor_alpha_beta,factor_returns,quantile_turnover",ordered_rules_no_combined_score
alpha158_CNTD10,alpha158_price_momentum_balance,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,redundant,negative,6,6,1.0,-0.01262505901309,0.01262505901309,0.013866227786469,0.1218269765883469,0.4765840220385675,1.0,0.0,pass,partial_pass,pass,0,False,,False,0.3946754894409716,0.7619769925782881,False,0.7,alpha158_CNTP10,0.9584039052729112,C001,alpha158_CNTP10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
