datetime,factor,quantile,mean_label,count
2017-01-10,ret_5,1,-0.009045884,376
2017-01-10,ret_5,2,-0.008704057,376
2017-01-10,ret_5,3,-0.009820844,376
2017-01-10,ret_5,4,-0.008900803,376
2017-01-10,ret_5,5,-0.009669154,376
2017-01-11,ret_5,1,-0.023003282,376
2017-01-11,ret_5,2,-0.016551685,375
2017-01-11,ret_5,3,-0.017159438,375
2017-01-11,ret_5,4,-0.01310145,375
2017-01-11,ret_5,5,-0.014904314,376
2017-01-12,ret_5,1,-0.049257096,374
2017-01-12,ret_5,2,-0.04270854,374
2017-01-12,ret_5,3,-0.03919234,374
2017-01-12,ret_5,4,-0.032270115,374
2017-01-12,ret_5,5,-0.031578694,374
2017-01-13,ret_5,1,0.018928349,374
2017-01-13,ret_5,2,0.012474308,374
2017-01-13,ret_5,3,0.010487163,374
2017-01-13,ret_5,4,0.006511744,374
2017-01-13,ret_5,5,0.00865572,374
2017-01-16,ret_5,1,-0.009191475,374
2017-01-16,ret_5,2,-0.00552358,374
2017-01-16,ret_5,3,-0.004163831,373
2017-01-16,ret_5,4,-0.0019777077,374
2017-01-16,ret_5,5,0.004033098,374
2017-01-17,ret_5,1,-0.003741104,374
2017-01-17,ret_5,2,-0.0034791112,373
2017-01-17,ret_5,3,-0.0031863202,374
2017-01-17,ret_5,4,-0.0026523708,373
2017-01-17,ret_5,5,-0.0072571733,374
2017-01-18,ret_5,1,0.02234338,375
2017-01-18,ret_5,2,0.019152857,374
2017-01-18,ret_5,3,0.015813932,374
2017-01-18,ret_5,4,0.013349257,374
2017-01-18,ret_5,5,0.010676798,375
2017-01-19,ret_5,1,0.012984711,374
2017-01-19,ret_5,2,0.012741064,374
2017-01-19,ret_5,3,0.0112557905,374
2017-01-19,ret_5,4,0.008557381,374
2017-01-19,ret_5,5,0.0052069193,374
2017-01-20,ret_5,1,-0.0048912754,374
2017-01-20,ret_5,2,-0.004566999,373
2017-01-20,ret_5,3,-0.0028382582,373
2017-01-20,ret_5,4,-0.0020898194,373
2017-01-20,ret_5,5,-0.0018653852,373
2017-01-23,ret_5,1,0.004135672,373
2017-01-23,ret_5,2,0.004177625,372
2017-01-23,ret_5,3,0.0034181825,372
2017-01-23,ret_5,4,0.004405464,372
2017-01-23,ret_5,5,0.0010119192,373
2017-01-24,ret_5,1,0.0068247886,373
2017-01-24,ret_5,2,0.007140965,373
2017-01-24,ret_5,3,0.006693077,373
2017-01-24,ret_5,4,0.00584047,373
2017-01-24,ret_5,5,0.0063977516,373
2017-01-25,ret_5,1,-9.279025e-05,374
2017-01-25,ret_5,2,-0.0030341865,374
2017-01-25,ret_5,3,-0.0039480184,373
2017-01-25,ret_5,4,-0.005021049,374
2017-01-25,ret_5,5,-0.00612944,374
2017-01-26,ret_5,1,0.011285184,373
2017-01-26,ret_5,2,0.010217427,373
2017-01-26,ret_5,3,0.011541857,373
2017-01-26,ret_5,4,0.011636377,373
2017-01-26,ret_5,5,0.011621503,373
2017-02-03,ret_5,1,0.0027407922,373
2017-02-03,ret_5,2,0.0006398317,373
2017-02-03,ret_5,3,-0.00020220564,373
2017-02-03,ret_5,4,-0.0012307876,373
2017-02-03,ret_5,5,0.00012344074,373
2017-02-06,ret_5,1,0.008841233,375
2017-02-06,ret_5,2,0.008120918,374
2017-02-06,ret_5,3,0.007143776,375
2017-02-06,ret_5,4,0.006904996,374
2017-02-06,ret_5,5,0.0071016853,375
2017-02-07,ret_5,1,0.010847199,375
2017-02-07,ret_5,2,0.009805131,374
2017-02-07,ret_5,3,0.008710467,375
2017-02-07,ret_5,4,0.009385001,374
2017-02-07,ret_5,5,0.0047914684,375
2017-02-08,ret_5,1,0.0012071191,376
2017-02-08,ret_5,2,-0.00019665512,375
2017-02-08,ret_5,3,0.0006734333,375
2017-02-08,ret_5,4,-0.0013201288,375
2017-02-08,ret_5,5,-0.0042267074,375
2017-02-09,ret_5,1,0.0077311816,375
2017-02-09,ret_5,2,0.0067090886,374
2017-02-09,ret_5,3,0.006831796,374
2017-02-09,ret_5,4,0.0071883425,374
2017-02-09,ret_5,5,0.005243422,375
2017-02-10,ret_5,1,-0.0007651418,375
2017-02-10,ret_5,2,-0.0010311453,374
2017-02-10,ret_5,3,-0.0014081948,374
2017-02-10,ret_5,4,-0.001118035,374
2017-02-10,ret_5,5,0.0024526364,374
2017-02-13,ret_5,1,-0.009413199,374
2017-02-13,ret_5,2,-0.0073559643,374
2017-02-13,ret_5,3,-0.008388615,374
2017-02-13,ret_5,4,-0.010308877,374
2017-02-13,ret_5,5,-0.015272645,374
2017-02-14,ret_5,1,0.0042073657,374
