factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amplitude_20,risk,negative,0.910210505063752,-0.026476716568022265,-0.16968154504627697,-0.0613580040181293,0.0613580040181293,-0.35734329647417107,1582431
std_20,risk,negative,0.9080109494614137,-0.029040484501828095,-0.19432142732078608,-0.0585607514244889,0.0585607514244889,-0.3527057956789912,1578607
ret_20,momentum,watch,0.9205416290631239,-0.03608520851387548,-0.2653262438005717,-0.04926970639898876,,-0.32999180086390084,1600392
amount_std_20,liquidity,watch,0.910210505063752,-0.014897283975224392,-0.16053857009068245,-0.045517720075531974,,-0.33583038383051494,1582431
ret_10,momentum,watch,0.9347858222996055,-0.02403022173440016,-0.18724796121733286,-0.033262794624255645,,-0.23361395751912728,1625156
ret_5,momentum,watch,0.9431181346572081,-0.018682476439049862,-0.1585122637321508,-0.02784345541696588,,-0.2132472870149326,1639642
rev_5,reversal,positive,0.9431181346572081,0.018682476439049862,0.1585122637321508,0.02784345541696588,0.02784345541696588,0.2132472870149326,1639642
amount_mean_20,liquidity,watch,0.910210505063752,-0.004045992734562666,-0.0429979736441029,-0.02733544637991429,,-0.19302619128579387,1582431
corr_ret_volume_20,price_volume,watch,0.9080109494614137,-0.010605836171096634,-0.13824440989410322,-0.023853320390327164,,-0.2622275148129051,1578607
volume_ratio_5_20,liquidity,watch,0.910210505063752,-0.023223661088025135,-0.2584689794840192,-0.01934795344449486,,-0.20025340348702111,1582431
