factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amplitude_20,risk,negative,0.9122847718627686,0.003570971090680169,0.019173160902036166,-0.028374778606797563,0.028374778606797563,-0.14670927647789378,397165
std_20,risk,negative,0.9095697274848858,0.0011923143622764132,0.00694141998921468,-0.027684436394410372,0.027684436394410372,-0.14933788336674414,395983
amount_std_20,liquidity,watch,0.9122847718627686,-0.006404351090234719,-0.040018662714985845,-0.027039239208712967,,-0.16555271259991064,397165
ret_20,momentum,watch,0.919469762399162,-0.0027540452036299424,-0.016393029513921385,-0.024962816127585857,,-0.15360758519454817,400293
rev_5,reversal,positive,0.9518642385931384,0.001331602971209985,0.008737787803329865,0.022071540388386345,0.022071540388386345,0.1463760215594626,414396
ret_5,momentum,watch,0.9518642385931384,-0.001331602971209985,-0.008737787803329865,-0.022071540388386345,,-0.1463760215594626,414396
ret_10,momentum,watch,0.9403999522225693,0.0010424601632020567,0.006420479993306667,-0.02112863002815446,,-0.13330427896852856,409405
amount_mean_20,liquidity,watch,0.9122847718627686,-0.0002525128591871933,-0.0015411321912567374,-0.017888269047567875,,-0.10479774335505875,397165
volume_ratio_5_20,liquidity,watch,0.9122847718627686,-0.007199100064500139,-0.06029563679642367,-0.017662648124022514,,-0.15529506845681737,397165
corr_ret_volume_20,price_volume,watch,0.9095697274848858,-0.0007992410841924138,-0.00831416004850733,-0.016933561837199806,,-0.16627138738278383,395983
