datetime,factor,quantile,mean_label,count
2017-01-10,ret_5,1,-0.0072408034,93
2017-01-10,ret_5,2,-0.009085971,92
2017-01-10,ret_5,3,-0.01034086,92
2017-01-10,ret_5,4,-0.0094662085,92
2017-01-10,ret_5,5,-0.011330292,93
2017-01-11,ret_5,1,-0.011559735,93
2017-01-11,ret_5,2,-0.015639199,92
2017-01-11,ret_5,3,-0.01567279,92
2017-01-11,ret_5,4,-0.012176291,92
2017-01-11,ret_5,5,-0.016542487,93
2017-01-12,ret_5,1,-0.03208241,93
2017-01-12,ret_5,2,-0.036535267,92
2017-01-12,ret_5,3,-0.029199027,93
2017-01-12,ret_5,4,-0.03135145,95
2017-01-12,ret_5,5,-0.027555805,90
2017-01-13,ret_5,1,0.011805671,93
2017-01-13,ret_5,2,0.009441488,92
2017-01-13,ret_5,3,0.008977312,93
2017-01-13,ret_5,4,0.009266364,92
2017-01-13,ret_5,5,0.007870739,93
2017-01-16,ret_5,1,-0.0068082856,93
2017-01-16,ret_5,2,-0.0043229656,92
2017-01-16,ret_5,3,-0.0006589883,93
2017-01-16,ret_5,4,0.0008478787,92
2017-01-16,ret_5,5,0.002327164,93
2017-01-17,ret_5,1,-0.005079615,93
2017-01-17,ret_5,2,-0.0016155476,92
2017-01-17,ret_5,3,-0.0024414794,92
2017-01-17,ret_5,4,-0.002808867,92
2017-01-17,ret_5,5,-0.006708497,93
2017-01-18,ret_5,1,0.020079087,93
2017-01-18,ret_5,2,0.014995755,92
2017-01-18,ret_5,3,0.01421686,92
2017-01-18,ret_5,4,0.011759172,92
2017-01-18,ret_5,5,0.011098507,93
2017-01-19,ret_5,1,0.010096274,93
2017-01-19,ret_5,2,0.010468042,92
2017-01-19,ret_5,3,0.008096998,92
2017-01-19,ret_5,4,0.008344062,92
2017-01-19,ret_5,5,0.0080750985,92
2017-01-20,ret_5,1,-0.0044052782,93
2017-01-20,ret_5,2,-0.0020326849,92
2017-01-20,ret_5,3,-0.004165764,92
2017-01-20,ret_5,4,0.000527735,92
2017-01-20,ret_5,5,0.0029684843,92
2017-01-23,ret_5,1,0.0035366218,93
2017-01-23,ret_5,2,0.0040317806,92
2017-01-23,ret_5,3,0.0013813117,92
2017-01-23,ret_5,4,0.0033394883,92
2017-01-23,ret_5,5,-0.0013965854,92
2017-01-24,ret_5,1,0.0092848055,93
2017-01-24,ret_5,2,0.006624603,92
2017-01-24,ret_5,3,0.005637272,92
2017-01-24,ret_5,4,0.0069655664,92
2017-01-24,ret_5,5,0.00763641,92
2017-01-25,ret_5,1,-0.00020790804,93
2017-01-25,ret_5,2,-0.0025156548,92
