window,sample,label,factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows,ic_dates
historical_reference_2010_2016,raw,label_10d_t1,amount_std_20,liquidity,watch,0.7836781239191406,-0.0294449126117081,-0.3740263386102093,-0.1161117460055847,,-0.855738210307065,2288442,
historical_reference_2010_2016,raw,label_10d_t1,amount_mean_20,liquidity,watch,0.7836781239191406,-0.0270983881014928,-0.3331679977838588,-0.105932124899471,,-0.7473280889706788,2288442,
historical_reference_2010_2016,raw,label_10d_t1,ret_20,momentum,watch,0.8689198768547975,-0.0428750980485577,-0.3094357248842961,-0.0576520794370404,,-0.366862489049936,2537359,
historical_reference_2010_2016,raw,label_10d_t1,amplitude_20,risk,negative,0.7836781239191406,-0.0190175771960644,-0.1113094377635165,-0.0486244019373454,0.0486244019373454,-0.2579972113495229,2288442,
historical_reference_2010_2016,raw,label_10d_t1,std_20,risk,negative,0.7777773592271577,-0.0176901707928247,-0.1094769694037681,-0.0445271235251814,0.0445271235251814,-0.246494916483229,2271211,
historical_reference_2010_2016,raw,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.7777773592271577,-0.0209532652696265,-0.2371601984302613,-0.0375647844233943,,-0.3795589980289676,2271211,
historical_reference_2010_2016,raw,label_10d_t1,ret_10,momentum,watch,0.8822925691664412,-0.017762857252126,-0.1305923554314841,-0.032657250434708,,-0.2181689764982825,2576409,
historical_reference_2010_2016,raw,label_10d_t1,ret_5,momentum,watch,0.8906250749110485,-0.010604108480615,-0.0795030521749393,-0.0313252762639734,,-0.2206070663070458,2600741,
historical_reference_2010_2016,raw,label_10d_t1,rev_5,reversal,positive,0.8906250749110485,0.010604108480615,0.0795030521749393,0.0313252762639734,0.0313252762639734,0.2206070663070458,2600741,
historical_reference_2010_2016,raw,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.7836781239191406,-0.0112374165506412,-0.1229315870780697,-0.0049760488886153,,-0.04755229662949,2288442,
historical_reference_2010_2016,raw,label_20d_t1,amount_std_20,liquidity,watch,0.7711040261906148,-0.0355059101956234,-0.428681296118521,-0.1414928990526819,,-0.958807193909988,2251724,
historical_reference_2010_2016,raw,label_20d_t1,amount_mean_20,liquidity,watch,0.7711040261906148,-0.0327778697798549,-0.3798752722206583,-0.1345370136435561,,-0.8641870783081931,2251724,
historical_reference_2010_2016,raw,label_20d_t1,ret_20,momentum,watch,0.855660878111591,-0.0594954544746492,-0.4214991131590013,-0.0726369006069094,,-0.4504365489713508,2498641,
historical_reference_2010_2016,raw,label_20d_t1,amplitude_20,risk,negative,0.7711040261906148,-0.030584715277275,-0.18081685215137,-0.0608826055632559,0.0608826055632559,-0.322193073990092,2251724,
historical_reference_2010_2016,raw,label_20d_t1,std_20,risk,negative,0.7652532592727036,-0.0274654388392092,-0.1677055407903461,-0.0549682817179582,0.0549682817179582,-0.2975032201367847,2234639,
historical_reference_2010_2016,raw,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.7652532592727036,-0.0287882538756032,-0.3185779794867902,-0.0441674035756178,,-0.4460774174572107,2234639,
historical_reference_2010_2016,raw,label_20d_t1,ret_10,momentum,watch,0.868846934896734,-0.0339613950230496,-0.2576131578296217,-0.0435882430245807,,-0.2932404951953321,2537146,
historical_reference_2010_2016,raw,label_20d_t1,ret_5,momentum,watch,0.877052391503118,-0.0192244675333972,-0.1535807588762891,-0.0322436864501584,,-0.2335558561406745,2561107,
historical_reference_2010_2016,raw,label_20d_t1,rev_5,reversal,positive,0.877052391503118,0.0192244675333972,0.1535807588762891,0.0322436864501584,0.0322436864501584,0.2335558561406745,2561107,
historical_reference_2010_2016,raw,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.7711040261906148,-0.0181875962634431,-0.1980026610456743,-0.0088939886463127,,-0.0835167772024964,2251724,
baseline_alignment_2017_2020,raw,label_10d_t1,amplitude_20,risk,negative,0.9021767202578266,-0.0385798775123057,-0.2630794331748851,-0.0730491700966212,0.0730491700966212,-0.4527423675852873,1568464,
baseline_alignment_2017_2020,raw,label_10d_t1,std_20,risk,negative,0.9000145524991473,-0.0406301397888171,-0.2888832412532911,-0.0692664241336619,0.0692664241336619,-0.4441840367473267,1564705,
baseline_alignment_2017_2020,raw,label_10d_t1,ret_20,momentum,watch,0.912412936654064,-0.0440498314227478,-0.3207546084488412,-0.0554919097293854,,-0.3697458979925193,1586260,
baseline_alignment_2017_2020,raw,label_10d_t1,amount_std_20,liquidity,watch,0.9021767202578266,-0.0194913351955305,-0.202157579835594,-0.0521987061264538,,-0.3695995458577173,1568464,
baseline_alignment_2017_2020,raw,label_10d_t1,ret_10,momentum,watch,0.9264949241688252,-0.0306900130608116,-0.245784049231946,-0.035873605812668,,-0.2599964266735985,1610742,
baseline_alignment_2017_2020,raw,label_10d_t1,amount_mean_20,liquidity,watch,0.9021767202578266,-0.0058422630859887,-0.0598498939057802,-0.0311215159212548,,-0.2085655283810395,1568464,
baseline_alignment_2017_2020,raw,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.9000145524991473,-0.0153532654047123,-0.1979214194393869,-0.0282452992499805,,-0.3115885354556963,1564705,
baseline_alignment_2017_2020,raw,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.9021767202578266,-0.0294431205832799,-0.3419833278160537,-0.0223721707275121,,-0.2329270685077644,1568464,
baseline_alignment_2017_2020,raw,label_10d_t1,ret_5,momentum,watch,0.934758788012652,-0.0196130269796831,-0.175833589612571,-0.0204481240722206,,-0.1635256769704044,1625109,
baseline_alignment_2017_2020,raw,label_10d_t1,rev_5,reversal,positive,0.934758788012652,0.0196130269796831,0.175833589612571,0.0204481240722206,0.0204481240722206,0.1635256769704044,1625109,
baseline_alignment_2017_2020,raw,label_20d_t1,amplitude_20,risk,negative,0.8884835663171191,-0.0487555817908935,-0.3609495843168854,-0.0812472356031128,0.0812472356031128,-0.5256960230225204,1544658,
baseline_alignment_2017_2020,raw,label_20d_t1,std_20,risk,negative,0.8863415304742561,-0.0495771765133537,-0.3778915256893396,-0.0756525478225401,0.0756525478225401,-0.4988095599527034,1540934,
baseline_alignment_2017_2020,raw,label_20d_t1,ret_20,momentum,watch,0.8984442630654695,-0.0438389162729606,-0.3345501363753602,-0.0558267724910838,,-0.3754761111661109,1561975,
baseline_alignment_2017_2020,raw,label_20d_t1,amount_std_20,liquidity,watch,0.8884835663171191,-0.0195555760431535,-0.2055706190736706,-0.0495997360314148,,-0.3373756893544206,1544658,
baseline_alignment_2017_2020,raw,label_20d_t1,ret_10,momentum,watch,0.912361744068131,-0.0406738391061899,-0.3243885559544086,-0.044585293664192,,-0.3150212931181729,1586171,
