window,sample,factor,category,expected_direction,mean_top_quantile_turnover,median_top_quantile_turnover,max_top_quantile_turnover,turnover_dates
main_research_2021_2023,tradable_only,amount_mean_20,liquidity,watch,0.04293016740742491,0.04017857142857143,0.22685185185185186,725
main_research_2021_2023,tradable_only,amount_std_20,liquidity,watch,0.06570592447244104,0.06222222222222222,0.22685185185185186,725
main_research_2021_2023,tradable_only,amplitude_20,risk,negative,0.11178767874159729,0.11061946902654868,0.29333333333333333,725
main_research_2021_2023,tradable_only,corr_ret_volume_20,price_volume,watch,0.23734135182639776,0.2311111111111111,0.5242290748898678,725
main_research_2021_2023,tradable_only,ret_10,momentum,watch,0.30262705280345653,0.3022222222222222,0.462882096069869,725
main_research_2021_2023,tradable_only,ret_20,momentum,watch,0.2358619440558731,0.23348017621145375,0.3930131004366812,725
main_research_2021_2023,tradable_only,ret_5,momentum,watch,0.3988167793151237,0.39565217391304347,0.5770925110132159,725
main_research_2021_2023,tradable_only,rev_5,reversal,positive,0.39167524890577293,0.388646288209607,0.6589861751152074,725
main_research_2021_2023,tradable_only,std_20,risk,negative,0.13185802897694363,0.12946428571428573,0.38425925925925924,725
main_research_2021_2023,tradable_only,volume_ratio_5_20,liquidity,watch,0.26545645612969376,0.2645739910313901,0.5,725
recent_oos_2024_2026,tradable_only,amount_mean_20,liquidity,watch,0.04609721441462827,0.041474654377880185,0.6029411764705882,585
recent_oos_2024_2026,tradable_only,amount_std_20,liquidity,watch,0.07101925271861707,0.06451612903225806,0.6176470588235294,585
recent_oos_2024_2026,tradable_only,amplitude_20,risk,negative,0.13682996149838536,0.1278538812785388,0.75,585
recent_oos_2024_2026,tradable_only,corr_ret_volume_20,price_volume,watch,0.24381844636062489,0.2318181818181818,0.8056872037914692,585
recent_oos_2024_2026,tradable_only,ret_10,momentum,watch,0.3067572463828425,0.29910714285714285,0.8203592814371258,585
recent_oos_2024_2026,tradable_only,ret_20,momentum,watch,0.2381137246197662,0.23255813953488372,0.8383233532934131,585
recent_oos_2024_2026,tradable_only,ret_5,momentum,watch,0.402799452334766,0.3972602739726027,0.8502994011976048,585
recent_oos_2024_2026,tradable_only,rev_5,reversal,positive,0.3985311687167647,0.3925233644859813,0.9121951219512195,585
recent_oos_2024_2026,tradable_only,std_20,risk,negative,0.1492686118203826,0.1382488479262673,0.7745098039215687,585
recent_oos_2024_2026,tradable_only,volume_ratio_5_20,liquidity,watch,0.2690692237181434,0.2648401826484018,0.6372549019607843,585
