window,sample,label,factor,category,expected_direction,quantile,mean_group_return,std_group_return,group_return_dates
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,1,-0.00657722076925705,0.05158185528486496,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,2,-0.005177597516001587,0.05111075448580186,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,3,-7.730327072276249e-05,0.05039682911455847,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,4,0.0038167926347940375,0.050365825184407825,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,5,0.00406544284764466,0.04823300271379898,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,1,0.009716848111964297,0.051138259372178335,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,2,0.004666075210895815,0.0513915058394985,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,3,-0.0004696141334411562,0.051051896721746336,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,4,-0.0050742584209087695,0.0508335850059839,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,5,-0.012804195972150845,0.054965063185770255,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,1,0.009716848111964297,0.051138259372178335,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,2,0.004666075210895815,0.0513915058394985,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,3,-0.0004696141334411562,0.051051896721746336,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,4,-0.0050742584209087695,0.0508335850059839,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,5,-0.012804195972150845,0.054965063185770255,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,1,0.004319620320594937,0.051988186908300454,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,2,0.0013590455074479018,0.05097854783588755,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,3,5.527539100557612e-05,0.05093564326552926,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,4,-0.0031976120411185967,0.050148515627305996,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,5,-0.0064979801484573736,0.05041926163297925,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,1,-0.001881137493795248,0.045228937221684314,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,2,-0.005344493265300657,0.05266506060512328,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,3,-0.0016730710246693054,0.05255622340350834,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,4,0.0021866312152560166,0.05147392395001265,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,5,0.0027493630658890333,0.050002190692891114,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,1,0.009716848111964297,0.051138259372178335,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,2,0.004666075210895815,0.0513915058394985,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,3,-0.0004696141334411562,0.051051896721746336,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,4,-0.0050742584209087695,0.0508335850059839,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,5,-0.012804195972150845,0.054965063185770255,726
