window,factor,neutralization,neutralized_factor,description,required_columns,non_null_rows
main_research_2021_2023,ret_20,raw,ret_20__raw,Original factor value after tradability/data-quality filtering.,,822913
main_research_2021_2023,ret_20,cs_rank,ret_20__cs_rank,"Daily cross-sectional rank normalization, Qlib CSRankNorm style.",,822913
main_research_2021_2023,ret_20,cs_zscore,ret_20__cs_zscore,Daily robust z-score after MAD winsorization.,,822913
main_research_2021_2023,ret_20,liquidity_bucket_zscore,ret_20__liquidity_bucket_zscore,Daily robust z-score inside each tradability liquidity bucket.,liquidity_bucket,822913
main_research_2021_2023,ret_20,volatility_bucket_zscore,ret_20__volatility_bucket_zscore,Daily robust z-score inside each amplitude_20 volatility bucket.,volatility_bucket,817730
main_research_2021_2023,ret_20,amount_proxy_residual,ret_20__amount_proxy_residual,Daily residual after controlling log(amount_mean_20).,log_amount_mean_20,817730
main_research_2021_2023,ret_20,liquidity_volatility_residual,ret_20__liquidity_volatility_residual,"Daily residual after controlling liquidity bucket, volatility bucket, and log amount proxy.","liquidity_bucket,volatility_bucket,log_amount_mean_20",817730
main_research_2021_2023,rev_5,raw,rev_5__raw,Original factor value after tradability/data-quality filtering.,,823397
main_research_2021_2023,rev_5,cs_rank,rev_5__cs_rank,"Daily cross-sectional rank normalization, Qlib CSRankNorm style.",,823397
main_research_2021_2023,rev_5,cs_zscore,rev_5__cs_zscore,Daily robust z-score after MAD winsorization.,,823397
main_research_2021_2023,rev_5,liquidity_bucket_zscore,rev_5__liquidity_bucket_zscore,Daily robust z-score inside each tradability liquidity bucket.,liquidity_bucket,823397
main_research_2021_2023,rev_5,volatility_bucket_zscore,rev_5__volatility_bucket_zscore,Daily robust z-score inside each amplitude_20 volatility bucket.,volatility_bucket,818035
main_research_2021_2023,rev_5,amount_proxy_residual,rev_5__amount_proxy_residual,Daily residual after controlling log(amount_mean_20).,log_amount_mean_20,818035
main_research_2021_2023,rev_5,liquidity_volatility_residual,rev_5__liquidity_volatility_residual,"Daily residual after controlling liquidity bucket, volatility bucket, and log amount proxy.","liquidity_bucket,volatility_bucket,log_amount_mean_20",818035
main_research_2021_2023,std_20,raw,std_20__raw,Original factor value after tradability/data-quality filtering.,,817730
main_research_2021_2023,std_20,cs_rank,std_20__cs_rank,"Daily cross-sectional rank normalization, Qlib CSRankNorm style.",,817730
main_research_2021_2023,std_20,cs_zscore,std_20__cs_zscore,Daily robust z-score after MAD winsorization.,,817730
main_research_2021_2023,std_20,liquidity_bucket_zscore,std_20__liquidity_bucket_zscore,Daily robust z-score inside each tradability liquidity bucket.,liquidity_bucket,817730
main_research_2021_2023,std_20,volatility_bucket_zscore,std_20__volatility_bucket_zscore,Daily robust z-score inside each amplitude_20 volatility bucket.,volatility_bucket,817730
