window,sample,label,factor,category,expected_direction,quantile,mean_group_return,std_group_return,group_return_dates
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,1,0.008115656230385501,0.05180484983701203,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,2,0.007496570513512404,0.052286622781368614,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,3,0.0073364526708933064,0.05284314601806393,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,4,0.006230986106321624,0.05196495763853718,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,5,0.00797166600111491,0.051906621413051524,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,1,0.012969026864840959,0.05172901497839441,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,2,0.009769738988653336,0.05276073143857178,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,3,0.006936235121171424,0.0529501713631024,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,4,0.005535978550670977,0.05203481933927192,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,5,0.0019427388930130754,0.05182446577001667,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amplitude_20__raw,risk,negative,1,0.006263628828524645,0.04479866594492032,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amplitude_20__raw,risk,negative,2,0.007518332096002098,0.051110104885835145,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amplitude_20__raw,risk,negative,3,0.007476801574423818,0.05459236052166409,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amplitude_20__raw,risk,negative,4,0.008924166142290135,0.05684914082706754,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,amplitude_20__raw,risk,negative,5,0.006992201982937898,0.0597969154966501,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,corr_ret_amount_20__raw,price_volume,watch,1,0.007985028089626698,0.05185178067383681,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,corr_ret_amount_20__raw,price_volume,watch,2,0.00921106765976515,0.05308752659562689,726
