factor,split_id,frozen_direction
alpha158_BETA30,split_001,-1
alpha158_CNTD30,split_001,-1
alpha158_CNTN30,split_001,1
alpha158_CNTP5,split_001,-1
alpha158_CORD30,split_001,-1
alpha158_CORR30,split_001,-1
alpha158_IMAX60,split_001,-1
alpha158_IMXD10,split_001,-1
alpha158_KLOW2,split_001,1
alpha158_KSFT2,split_001,-1
alpha158_MA10,split_001,1
alpha158_MAX20,split_001,-1
alpha158_MIN20,split_001,1
alpha158_OPEN0,split_001,1
alpha158_QTLD30,split_001,1
alpha158_QTLU5,split_001,1
alpha158_RANK60,split_001,-1
alpha158_ROC10,split_001,1
alpha158_RSQR10,split_001,1
alpha158_RSV20,split_001,-1
alpha158_STD30,split_001,-1
alpha158_SUMD30,split_001,-1
alpha158_SUMN30,split_001,1
alpha158_SUMP30,split_001,-1
alpha158_VMA30,split_001,1
alpha158_VSTD30,split_001,1
alpha158_VSUMD30,split_001,-1
alpha158_VSUMN30,split_001,1
alpha158_VSUMP30,split_001,-1
alpha158_WVMA30,split_001,-1
alpha360_CLOSE18,split_001,1
alpha360_CLOSE36,split_001,1
alpha360_CLOSE54,split_001,1
alpha360_HIGH18,split_001,1
alpha360_HIGH36,split_001,1
alpha360_HIGH54,split_001,1
alpha360_LOW18,split_001,1
alpha360_LOW36,split_001,1
alpha360_LOW54,split_001,1
alpha360_OPEN18,split_001,1
alpha360_OPEN36,split_001,1
alpha360_OPEN54,split_001,1
alpha360_VOLUME18,split_001,1
alpha360_VOLUME36,split_001,1
alpha360_VOLUME54,split_001,1
alpha360_VWAP18,split_001,1
alpha360_VWAP36,split_001,1
alpha360_VWAP54,split_001,1
amount_mean_20,split_001,-1
corr_ret_volume_20,split_001,-1
downside_std_20,split_001,-1
kunquant_alpha101_alpha005,split_001,1
kunquant_alpha101_alpha012,split_001,1
kunquant_alpha101_alpha020,split_001,-1
kunquant_alpha101_alpha029,split_001,1
kunquant_alpha101_alpha038,split_001,1
kunquant_alpha101_alpha046,split_001,1
kunquant_alpha101_alpha054,split_001,1
kunquant_alpha101_alpha071,split_001,-1
kunquant_alpha101_alpha083,split_001,1
kunquant_alpha101_alpha095,split_001,-1
ret_10,split_001,-1
ret_5,split_001,-1
rev_5,split_001,1
std_20,split_001,-1
ta_momentum_ppo_hist,split_001,-1
ta_momentum_rsi,split_001,-1
ta_momentum_tsi,split_001,-1
ta_trend_adx_pos,split_001,-1
ta_trend_ema_fast,split_001,-1
ta_trend_ichimoku_conv,split_001,-1
ta_trend_macd_diff,split_001,-1
ta_trend_psar_up_indicator,split_001,-1
ta_trend_vortex_ind_diff,split_001,-1
ta_volatility_bbl,split_001,-1
ta_volatility_dcm,split_001,-1
ta_volatility_kcli,split_001,1
ta_volume_em,split_001,-1
ta_volume_sma_em,split_001,-1
volume_ratio_5_20,split_001,-1
alpha158_BETA30,split_002,-1
alpha158_CNTD30,split_002,-1
alpha158_CNTN30,split_002,1
alpha158_CNTP5,split_002,-1
alpha158_CORD30,split_002,-1
alpha158_CORR30,split_002,-1
alpha158_IMAX60,split_002,-1
alpha158_IMXD10,split_002,-1
alpha158_KLOW2,split_002,1
alpha158_KSFT2,split_002,-1
alpha158_MA10,split_002,1
alpha158_MAX20,split_002,-1
alpha158_MIN20,split_002,1
alpha158_OPEN0,split_002,1
alpha158_QTLD30,split_002,1
alpha158_QTLU5,split_002,-1
alpha158_RANK60,split_002,-1
alpha158_ROC10,split_002,1
alpha158_RSQR10,split_002,1
alpha158_RSV20,split_002,-1
alpha158_STD30,split_002,-1
alpha158_SUMD30,split_002,-1
alpha158_SUMN30,split_002,1
alpha158_SUMP30,split_002,-1
alpha158_VMA30,split_002,1
alpha158_VSTD30,split_002,1
alpha158_VSUMD30,split_002,-1
alpha158_VSUMN30,split_002,1
alpha158_VSUMP30,split_002,-1
alpha158_WVMA30,split_002,-1
alpha360_CLOSE18,split_002,1
alpha360_CLOSE36,split_002,1
alpha360_CLOSE54,split_002,1
alpha360_HIGH18,split_002,1
alpha360_HIGH36,split_002,1
alpha360_HIGH54,split_002,1
alpha360_LOW18,split_002,1
alpha360_LOW36,split_002,1
alpha360_LOW54,split_002,1
alpha360_OPEN18,split_002,1
alpha360_OPEN36,split_002,1
alpha360_OPEN54,split_002,1
alpha360_VOLUME18,split_002,1
alpha360_VOLUME36,split_002,1
alpha360_VOLUME54,split_002,1
alpha360_VWAP18,split_002,1
alpha360_VWAP36,split_002,1
alpha360_VWAP54,split_002,1
amount_mean_20,split_002,-1
corr_ret_volume_20,split_002,-1
downside_std_20,split_002,-1
kunquant_alpha101_alpha005,split_002,1
kunquant_alpha101_alpha012,split_002,1
kunquant_alpha101_alpha020,split_002,-1
kunquant_alpha101_alpha029,split_002,1
kunquant_alpha101_alpha038,split_002,1
kunquant_alpha101_alpha046,split_002,1
kunquant_alpha101_alpha054,split_002,-1
kunquant_alpha101_alpha071,split_002,-1
kunquant_alpha101_alpha083,split_002,1
kunquant_alpha101_alpha095,split_002,-1
ret_10,split_002,-1
ret_5,split_002,-1
rev_5,split_002,1
std_20,split_002,-1
ta_momentum_ppo_hist,split_002,-1
ta_momentum_rsi,split_002,-1
ta_momentum_tsi,split_002,-1
ta_trend_adx_pos,split_002,-1
ta_trend_ema_fast,split_002,-1
ta_trend_ichimoku_conv,split_002,-1
ta_trend_macd_diff,split_002,-1
ta_trend_psar_up_indicator,split_002,-1
ta_trend_vortex_ind_diff,split_002,-1
ta_volatility_bbl,split_002,-1
ta_volatility_dcm,split_002,-1
ta_volatility_kcli,split_002,1
ta_volume_em,split_002,-1
ta_volume_sma_em,split_002,-1
volume_ratio_5_20,split_002,-1
alpha158_BETA30,split_003,-1
alpha158_CNTD30,split_003,-1
alpha158_CNTN30,split_003,1
alpha158_CNTP5,split_003,-1
alpha158_CORD30,split_003,-1
alpha158_CORR30,split_003,-1
alpha158_IMAX60,split_003,-1
alpha158_IMXD10,split_003,-1
alpha158_KLOW2,split_003,1
alpha158_KSFT2,split_003,-1
alpha158_MA10,split_003,1
alpha158_MAX20,split_003,-1
alpha158_MIN20,split_003,1
alpha158_OPEN0,split_003,1
alpha158_QTLD30,split_003,1
alpha158_QTLU5,split_003,1
alpha158_RANK60,split_003,-1
alpha158_ROC10,split_003,1
alpha158_RSQR10,split_003,1
alpha158_RSV20,split_003,-1
alpha158_STD30,split_003,-1
alpha158_SUMD30,split_003,-1
alpha158_SUMN30,split_003,1
alpha158_SUMP30,split_003,-1
alpha158_VMA30,split_003,1
alpha158_VSTD30,split_003,1
alpha158_VSUMD30,split_003,-1
alpha158_VSUMN30,split_003,1
alpha158_VSUMP30,split_003,-1
alpha158_WVMA30,split_003,-1
alpha360_CLOSE18,split_003,1
alpha360_CLOSE36,split_003,1
alpha360_CLOSE54,split_003,1
alpha360_HIGH18,split_003,1
alpha360_HIGH36,split_003,1
alpha360_HIGH54,split_003,1
alpha360_LOW18,split_003,1
alpha360_LOW36,split_003,1
alpha360_LOW54,split_003,1
alpha360_OPEN18,split_003,1
alpha360_OPEN36,split_003,1
alpha360_OPEN54,split_003,1
alpha360_VOLUME18,split_003,1
alpha360_VOLUME36,split_003,1
alpha360_VOLUME54,split_003,1
alpha360_VWAP18,split_003,1
alpha360_VWAP36,split_003,1
alpha360_VWAP54,split_003,1
amount_mean_20,split_003,-1
corr_ret_volume_20,split_003,-1
downside_std_20,split_003,-1
kunquant_alpha101_alpha005,split_003,1
kunquant_alpha101_alpha012,split_003,1
kunquant_alpha101_alpha020,split_003,-1
kunquant_alpha101_alpha029,split_003,1
kunquant_alpha101_alpha038,split_003,1
kunquant_alpha101_alpha046,split_003,1
kunquant_alpha101_alpha054,split_003,-1
kunquant_alpha101_alpha071,split_003,-1
kunquant_alpha101_alpha083,split_003,1
kunquant_alpha101_alpha095,split_003,-1
ret_10,split_003,-1
ret_5,split_003,-1
rev_5,split_003,1
std_20,split_003,-1
ta_momentum_ppo_hist,split_003,-1
ta_momentum_rsi,split_003,-1
ta_momentum_tsi,split_003,-1
ta_trend_adx_pos,split_003,-1
ta_trend_ema_fast,split_003,-1
ta_trend_ichimoku_conv,split_003,-1
ta_trend_macd_diff,split_003,-1
ta_trend_psar_up_indicator,split_003,-1
ta_trend_vortex_ind_diff,split_003,-1
ta_volatility_bbl,split_003,-1
ta_volatility_dcm,split_003,-1
ta_volatility_kcli,split_003,1
ta_volume_em,split_003,-1
ta_volume_sma_em,split_003,-1
volume_ratio_5_20,split_003,-1
