factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
alpha158_BETA30,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
alpha158_CNTD30,split_001,True,True,True,eligible,selected,-1,0.01628001628001628
alpha158_CNTN30,split_001,False,True,True,eligible,fdr_not_passed,1,0.07874478462713756
alpha158_CNTP5,split_001,True,True,True,eligible,selected,-1,0.0353744616039698
alpha158_CORD30,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
alpha158_CORR30,split_001,True,True,True,eligible,selected,-1,0.04186289900575615
alpha158_IMAX60,split_001,False,True,True,eligible,direction_mismatch,-1,0.028936580660718594
alpha158_IMXD10,split_001,True,True,True,eligible,selected,-1,0.013832321524629218
alpha158_KLOW2,split_001,False,True,True,eligible,fdr_not_passed,1,0.42304362304362303
alpha158_KSFT2,split_001,True,True,True,eligible,selected,-1,0.0386710064129419
alpha158_MA10,split_001,True,True,True,eligible,selected,1,0.010898192716374534
alpha158_MAX20,split_001,False,True,True,eligible,fdr_not_passed,-1,0.643566959356433
alpha158_MIN20,split_001,True,True,True,eligible,selected,1,0.00444000444000444
alpha158_OPEN0,split_001,True,True,True,eligible,selected,1,0.007992007992007992
alpha158_QTLD30,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha158_QTLU5,split_001,False,True,True,eligible,weak_validation_ic;fdr_not_passed,1,0.8678500986193294
alpha158_RANK60,split_001,False,True,True,eligible,weak_validation_ic,-1,0.00444000444000444
alpha158_ROC10,split_001,True,True,True,eligible,selected,1,0.00444000444000444
alpha158_RSQR10,split_001,False,True,True,eligible,fdr_not_passed,1,0.1653901653901654
alpha158_RSV20,split_001,True,True,True,eligible,selected,-1,0.01628001628001628
alpha158_STD30,split_001,True,True,True,eligible,selected,-1,0.032509863018337595
alpha158_SUMD30,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
alpha158_SUMN30,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha158_SUMP30,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
alpha158_VMA30,split_001,False,True,True,eligible,weak_validation_ic,1,0.01855287569573284
alpha158_VSTD30,split_001,False,True,True,eligible,direction_mismatch;fdr_not_passed,1,0.16212359069501928
alpha158_VSUMD30,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
alpha158_VSUMN30,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha158_VSUMP30,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
alpha158_WVMA30,split_001,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.965034965034965
alpha360_CLOSE18,split_001,True,True,True,eligible,selected,1,0.00444000444000444
alpha360_CLOSE36,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_CLOSE54,split_001,False,True,True,eligible,direction_mismatch;weak_validation_ic,1,0.00444000444000444
alpha360_HIGH18,split_001,True,True,True,eligible,selected,1,0.007992007992007992
alpha360_HIGH36,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_HIGH54,split_001,False,True,True,eligible,direction_mismatch,1,0.009514295228580943
alpha360_LOW18,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_LOW36,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_LOW54,split_001,False,True,True,eligible,direction_mismatch;weak_validation_ic,1,0.00444000444000444
alpha360_OPEN18,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_OPEN36,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_OPEN54,split_001,False,True,True,eligible,direction_mismatch,1,0.00444000444000444
alpha360_VOLUME18,split_001,True,True,True,eligible,selected,1,0.013832321524629218
alpha360_VOLUME36,split_001,True,True,True,eligible,selected,1,0.00444000444000444
alpha360_VOLUME54,split_001,True,True,True,eligible,selected,1,0.00444000444000444
alpha360_VWAP18,split_001,True,True,True,eligible,selected,1,0.00444000444000444
alpha360_VWAP36,split_001,True,True,True,eligible,selected,1,0.003474786083481736
alpha360_VWAP54,split_001,False,True,True,eligible,direction_mismatch;weak_validation_ic,1,0.00444000444000444
amount_mean_20,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
corr_ret_volume_20,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
downside_std_20,split_001,True,True,True,eligible,selected,-1,0.009514295228580943
kunquant_alpha101_alpha005,split_001,False,True,True,eligible,direction_mismatch,1,0.010898192716374534
kunquant_alpha101_alpha012,split_001,True,True,True,eligible,selected,1,0.003474786083481736
kunquant_alpha101_alpha020,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
kunquant_alpha101_alpha029,split_001,True,True,True,eligible,selected,1,0.003474786083481736
kunquant_alpha101_alpha038,split_001,False,True,True,eligible,fdr_not_passed,1,0.25056025056025055
kunquant_alpha101_alpha046,split_001,False,True,True,eligible,fdr_not_passed,1,0.1653901653901654
kunquant_alpha101_alpha054,split_001,False,True,True,eligible,weak_validation_ic;fdr_not_passed,1,0.7815561062314308
kunquant_alpha101_alpha071,split_001,False,True,True,eligible,fdr_not_passed,-1,0.07874478462713756
kunquant_alpha101_alpha083,split_001,True,True,True,eligible,selected,1,0.003474786083481736
kunquant_alpha101_alpha095,split_001,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.9630875453660264
ret_10,split_001,True,True,True,eligible,selected,-1,0.00444000444000444
ret_5,split_001,True,True,True,eligible,selected,-1,0.013048176313482434
rev_5,split_001,True,True,True,eligible,selected,1,0.013048176313482434
std_20,split_001,True,True,True,eligible,selected,-1,0.00444000444000444
ta_momentum_ppo_hist,split_001,False,True,True,eligible,fdr_not_passed,-1,0.1308836091444787
ta_momentum_rsi,split_001,True,True,True,eligible,selected,-1,0.00648000648000648
ta_momentum_tsi,split_001,True,True,True,eligible,selected,-1,0.007992007992007992
ta_trend_adx_pos,split_001,True,True,True,eligible,selected,-1,0.003474786083481736
ta_trend_ema_fast,split_001,False,True,True,eligible,direction_mismatch,-1,0.01855287569573284
ta_trend_ichimoku_conv,split_001,False,True,True,eligible,direction_mismatch,-1,0.012432012432012432
ta_trend_macd_diff,split_001,False,True,True,eligible,fdr_not_passed,-1,0.23647585291420908
ta_trend_psar_up_indicator,split_001,True,True,True,eligible,selected,-1,0.013048176313482434
ta_trend_vortex_ind_diff,split_001,True,True,True,eligible,selected,-1,0.013832321524629218
ta_volatility_bbl,split_001,False,True,True,eligible,direction_mismatch,-1,0.049647322374595106
ta_volatility_dcm,split_001,False,True,True,eligible,direction_mismatch,-1,0.023835813309497522
ta_volatility_kcli,split_001,True,True,True,eligible,selected,1,0.0462037962037962
ta_volume_em,split_001,True,True,True,eligible,selected,-1,0.0353744616039698
ta_volume_sma_em,split_001,True,True,True,eligible,selected,-1,0.013048176313482434
volume_ratio_5_20,split_001,False,True,True,eligible,weak_validation_ic,-1,0.04795204795204795
alpha158_BETA30,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_CNTD30,split_002,False,True,True,eligible,weak_validation_ic,-1,0.01962949331370384
alpha158_CNTN30,split_002,False,True,True,eligible,weak_validation_ic;fdr_not_passed,1,0.08814714697067638
alpha158_CNTP5,split_002,True,True,True,eligible,selected,-1,0.012536483124718419
alpha158_CORD30,split_002,False,True,True,eligible,direction_mismatch,-1,0.00420631999579368
alpha158_CORR30,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.05655882578959502
alpha158_IMAX60,split_002,True,True,True,eligible,selected,-1,0.010202563394052755
alpha158_IMXD10,split_002,True,True,True,eligible,selected,-1,0.005847810725859507
