outer_split_id,inner_split_id,factor,frozen_direction
split_001,split_001_inner_001,alpha158_BETA10,-1
split_001,split_001_inner_001,alpha158_BETA20,-1
split_001,split_001_inner_001,alpha158_BETA30,-1
split_001,split_001_inner_001,alpha158_BETA5,-1
split_001,split_001_inner_001,alpha158_BETA60,-1
split_001,split_001_inner_001,alpha158_CNTD10,-1
split_001,split_001_inner_001,alpha158_CNTD20,-1
split_001,split_001_inner_001,alpha158_CNTD30,-1
split_001,split_001_inner_001,alpha158_CNTD5,-1
split_001,split_001_inner_001,alpha158_CNTD60,-1
split_001,split_001_inner_001,alpha158_CNTN10,1
split_001,split_001_inner_001,alpha158_CNTN20,1
split_001,split_001_inner_001,alpha158_CNTN30,1
split_001,split_001_inner_001,alpha158_CNTN60,1
split_001,split_001_inner_001,alpha158_CNTP10,-1
split_001,split_001_inner_001,alpha158_CNTP20,-1
split_001,split_001_inner_001,alpha158_CNTP30,-1
split_001,split_001_inner_001,alpha158_CNTP5,-1
split_001,split_001_inner_001,alpha158_CNTP60,-1
split_001,split_001_inner_001,alpha158_CORD10,-1
split_001,split_001_inner_001,alpha158_CORD20,-1
split_001,split_001_inner_001,alpha158_CORD30,-1
split_001,split_001_inner_001,alpha158_CORD5,-1
split_001,split_001_inner_001,alpha158_CORD60,-1
split_001,split_001_inner_001,alpha158_CORR10,-1
split_001,split_001_inner_001,alpha158_CORR20,-1
split_001,split_001_inner_001,alpha158_CORR30,-1
split_001,split_001_inner_001,alpha158_CORR5,-1
split_001,split_001_inner_001,alpha158_CORR60,-1
split_001,split_001_inner_001,alpha158_HIGH0,-1
split_001,split_001_inner_001,alpha158_IMAX10,-1
split_001,split_001_inner_001,alpha158_IMAX20,-1
split_001,split_001_inner_001,alpha158_IMAX30,-1
split_001,split_001_inner_001,alpha158_IMAX60,-1
split_001,split_001_inner_001,alpha158_IMIN10,1
split_001,split_001_inner_001,alpha158_IMIN20,1
split_001,split_001_inner_001,alpha158_IMIN30,1
split_001,split_001_inner_001,alpha158_IMIN5,1
split_001,split_001_inner_001,alpha158_IMIN60,1
split_001,split_001_inner_001,alpha158_IMXD10,-1
split_001,split_001_inner_001,alpha158_IMXD20,-1
split_001,split_001_inner_001,alpha158_IMXD30,-1
split_001,split_001_inner_001,alpha158_IMXD5,-1
split_001,split_001_inner_001,alpha158_IMXD60,-1
split_001,split_001_inner_001,alpha158_KLEN,-1
split_001,split_001_inner_001,alpha158_KLOW,-1
split_001,split_001_inner_001,alpha158_KLOW2,1
split_001,split_001_inner_001,alpha158_KMID,-1
split_001,split_001_inner_001,alpha158_KMID2,-1
split_001,split_001_inner_001,alpha158_KSFT,-1
split_001,split_001_inner_001,alpha158_KSFT2,-1
split_001,split_001_inner_001,alpha158_KUP,-1
split_001,split_001_inner_001,alpha158_KUP2,1
split_001,split_001_inner_001,alpha158_LOW0,1
split_001,split_001_inner_001,alpha158_MA10,1
split_001,split_001_inner_001,alpha158_MA20,1
split_001,split_001_inner_001,alpha158_MA30,1
split_001,split_001_inner_001,alpha158_MA5,1
split_001,split_001_inner_001,alpha158_MA60,1
split_001,split_001_inner_001,alpha158_MAX10,-1
split_001,split_001_inner_001,alpha158_MAX20,-1
split_001,split_001_inner_001,alpha158_MAX30,1
split_001,split_001_inner_001,alpha158_MAX5,-1
split_001,split_001_inner_001,alpha158_MAX60,1
split_001,split_001_inner_001,alpha158_MIN10,1
split_001,split_001_inner_001,alpha158_MIN20,1
split_001,split_001_inner_001,alpha158_MIN30,1
split_001,split_001_inner_001,alpha158_MIN5,1
split_001,split_001_inner_001,alpha158_MIN60,1
split_001,split_001_inner_001,alpha158_OPEN0,1
split_001,split_001_inner_001,alpha158_QTLD10,1
split_001,split_001_inner_001,alpha158_QTLD20,1
split_001,split_001_inner_001,alpha158_QTLD30,1
split_001,split_001_inner_001,alpha158_QTLD5,1
split_001,split_001_inner_001,alpha158_QTLD60,1
split_001,split_001_inner_001,alpha158_QTLU10,1
split_001,split_001_inner_001,alpha158_QTLU20,1
split_001,split_001_inner_001,alpha158_QTLU30,1
split_001,split_001_inner_001,alpha158_QTLU5,-1
split_001,split_001_inner_001,alpha158_QTLU60,1
split_001,split_001_inner_001,alpha158_RANK10,-1
split_001,split_001_inner_001,alpha158_RANK20,-1
split_001,split_001_inner_001,alpha158_RANK30,-1
split_001,split_001_inner_001,alpha158_RANK60,-1
split_001,split_001_inner_001,alpha158_RESI10,-1
split_001,split_001_inner_001,alpha158_RESI20,1
split_001,split_001_inner_001,alpha158_RESI30,1
split_001,split_001_inner_001,alpha158_RESI5,-1
split_001,split_001_inner_001,alpha158_RESI60,-1
split_001,split_001_inner_001,alpha158_ROC10,1
split_001,split_001_inner_001,alpha158_ROC20,1
split_001,split_001_inner_001,alpha158_ROC30,1
split_001,split_001_inner_001,alpha158_ROC5,1
split_001,split_001_inner_001,alpha158_ROC60,1
split_001,split_001_inner_001,alpha158_RSQR10,1
split_001,split_001_inner_001,alpha158_RSQR20,1
split_001,split_001_inner_001,alpha158_RSQR30,1
split_001,split_001_inner_001,alpha158_RSQR5,1
split_001,split_001_inner_001,alpha158_RSQR60,-1
split_001,split_001_inner_001,alpha158_RSV10,-1
split_001,split_001_inner_001,alpha158_RSV20,-1
split_001,split_001_inner_001,alpha158_RSV30,-1
split_001,split_001_inner_001,alpha158_RSV5,-1
split_001,split_001_inner_001,alpha158_RSV60,-1
split_001,split_001_inner_001,alpha158_STD10,-1
split_001,split_001_inner_001,alpha158_STD20,-1
split_001,split_001_inner_001,alpha158_STD30,-1
split_001,split_001_inner_001,alpha158_STD5,-1
