factor,split_id,oos_degradation
alpha158_BETA10,split_001,-0.01510530476798147
alpha158_BETA20,split_001,-0.044973245408374926
alpha158_BETA30,split_001,-0.02063223453759591
alpha158_BETA5,split_001,0.03572504516383359
alpha158_BETA60,split_001,0.03634692862335332
alpha158_CNTD10,split_001,-0.024091857769821742
alpha158_CNTD20,split_001,-0.032805305282700786
alpha158_CNTD30,split_001,-0.020879610024411827
alpha158_CNTD5,split_001,0.0036874268265554774
alpha158_CNTD60,split_001,0.0009011425316293523
alpha158_CNTN10,split_001,-0.021316308397973105
alpha158_CNTN20,split_001,-0.031031457539947453
alpha158_CNTN30,split_001,-0.017142636944866632
alpha158_CNTN60,split_001,0.0004646056923348317
alpha158_CNTP10,split_001,-0.025858139222367495
alpha158_CNTP20,split_001,-0.03284373811309515
alpha158_CNTP30,split_001,-0.02265747332921878
alpha158_CNTP5,split_001,0.0009933936860468742
alpha158_CNTP60,split_001,0.004378097242450038
alpha158_CORD10,split_001,-0.13516187215851178
alpha158_CORD20,split_001,-0.06128111312108285
alpha158_CORD30,split_001,0.015894371119784492
alpha158_CORD5,split_001,-0.09354431145132547
alpha158_CORD60,split_001,0.0586152501892346
alpha158_CORR10,split_001,-0.1371745572455347
alpha158_CORR20,split_001,-0.08862051069664997
alpha158_CORR30,split_001,-0.05481045670543827
alpha158_CORR5,split_001,-0.12502091191714096
alpha158_CORR60,split_001,0.0769849548110477
alpha158_HIGH0,split_001,-0.017818991570574306
alpha158_IMAX10,split_001,-0.01784189439693771
alpha158_IMAX20,split_001,-0.008172067567057593
alpha158_IMAX30,split_001,0.0061494166460843505
alpha158_IMAX60,split_001,0.022585452035807363
alpha158_IMIN10,split_001,-0.07227210618149582
alpha158_IMIN20,split_001,-0.06668359764978143
alpha158_IMIN30,split_001,0.012864723239983111
alpha158_IMIN5,split_001,-0.03211398679167883
alpha158_IMIN60,split_001,-0.08983315201620032
alpha158_IMXD10,split_001,-0.04238232838532404
alpha158_IMXD20,split_001,-0.02831440074843994
alpha158_IMXD30,split_001,-0.004979854076453703
alpha158_IMXD5,split_001,-0.012923536818665031
alpha158_IMXD60,split_001,-0.017384741795062345
alpha158_KLEN,split_001,-0.06092672140376416
alpha158_KLOW,split_001,-0.0032791190057599225
alpha158_KLOW2,split_001,-0.013042466281708623
alpha158_KMID,split_001,0.02361380670205066
alpha158_KMID2,split_001,0.0023753316646002165
alpha158_KSFT,split_001,0.031568389566786814
alpha158_KSFT2,split_001,-0.0007701548176059364
alpha158_KUP,split_001,-0.028820713774233682
alpha158_KUP2,split_001,0.006771120330956202
alpha158_LOW0,split_001,-0.013772146814263034
alpha158_MA10,split_001,0.023634286898845863
alpha158_MA20,split_001,-0.00897888976357994
alpha158_MA30,split_001,-0.003143231595926263
alpha158_MA5,split_001,0.04478593824589994
alpha158_MA60,split_001,0.09469862083427599
alpha158_MAX10,split_001,0.0419474323042732
alpha158_MAX20,split_001,0.060326241173521256
alpha158_MAX30,split_001,0.06258430331748466
alpha158_MAX5,split_001,0.003995343559636821
alpha158_MAX60,split_001,0.03298751073486722
alpha158_MIN10,split_001,-0.03808259365675698
alpha158_MIN20,split_001,-0.048699658267677484
alpha158_MIN30,split_001,-0.05695986337629688
alpha158_MIN5,split_001,-0.02126201331046934
alpha158_MIN60,split_001,-0.04463792114213168
alpha158_OPEN0,split_001,0.02361363129035083
alpha158_QTLD10,split_001,-0.002172452660171506
alpha158_QTLD20,split_001,-0.036251636668685375
alpha158_QTLD30,split_001,-0.0488804094865236
alpha158_QTLD5,split_001,0.012295973259025275
alpha158_QTLD60,split_001,0.010845508846626287
alpha158_QTLU10,split_001,0.03779752057407763
alpha158_QTLU20,split_001,0.020543144964353527
alpha158_QTLU30,split_001,0.031345077451735426
alpha158_QTLU5,split_001,0.056013185628951204
alpha158_QTLU60,split_001,0.08175872521913072
alpha158_RANK10,split_001,-0.021653160808569855
alpha158_RANK20,split_001,-0.02856525982223486
alpha158_RANK30,split_001,-0.018828373333800455
alpha158_RANK60,split_001,0.061094605244724515
alpha158_RESI10,split_001,0.008599985739939642
alpha158_RESI20,split_001,0.026368545181762765
alpha158_RESI30,split_001,-0.012077344996346412
alpha158_RESI5,split_001,0.00872893906137016
alpha158_RESI60,split_001,-0.09656116939551876
alpha158_ROC10,split_001,-0.021366116536029434
alpha158_ROC20,split_001,-0.033666335317682164
alpha158_ROC30,split_001,0.028300228366118313
alpha158_ROC5,split_001,0.02482068556964636
alpha158_ROC60,split_001,0.07405243979373313
alpha158_RSQR10,split_001,-0.02541932133220042
alpha158_RSQR20,split_001,0.0005337888481156058
alpha158_RSQR30,split_001,-0.015795002515055688
alpha158_RSQR5,split_001,0.0009262533235518625
alpha158_RSQR60,split_001,-0.01939462079965478
alpha158_RSV10,split_001,-0.014669915791855004
alpha158_RSV20,split_001,-0.0032086924392145805
alpha158_RSV30,split_001,0.019784412888153954
alpha158_RSV5,split_001,0.01312496135860989
alpha158_RSV60,split_001,0.08076706947472563
alpha158_STD10,split_001,-0.04162621438374963
alpha158_STD20,split_001,-0.060585519301497366
alpha158_STD30,split_001,-0.08641950874532078
alpha158_STD5,split_001,-0.048748770859433396
alpha158_STD60,split_001,-0.10324785119413167
alpha158_SUMD10,split_001,-0.041343810423290626
alpha158_SUMD20,split_001,-0.010867585099608182
alpha158_SUMD30,split_001,0.05912104174677672
alpha158_SUMD5,split_001,-0.015671919273641886
alpha158_SUMD60,split_001,0.00823304629866909
alpha158_SUMN10,split_001,-0.041344077814181805
alpha158_SUMN20,split_001,-0.010867675042562683
alpha158_SUMN30,split_001,0.05912110117708934
alpha158_SUMN5,split_001,-0.01565714638254153
alpha158_SUMN60,split_001,0.008233125573609987
alpha158_SUMP10,split_001,-0.04134383587242091
alpha158_SUMP20,split_001,-0.010867698234408987
alpha158_SUMP30,split_001,0.05912121956046671
alpha158_SUMP5,split_001,-0.01567516303893826
alpha158_SUMP60,split_001,0.008233018298809798
alpha158_VMA10,split_001,0.025287979200424887
alpha158_VMA20,split_001,0.05228205880799609
alpha158_VMA30,split_001,0.05487204928932403
alpha158_VMA5,split_001,0.013035907772908039
alpha158_VMA60,split_001,0.020719590200423674
alpha158_VSTD10,split_001,-0.04396250460768433
alpha158_VSTD20,split_001,0.013176327811050513
alpha158_VSTD30,split_001,0.03778176100601967
alpha158_VSTD5,split_001,-0.01219725816953542
alpha158_VSTD60,split_001,0.08449966785181068
alpha158_VSUMD10,split_001,0.03852414109953879
alpha158_VSUMD20,split_001,0.034233512146784544
alpha158_VSUMD30,split_001,0.011799270814322006
alpha158_VSUMD5,split_001,0.02207286857979021
alpha158_VSUMD60,split_001,-0.04262218356483689
alpha158_VSUMN10,split_001,0.038524177451692655
alpha158_VSUMN20,split_001,0.03423351857088388
alpha158_VSUMN30,split_001,0.01179936086150217
alpha158_VSUMN5,split_001,0.022072814890757526
alpha158_VSUMN60,split_001,-0.04262195145546504
alpha158_VSUMP10,split_001,0.038524188635134245
alpha158_VSUMP20,split_001,0.03423353557042555
alpha158_VSUMP30,split_001,0.011799294709968024
alpha158_VSUMP5,split_001,0.022072884050167718
alpha158_VSUMP60,split_001,-0.04262212887979886
alpha158_VWAP0,split_001,0.034472525378261384
alpha158_WVMA10,split_001,-0.016937999342091378
alpha158_WVMA20,split_001,-0.010130736924160185
alpha158_WVMA30,split_001,-0.0058971321206171615
alpha158_WVMA5,split_001,-0.0009384815365731138
alpha158_WVMA60,split_001,0.03251016576090739
alpha360_CLOSE1,split_001,0.03674633160365156
alpha360_CLOSE10,split_001,-0.021366116536029434
alpha360_CLOSE11,split_001,-0.02504478646747714
alpha360_CLOSE12,split_001,-0.026072968814648975
alpha360_CLOSE13,split_001,-0.026052277063051854
alpha360_CLOSE14,split_001,-0.028289693932704807
alpha360_CLOSE15,split_001,-0.026492427573607147
alpha360_CLOSE16,split_001,-0.024374561504296385
alpha360_CLOSE17,split_001,-0.025439749153673502
alpha360_CLOSE18,split_001,-0.02991990507208432
alpha360_CLOSE19,split_001,-0.03209761186537467
alpha360_CLOSE2,split_001,0.039811300998320746
alpha360_CLOSE20,split_001,-0.033666335317682164
alpha360_CLOSE21,split_001,-0.03040536889106775
alpha360_CLOSE22,split_001,-0.027214015152653717
alpha360_CLOSE23,split_001,-0.021046079208617424
alpha360_CLOSE24,split_001,-0.015570699129246121
alpha360_CLOSE25,split_001,-0.01002032988825384
alpha360_CLOSE26,split_001,-0.00107549165612629
alpha360_CLOSE27,split_001,0.007589814374454329
alpha360_CLOSE28,split_001,0.01482257917408851
alpha360_CLOSE29,split_001,0.020202521280347635
alpha360_CLOSE3,split_001,0.03840132847153413
alpha360_CLOSE30,split_001,0.028300228366118313
alpha360_CLOSE31,split_001,0.03582848770360793
alpha360_CLOSE32,split_001,0.04160774334225663
alpha360_CLOSE33,split_001,0.04728297713255771
alpha360_CLOSE34,split_001,0.05435860267233929
alpha360_CLOSE35,split_001,0.060646115865023255
alpha360_CLOSE36,split_001,0.06721078063519327
alpha360_CLOSE37,split_001,0.07371146190290062
alpha360_CLOSE38,split_001,0.08338973803205196
alpha360_CLOSE39,split_001,0.09225390394384385
alpha360_CLOSE4,split_001,0.0341165593713712
alpha360_CLOSE40,split_001,0.09941325187959445
alpha360_CLOSE41,split_001,0.10369824629581678
alpha360_CLOSE42,split_001,0.10130572940648795
alpha360_CLOSE43,split_001,0.10039029064039562
alpha360_CLOSE44,split_001,0.09923419638905721
alpha360_CLOSE45,split_001,0.09895543176704644
alpha360_CLOSE46,split_001,0.09901775535201285
alpha360_CLOSE47,split_001,0.09960037211110381
alpha360_CLOSE48,split_001,0.10083080056936847
alpha360_CLOSE49,split_001,0.10167279835409439
alpha360_CLOSE5,split_001,0.02482068556964636
alpha360_CLOSE50,split_001,0.10196945920993433
alpha360_CLOSE51,split_001,0.10169238806570952
alpha360_CLOSE52,split_001,0.10093305549350387
alpha360_CLOSE53,split_001,0.10031742315376103
alpha360_CLOSE54,split_001,0.09890320882399488
alpha360_CLOSE55,split_001,0.09554851371894767
alpha360_CLOSE56,split_001,0.09064777401406574
alpha360_CLOSE57,split_001,0.0846781864930079
alpha360_CLOSE58,split_001,0.07918102923742884
alpha360_CLOSE59,split_001,0.07694631745909522
alpha360_CLOSE6,split_001,0.011240087042623956
alpha360_CLOSE7,split_001,-0.0030156352601118652
alpha360_CLOSE8,split_001,-0.009672464434130779
alpha360_CLOSE9,split_001,-0.015256646267188256
alpha360_HIGH0,split_001,-0.017818991570574306
alpha360_HIGH1,split_001,0.023163072439193282
alpha360_HIGH10,split_001,-0.004854225690700473
alpha360_HIGH11,split_001,-0.007922722532196197
alpha360_HIGH12,split_001,-0.007406704485225374
alpha360_HIGH13,split_001,-0.008365975921673721
alpha360_HIGH14,split_001,-0.010211949072123819
alpha360_HIGH15,split_001,-0.0091111865442733
alpha360_HIGH16,split_001,-0.007927003519765358
alpha360_HIGH17,split_001,-0.011925273541796538
alpha360_HIGH18,split_001,-0.016059656211056914
