factor,split_id,frozen_direction
amount_mean_20|10d_t1,split_001,0
amount_mean_20|20d_t1,split_001,0
downside_std_20|10d_t1,split_001,0
downside_std_20|20d_t1,split_001,0
rev_20_exclude_5|10d_t1,split_001,0
rev_20_exclude_5|20d_t1,split_001,0
rev_5|10d_t1,split_001,0
rev_5|20d_t1,split_001,0
std_20|10d_t1,split_001,0
std_20|20d_t1,split_001,0
amount_mean_20|10d_t1,split_002,0
amount_mean_20|20d_t1,split_002,0
downside_std_20|10d_t1,split_002,0
downside_std_20|20d_t1,split_002,0
rev_20_exclude_5|10d_t1,split_002,0
rev_20_exclude_5|20d_t1,split_002,0
rev_5|10d_t1,split_002,0
rev_5|20d_t1,split_002,0
std_20|10d_t1,split_002,0
std_20|20d_t1,split_002,0
amount_mean_20|10d_t1,split_003,0
amount_mean_20|20d_t1,split_003,0
downside_std_20|10d_t1,split_003,0
downside_std_20|20d_t1,split_003,0
rev_20_exclude_5|10d_t1,split_003,0
rev_20_exclude_5|20d_t1,split_003,0
rev_5|10d_t1,split_003,0
rev_5|20d_t1,split_003,0
std_20|10d_t1,split_003,0
std_20|20d_t1,split_003,0
amount_mean_20|10d_t1,split_004,-1
amount_mean_20|20d_t1,split_004,-1
downside_std_20|10d_t1,split_004,-1
downside_std_20|20d_t1,split_004,-1
rev_20_exclude_5|10d_t1,split_004,1
rev_20_exclude_5|20d_t1,split_004,1
rev_5|10d_t1,split_004,1
rev_5|20d_t1,split_004,1
std_20|10d_t1,split_004,-1
std_20|20d_t1,split_004,-1
amount_mean_20|10d_t1,split_005,-1
amount_mean_20|20d_t1,split_005,-1
downside_std_20|10d_t1,split_005,-1
downside_std_20|20d_t1,split_005,-1
rev_20_exclude_5|10d_t1,split_005,1
rev_20_exclude_5|20d_t1,split_005,1
rev_5|10d_t1,split_005,1
rev_5|20d_t1,split_005,1
std_20|10d_t1,split_005,-1
std_20|20d_t1,split_005,-1
amount_mean_20|10d_t1,split_006,-1
amount_mean_20|20d_t1,split_006,-1
downside_std_20|10d_t1,split_006,-1
downside_std_20|20d_t1,split_006,-1
rev_20_exclude_5|10d_t1,split_006,1
rev_20_exclude_5|20d_t1,split_006,1
rev_5|10d_t1,split_006,1
rev_5|20d_t1,split_006,1
std_20|10d_t1,split_006,-1
std_20|20d_t1,split_006,-1
amount_mean_20|10d_t1,split_007,-1
amount_mean_20|20d_t1,split_007,-1
downside_std_20|10d_t1,split_007,-1
downside_std_20|20d_t1,split_007,-1
rev_20_exclude_5|10d_t1,split_007,1
rev_20_exclude_5|20d_t1,split_007,1
rev_5|10d_t1,split_007,1
rev_5|20d_t1,split_007,1
std_20|10d_t1,split_007,-1
std_20|20d_t1,split_007,-1
amount_mean_20|10d_t1,split_008,-1
amount_mean_20|20d_t1,split_008,-1
downside_std_20|10d_t1,split_008,-1
downside_std_20|20d_t1,split_008,-1
rev_20_exclude_5|10d_t1,split_008,1
rev_20_exclude_5|20d_t1,split_008,1
rev_5|10d_t1,split_008,1
rev_5|20d_t1,split_008,1
std_20|10d_t1,split_008,-1
std_20|20d_t1,split_008,-1
amount_mean_20|10d_t1,split_009,-1
amount_mean_20|20d_t1,split_009,-1
downside_std_20|10d_t1,split_009,-1
downside_std_20|20d_t1,split_009,-1
rev_20_exclude_5|10d_t1,split_009,1
rev_20_exclude_5|20d_t1,split_009,1
rev_5|10d_t1,split_009,1
rev_5|20d_t1,split_009,1
std_20|10d_t1,split_009,-1
std_20|20d_t1,split_009,-1
amount_mean_20|10d_t1,split_010,-1
amount_mean_20|20d_t1,split_010,-1
downside_std_20|10d_t1,split_010,-1
downside_std_20|20d_t1,split_010,-1
rev_20_exclude_5|10d_t1,split_010,1
rev_20_exclude_5|20d_t1,split_010,1
rev_5|10d_t1,split_010,1
rev_5|20d_t1,split_010,1
std_20|10d_t1,split_010,-1
std_20|20d_t1,split_010,-1
amount_mean_20|10d_t1,split_011,-1
amount_mean_20|20d_t1,split_011,-1
downside_std_20|10d_t1,split_011,-1
downside_std_20|20d_t1,split_011,-1
rev_20_exclude_5|10d_t1,split_011,1
rev_20_exclude_5|20d_t1,split_011,1
rev_5|10d_t1,split_011,1
rev_5|20d_t1,split_011,1
std_20|10d_t1,split_011,-1
std_20|20d_t1,split_011,-1
amount_mean_20|10d_t1,split_012,-1
amount_mean_20|20d_t1,split_012,-1
downside_std_20|10d_t1,split_012,-1
downside_std_20|20d_t1,split_012,-1
rev_20_exclude_5|10d_t1,split_012,1
rev_20_exclude_5|20d_t1,split_012,1
rev_5|10d_t1,split_012,1
rev_5|20d_t1,split_012,1
std_20|10d_t1,split_012,-1
std_20|20d_t1,split_012,-1
