factor,window_count,eligible_window_count,selected_window_count,selection_frequency,direction_adjusted_positive_window_ratio,direction_agreement_ratio,median_train_ic,median_validation_ic,median_test_ic,worst_test_ic,median_oos_degradation,worst_oos_degradation,fdr_pass_frequency,coverage_min,coverage_median,stability_role,role_reason
amount_mean_20|10d_t1,12,0,0,0.0,0.0,0.0,-0.06886486406240358,-0.07650748033529,-0.06780290660329075,-0.11057871746751496,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
amount_mean_20|20d_t1,12,0,0,0.0,0.0,0.0,-0.09590900776170892,-0.10581678008001193,-0.09417240485519934,-0.14352663371034008,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
downside_std_20|10d_t1,12,0,0,0.0,0.0,0.0,-0.048384517710773865,-0.06645721189887199,-0.04949640770264059,-0.11049081777715454,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
downside_std_20|20d_t1,12,0,0,0.0,0.0,0.0,-0.05666301322357067,-0.07185361833058898,-0.06858535108717714,-0.1260497348117596,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
rev_20_exclude_5|10d_t1,12,0,0,0.0,0.0,0.0,0.03341330905118807,0.01981499684584044,0.03548281285018516,-0.011216828081711896,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
rev_20_exclude_5|20d_t1,12,0,0,0.0,0.0,0.0,0.05628478490064584,0.059355058017790716,0.0436698544127028,0.009272715547021302,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
rev_5|10d_t1,12,0,0,0.0,0.0,0.0,0.025876354788088654,0.023922509898394506,0.0265344581088316,0.004023722897164523,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
rev_5|20d_t1,12,0,0,0.0,0.0,0.0,0.019597666196483465,0.0058211138401439615,0.014184763909473522,-0.007728205284767745,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
std_20|10d_t1,12,0,0,0.0,0.0,0.0,-0.07473095423423275,-0.08649364797434361,-0.07769880413617256,-0.1215244876655486,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
std_20|20d_t1,12,0,0,0.0,0.0,0.0,-0.08807641991398249,-0.09022506843447754,-0.10016493747977716,-0.15178497653226083,,,0.0,0.0,0.0,holdout,eligible_windows=0;selection_frequency=0.000;direction_agreement=0.000;direction_adjusted_positive_ratio=0.000;worst_oos_degradation=nan
