factor,split_id,test_family,metric,train_mean_ic,validation_mean_ic,test_mean_ic,train_count,validation_count,test_count,train_coverage,validation_coverage,test_coverage,selection_eligible,eligible,eligibility_reason,raw_statistic,bootstrap_standard_error,raw_p_value,bootstrap_samples,block_length,random_seed,observation_count,fdr_bh_q_value,fdr_by_q_value,fdr_bh_pass,fdr_by_pass,selected,frozen_direction,selection_reason,test_metrics_used_in_selection
amount_mean_20|10d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
amount_mean_20|20d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
downside_std_20|10d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
downside_std_20|20d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_5|10d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_5|20d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
std_20|10d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
std_20|20d_t1,split_001,split_001|selection_history,daily_rank_ic,,,,0,0,0,0.0,0.0,0.0,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
