split_id,method,factor,factor_column,cluster_id,direction,raw_weight,weight
split_004,equal_directional_zscore,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_004,equal_directional_zscore,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_004,equal_directional_zscore,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_004,cluster_equal,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_004,cluster_equal,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_004,cluster_equal,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_004,stability_weight,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,0.9733599733599734,0.6
split_004,stability_weight,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,0.04617049617049618,0.31940871568439244
split_004,stability_weight,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,0.011649461649461646,0.08059128431560758
split_005,equal_directional_zscore,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_005,equal_directional_zscore,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_005,equal_directional_zscore,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_005,cluster_equal,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_005,cluster_equal,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_005,cluster_equal,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_005,stability_weight,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,0.4325674325674326,0.6
split_005,stability_weight,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,0.04546287046287047,0.27190573005269497
split_005,stability_weight,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,0.021417471417471412,0.12809426994730508
split_006,equal_directional_zscore,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_006,equal_directional_zscore,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_006,equal_directional_zscore,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_006,cluster_equal,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_006,cluster_equal,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_006,cluster_equal,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_006,stability_weight,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,0.6391941391941391,0.5534624441347494
split_006,stability_weight,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,0.30780330780330784,0.26651929453601814
split_006,stability_weight,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,0.20790320790320788,0.18001826132923254
split_007,equal_directional_zscore,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_007,equal_directional_zscore,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_007,equal_directional_zscore,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_007,cluster_equal,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,1.0,0.3333333333333333
split_007,cluster_equal,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,1.0,0.3333333333333333
split_007,cluster_equal,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,1.0,0.3333333333333333
split_007,stability_weight,downside_std_20|10d_t1,downside_std_20,cluster_001,-1,0.7245566933066934,0.4531739161562844
split_007,stability_weight,amount_mean_20|10d_t1,amount_mean_20,cluster_002,-1,0.47960372960372966,0.2999681078864641
split_007,stability_weight,rev_20_exclude_5|10d_t1,rev_20_exclude_5,cluster_003,1,0.39468864468864473,0.24685797595725156
