system,factor,return_mode,group_dimension,group,horizon,quantile_count,bottom_quantile_return,top_quantile_return,top_bottom_spread,quantile_monotonicity_spearman
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,csi1000,10D,5,0.0036104876602608,-0.001745622254037,-0.0053561099142978,-0.9999999999999999
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,csi1000,20D,5,0.005683736272238,-0.0008159095702262,-0.0064996458424642,-0.8999999999999998
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,csi300,10D,5,0.0051233524158893,0.0038801066395963,-0.001243245776293,-0.6
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,csi300,20D,5,0.0078834159819978,0.0037660359127175,-0.004117380069280301,-0.3
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,csi500,10D,5,0.0022365900510131,0.0010389635617518,-0.0011976264892613001,0.0
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,csi500,20D,5,0.0037339187881684,0.0023365094884041,-0.0013974092997643003,0.0
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,outside_major_indices,10D,5,0.0018342606249548,-0.0034900880671274,-0.0053243486920822,-0.39999999999999997
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,outside_major_indices,20D,5,0.0048672608473425,-0.0025920087302346,-0.0074592695775771,-0.3
alphalens_reloaded,alpha158_BETA10,raw_return,index_segment,csi1000,10D,5,0.0022327710488372,-0.0031233388121304,-0.0053561098609676006,-0.9999999999999999
alphalens_reloaded,alpha158_BETA10,raw_return,index_segment,csi1000,20D,5,0.0019634876695339,-0.0045361583944105,-0.0064996460639444,-0.8999999999999998
alphalens_reloaded,alpha158_BETA10,raw_return,index_segment,csi300,10D,5,-0.0013553431076778,-0.0025985887835933,-0.0012432456759154998,-0.6
alphalens_reloaded,alpha158_BETA10,raw_return,index_segment,csi300,20D,5,-0.0053066106973913,-0.0094239907430565,-0.0041173800456652,-0.3
