batch_id,source_stage,system,factor,status,output_file_count,failure_count,output_dir
first20_v4,first20,alphalens_reloaded,alpha158_KMID,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KMID
first20_v4,first20,alphalens_reloaded,alpha158_KLEN,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KLEN
first20_v4,first20,alphalens_reloaded,alpha158_KMID2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KMID2
first20_v4,first20,alphalens_reloaded,alpha158_KUP,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KUP
first20_v4,first20,alphalens_reloaded,alpha158_KUP2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KUP2
first20_v4,first20,alphalens_reloaded,alpha158_KLOW,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KLOW
first20_v4,first20,alphalens_reloaded,alpha158_KLOW2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KLOW2
first20_v4,first20,alphalens_reloaded,alpha158_KSFT,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KSFT
first20_v4,first20,alphalens_reloaded,alpha158_KSFT2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KSFT2
first20_v4,first20,alphalens_reloaded,alpha158_OPEN0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_OPEN0
first20_v4,first20,alphalens_reloaded,alpha158_HIGH0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_HIGH0
first20_v4,first20,alphalens_reloaded,alpha158_LOW0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_LOW0
first20_v4,first20,alphalens_reloaded,alpha158_VWAP0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_VWAP0
first20_v4,first20,alphalens_reloaded,alpha158_ROC5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC5
first20_v4,first20,alphalens_reloaded,alpha158_ROC10,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC10
first20_v4,first20,alphalens_reloaded,alpha158_ROC20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC20
first20_v4,first20,alphalens_reloaded,alpha158_ROC30,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC30
first20_v4,first20,alphalens_reloaded,alpha158_ROC60,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC60
first20_v4,first20,alphalens_reloaded,alpha158_MA5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_MA5
first20_v4,first20,alphalens_reloaded,alpha158_MA10,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_MA10
first20_v4,first20,jqfactor_analyzer,alpha158_KMID,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KMID
first20_v4,first20,jqfactor_analyzer,alpha158_KLEN,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KLEN
first20_v4,first20,jqfactor_analyzer,alpha158_KMID2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KMID2
first20_v4,first20,jqfactor_analyzer,alpha158_KUP,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KUP
first20_v4,first20,jqfactor_analyzer,alpha158_KUP2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KUP2
first20_v4,first20,jqfactor_analyzer,alpha158_KLOW,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KLOW
first20_v4,first20,jqfactor_analyzer,alpha158_KLOW2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KLOW2
first20_v4,first20,jqfactor_analyzer,alpha158_KSFT,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KSFT
first20_v4,first20,jqfactor_analyzer,alpha158_KSFT2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KSFT2
first20_v4,first20,jqfactor_analyzer,alpha158_OPEN0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_OPEN0
first20_v4,first20,jqfactor_analyzer,alpha158_HIGH0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_HIGH0
first20_v4,first20,jqfactor_analyzer,alpha158_LOW0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_LOW0
first20_v4,first20,jqfactor_analyzer,alpha158_VWAP0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_VWAP0
first20_v4,first20,jqfactor_analyzer,alpha158_ROC5,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_ROC5
first20_v4,first20,jqfactor_analyzer,alpha158_ROC10,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_ROC10
